ZAWODNIK,KLUB,Strzały,G,xG,xG/s,G-xG,non-pen xG,non-pen xG/s,G - xG NON-PEN,KP,AST,xAST,KP-xAST
Bartosz Nowak,Górnik/Raków,45,11,"5,693","0,127","5,307","5,693","0,127","5,307",37,5,"4,173","0,827"
Michał Skóraś,Lech Poznań,74,9,"4,509","0,061","4,491","4,509","0,061","4,491",39,3,"2,947","0,053"
Said Hamulic,Stal Mielec,47,9,"5,448","0,116","3,552","4,698","0,102","4,302",9,3,"0,624","2,376"
John Yeboah,Śląsk Wrocław,55,10,"5,458","0,099","4,542","4,708","0,087","4,292",33,2,"2,271","-0,271"
Michał Rakoczy,Cracovia,45,7,"2,886","0,064","4,114","2,886","0,064","4,114",28,2,"1,673","0,327"
Filip Mladenović,Legia Warszawa,32,6,"2,022","0,063","3,978","2,022","0,063","3,978",39,5,"5,308","-0,308"
Władysław Koczerhin,Raków Częstochowa,57,8,"4,121","0,072","3,879","4,121","0,072","3,879",36,3,"3,067","-0,067"
Nene,Jagiellonia,36,5,"1,261","0,035","3,739","1,261","0,035","3,739",16,3,"0,990","2,010"
Davo,Wisła Płock,41,9,"5,347","0,130","3,653","4,597","0,115","3,403",26,3,"1,667","1,333"
Rafał Wolski,Wisła Płock,56,7,"3,400","0,061","3,600","2,650","0,048","3,350",41,8,"3,837","4,163"
Marc Gual,Jagiellonia,102,15,"11,830","0,116","3,170","8,830","0,090","3,170",26,6,"3,659","2,341"
Rafał Augustyniak,Legia Warszawa,14,4,"0,863","0,062","3,137","0,863","0,062","3,137",6,0,"0,200","-0,200"
Jakub Łukowski,Korona Kielce,74,12,"8,084","0,109","3,916","5,084","0,073","2,916",36,1,"2,216","-1,216"
Damian Dąbrowski,Pogoń Szczecin,46,4,"1,254","0,027","2,746","1,254","0,027","2,746",42,3,"1,801","1,199"
Jesus Imaz,Jagiellonia,86,14,"12,756","0,148","1,244","11,256","0,134","2,744",56,3,"4,086","-1,086"
Jean Carlos Silva,Pogoń/Raków,26,4,"1,300","0,050","2,700","1,300","0,050","2,700",28,3,"3,097","-0,097"
Luciano Narsingh,Miedź Legnica,21,5,"2,330","0,111","2,670","2,330","0,111","2,670",24,1,"2,366","-1,366"
Stefan Savić,Warta Poznań,6,3,"0,332","0,055","2,668","0,332","0,055","2,668",8,0,"0,654","-0,654"
Kristoffer Velde,Lech Poznań,50,8,"5,841","0,117","2,159","4,341","0,090","2,659",16,3,"2,037","0,963"
Bartłomiej Pawłowski,Widzew Łódź,95,10,"7,900","0,083","2,100","6,400","0,069","2,600",45,4,"5,347","-1,347"
Chuca,Miedź Legnica,49,6,"3,459","0,071","2,541","3,459","0,071","2,541",15,0,"1,097","-1,097"
Tomas Pekhart,Legia Warszawa,16,5,"2,737","0,171","2,263","2,737","0,171","2,263",1,0,"0,092","-0,092"
Łukasz Sekulski,Wisła Płock,31,6,"3,803","0,123","2,197","3,803","0,123","2,197",14,2,"1,698","0,302"
Aleksander Paluszek,Górnik Zabrze,6,3,"0,885","0,148","2,115","0,885","0,148","2,115",5,1,"0,309","0,691"
Marko Kolar,Wisła Płock,16,4,"1,955","0,122","2,045","1,955","0,122","2,045",6,1,"0,416","0,584"
Josue,Legia Warszawa,74,12,"9,723","0,131","2,277","2,973","0,046","2,027",86,6,"6,972","-0,972"
Paweł Wszołek,Legia Warszawa,24,7,"4,745","0,198","2,255","3,995","0,174","2,005",45,7,"5,167","1,833"
Leonardo Rocha,Radomiak Radom,34,6,"3,846","0,113","2,154","3,096","0,094","1,904",9,0,"0,952","-0,952"
Maciej Żurawski,Warta Poznań,21,4,"2,128","0,101","1,872","2,128","0,101","1,872",17,2,"1,204","0,796"
Maciej Gajos,Lechia Gdańsk,31,4,"2,156","0,070","1,844","2,156","0,070","1,844",21,0,"1,603","-1,603"
Artur Sobiech,Lech Poznań,11,3,"1,247","0,113","1,753","1,247","0,113","1,753",5,1,"1,027","-0,027"
Sasa Zivec,Zagłębie Lubin,4,2,"0,273","0,068","1,727","0,273","0,068","1,727",3,1,"0,067","0,933"
Łukasz Bejger,Śląsk Wrocław,7,2,"0,325","0,046","1,675","0,325","0,046","1,675",8,2,"0,700","1,300"
Nahuel Leiva,Śląsk Wrocław,33,3,"1,357","0,041","1,643","1,357","0,041","1,643",28,2,"1,580","0,420"
Deian Sorescu,Raków Częstochowa,9,2,"0,386","0,043","1,614","0,386","0,043","1,614",9,0,"1,055","-1,055"
Mateusz Kowalski,Jagiellonia,3,2,"0,413","0,138","1,587","0,413","0,138","1,587",0,0,"0,000","0,000"
Mateusz Łęgowski,Pogoń Szczecin,28,3,"1,448","0,052","1,552","1,448","0,052","1,552",15,4,"1,046","2,954"
Robert Dadok,Górnik Zabrze,27,4,"2,451","0,091","1,549","2,451","0,091","1,549",13,0,"0,645","-0,645"
Damian Kądzior,Piast Gliwice,30,3,"1,463","0,049","1,537","1,463","0,049","1,537",31,5,"3,552","1,448"
Emil Bergstrom,Górnik Zabrze,8,2,"0,475","0,059","1,525","0,475","0,059","1,525",5,0,"0,256","-0,256"
Erik Janza,Górnik Zabrze,15,2,"0,510","0,034","1,490","0,510","0,034","1,490",60,8,"4,940","3,060"
Erik Exposito,Śląsk Wrocław,72,7,"6,021","0,084","0,979","4,521","0,065","1,479",19,5,"1,934","3,066"
Maik Nawrocki,Legia Warszawa,23,4,"2,535","0,110","1,465","2,535","0,110","1,465",9,1,"0,702","0,298"
Dawid Błanik,Korona Kielce,19,3,"1,550","0,082","1,450","1,550","0,082","1,450",19,4,"1,774","2,226"
Wahan Biczachczjan,Pogoń Szczecin,57,6,"4,599","0,081","1,401","4,599","0,081","1,401",21,0,"1,217","-1,217"
Kamil Wilczek,Piast Gliwice,65,9,"7,613","0,117","1,387","7,613","0,117","1,387",14,0,"1,358","-1,358"
Dawid Kurminowski,Zagłębie Lubin,21,4,"2,620","0,125","1,380","2,620","0,125","1,380",3,0,"0,160","-0,160"
Dominik Kun,Widzew Łódź,28,4,"2,627","0,094","1,373","2,627","0,094","1,373",25,2,"1,603","0,397"
Leonardo Koutris,Pogoń Szczecin,10,2,"0,649","0,065","1,351","0,649","0,065","1,351",16,0,"1,603","-1,603"
Dawid Kocyła,Wisła Płock,7,2,"0,653","0,093","1,347","0,653","0,093","1,347",8,0,"0,407","-0,407"
Constantin Reiner,Piast Gliwice,4,2,"0,654","0,163","1,346","0,654","0,163","1,346",1,0,"0,027","-0,027"
Afonso Sousa,Lech Poznań,32,4,"2,747","0,086","1,253","2,747","0,086","1,253",21,2,"1,662","0,338"
Damian Warchoł,Wisła Płock,15,3,"1,769","0,118","1,231","1,769","0,118","1,231",3,0,"0,173","-0,173"
Łukasz Łakomy,Zagłębie Lubin,62,4,"2,775","0,045","1,225","2,775","0,045","1,225",65,3,"4,469","-1,469"
Patrick Olsen,Śląsk Wrocław,22,3,"2,297","0,104","0,703","0,797","0,040","1,203",21,0,"1,543","-1,543"
Łukasz Zwoliński,Lechia Gdańsk,44,9,"7,300","0,166","1,700","5,800","0,138","1,200",15,0,"0,862","-0,862"
Dimitris Stavropoulos,Warta Poznań,9,2,"0,818","0,091","1,182","0,818","0,091","1,182",5,0,"0,673","-0,673"
Fryderyk Gerbowski,Stal Mielec,14,2,"0,855","0,061","1,145","0,855","0,061","1,145",9,1,"0,601","0,399"
Jakub Bartkowski,Pogoń/Lechia,13,2,"0,856","0,066","1,144","0,856","0,066","1,144",17,1,"1,130","-0,130"
Szymon Włodarczyk,Górnik Zabrze,41,9,"6,877","0,168","2,123","3,877","0,105","1,123",11,1,"0,628","0,372"
Maciej Domański,Stal Mielec,42,4,"3,390","0,081","0,610","1,890","0,047","1,110",35,5,"3,122","1,878"
Piotr Malarczyk,Korona Kielce,16,3,"1,926","0,120","1,074","1,926","0,120","1,074",2,0,"0,158","-0,158"
Dennis Jastrzembski,Śląsk Wrocław,11,2,"0,973","0,088","1,027","0,973","0,088","1,027",13,0,"1,074","-1,074"
Michał Chrapek,Piast Gliwice,39,4,"2,996","0,077","1,004","2,996","0,077","1,004",34,5,"2,809","2,191"
Nika Kwekweskiri,Lech Poznań,37,2,"1,002","0,027","0,998","1,002","0,027","0,998",25,2,"1,968","0,032"
Petr Schwarz,Śląsk Wrocław,29,3,"2,032","0,070","0,968","2,032","0,070","0,968",14,2,"1,671","0,329"
Jewgienij Szykawka,Korona Kielce,40,6,"5,042","0,126","0,958","5,042","0,126","0,958",20,1,"2,586","-1,586"
Grzegorz Tomasiewicz,Piast Gliwice,34,3,"2,056","0,060","0,944","2,056","0,060","0,944",23,3,"1,500","1,500"
Kamil Kruk,Stal Mielec,12,2,"1,068","0,089","0,932","1,068","0,089","0,932",3,1,"0,083","0,917"
Patryk Lipski,Widzew Łódź,7,2,"1,080","0,154","0,920","1,080","0,154","0,920",6,0,"0,316","-0,316"
Miłosz Szczepański,Warta Poznań,30,4,"3,095","0,103","0,905","3,095","0,103","0,905",16,3,"1,116","1,884"
Daisuke Yokota,Górnik Zabrze,15,2,"1,112","0,074","0,888","1,112","0,074","0,888",18,2,"1,881","0,119"
Marko Poletanović,Zagłębie Lubin,8,1,"0,129","0,016","0,871","0,129","0,016","0,871",28,2,"1,470","0,530"
Santiago Naveda,Miedź Legnica,5,1,"0,132","0,026","0,868","0,132","0,026","0,868",2,0,"0,033","-0,033"
Kyryło Petrow,Korona Kielce,12,2,"1,152","0,096","0,848","1,152","0,096","0,848",10,1,"0,610","0,390"
Bogdan Racovitan,Raków Częstochowa,2,1,"0,173","0,086","0,827","0,173","0,086","0,827",4,1,"0,444","0,556"
Wojciech Łaski,Jagiellonia,3,1,"0,175","0,058","0,825","0,175","0,058","0,825",5,0,"0,552","-0,552"
Gustav Berggren,Raków Częstochowa,7,1,"0,210","0,030","0,790","0,210","0,030","0,790",6,1,"0,448","0,552"
Aleksander Pawlak,Wisła Płock,10,1,"0,212","0,021","0,788","0,212","0,021","0,788",15,0,"0,831","-0,831"
Jarosław Kubicki,Lechia Gdańsk,27,2,"1,216","0,045","0,784","1,216","0,045","0,784",27,2,"1,793","0,207"
Paweł Żyra,Stal Mielec,6,1,"0,217","0,036","0,783","0,217","0,036","0,783",5,1,"0,395","0,605"
Bartłomiej Ciepiela,Stal Mielec,4,1,"0,257","0,064","0,743","0,257","0,064","0,743",7,1,"0,651","0,349"
Mattias Johansson,Legia Warszawa,6,1,"0,274","0,046","0,726","0,274","0,046","0,726",2,0,"0,102","-0,102"
Mateusz Grzybek,Radomiak/Zagłębie,15,2,"1,276","0,085","0,724","1,276","0,085","0,724",14,1,"1,037","-0,037"
Virgil Ghita,Cracovia,35,3,"2,282","0,065","0,718","2,282","0,065","0,718",13,0,"0,651","-0,651"
Tomasz Kupisz,Jagiellonia,4,1,"0,298","0,075","0,702","0,298","0,075","0,702",4,1,"0,131","0,869"
Roberto Alves,Radomiak Radom,45,3,"3,087","0,069","-0,087","2,337","0,053","0,663",55,4,"3,035","0,965"
Rafał Adamski,Zagłębie Lubin,15,2,"1,342","0,089","0,658","1,342","0,089","0,658",7,0,"0,627","-0,627"
Jakub Myszor,Cracovia,22,2,"1,351","0,061","0,649","1,351","0,061","0,649",12,1,"1,249","-0,249"
Jewhen Konoplanka,Cracovia,21,2,"1,360","0,065","0,640","1,360","0,065","0,640",39,2,"2,980","-0,980"
Ernest Muci,Legia Warszawa,70,5,"4,363","0,062","0,637","4,363","0,062","0,637",26,6,"2,676","3,324"
Nemanja Mijusković,Miedź Legnica,16,2,"1,371","0,086","0,629","1,371","0,086","0,629",13,1,"0,936","0,064"
Mateusz Skrzypczak,Jagiellonia,4,1,"0,377","0,094","0,623","0,377","0,094","0,623",0,0,"0,000","0,000"
Michał Feliks,Radomiak Radom,8,1,"0,379","0,047","0,621","0,379","0,047","0,621",3,0,"0,214","-0,214"
Boris Sekulić,Górnik Zabrze,5,1,"0,383","0,077","0,617","0,383","0,077","0,617",10,1,"1,418","-0,418"
Andrejs Ciganiks,Widzew Łódź,6,1,"0,384","0,064","0,616","0,384","0,064","0,616",13,0,"1,081","-1,081"
Dani Pacheco,Górnik Zabrze,34,2,"1,388","0,041","0,612","1,388","0,041","0,612",48,5,"3,652","1,348"
Tomasz Pieńko,Zagłębie Lubin,32,3,"2,390","0,075","0,610","2,390","0,075","0,610",18,0,"1,504","-1,504"
Maciej Śliwa,Miedź Legnica,3,1,"0,393","0,131","0,607","0,393","0,131","0,607",2,0,"0,154","-0,154"
Michał Pazdan,Jagiellonia,3,1,"0,398","0,133","0,602","0,398","0,133","0,602",2,0,"0,195","-0,195"
Kristoffer Hansen,Widzew Łódź,19,3,"2,416","0,127","0,584","2,416","0,127","0,584",4,2,"0,391","1,609"
Dawid Abramowicz,Radomiak Radom,40,4,"3,418","0,085","0,582","3,418","0,085","0,582",33,1,"3,231","-2,231"
Marcus Godinho,Korona Kielce,8,1,"0,419","0,052","0,581","0,419","0,052","0,581",9,0,"0,569","-0,569"
Kamil Grosicki,Pogoń Szczecin,104,13,"11,177","0,107","1,823","7,427","0,075","0,573",93,6,"11,650","-5,650"
Radosław Murawski,Lech Poznań,14,1,"0,445","0,032","0,555","0,445","0,032","0,555",20,2,"1,471","0,529"
Raphael Rossi,Radomiak Radom,18,2,"1,456","0,081","0,544","1,456","0,081","0,544",8,0,"0,371","-0,371"
Tomasz Makowski,Zagłębie Lubin,15,1,"0,456","0,030","0,544","0,456","0,030","0,544",10,1,"0,659","0,341"
Arkadiusz Pyrka,Piast Gliwice,16,2,"1,480","0,093","0,520","1,480","0,093","0,520",16,0,"1,621","-1,621"
Lubomir Satka,Lech Poznań,3,1,"0,485","0,162","0,515","0,485","0,162","0,515",6,0,"0,186","-0,186"
Mathias Hebo Rasmussen,Cracovia,9,1,"0,489","0,054","0,511","0,489","0,054","0,511",9,1,"0,776","0,224"
Dawid Drachal,Miedź Legnica,9,1,"0,491","0,055","0,509","0,491","0,055","0,509",5,0,"0,244","-0,244"
Jordi Sanchez,Widzew Łódź,50,6,"5,499","0,110","0,501","5,499","0,110","0,501",18,2,"2,129","-0,129"
Mateusz Mak,Stal Mielec,12,2,"1,536","0,128","0,464","1,536","0,128","0,464",9,1,"0,957","0,043"
Piotr Krawczyk,Górnik Zabrze,18,4,"3,288","0,183","0,712","2,538","0,149","0,462",15,3,"2,149","0,851"
Jan Grzesik,Warta Poznań,24,3,"2,556","0,107","0,444","2,556","0,107","0,444",22,3,"2,998","0,002"
Anton Krywociuk,Wisła Płock,5,1,"0,561","0,112","0,439","0,561","0,112","0,439",1,0,"0,016","-0,016"
Giannis Massouras,Miedź Legnica,12,1,"0,569","0,047","0,431","0,569","0,047","0,431",9,0,"0,861","-0,861"
Koki Hinokio,Zagłębie/Stal,18,1,"0,570","0,032","0,430","0,570","0,032","0,430",11,0,"0,546","-0,546"
Karol Danielak,Widzew Łódź,12,1,"0,570","0,047","0,430","0,570","0,047","0,430",14,2,"1,624","0,376"
Kacper Kostorz,Korona Kielce,9,2,"1,573","0,175","0,427","1,573","0,175","0,427",0,0,"0,000","0,000"
