ZAWODNIK,KLUB,GOLE
Kamil Grosicki,Pogoń Szczecin,13
Jakub Łukowski,Korona Kielce,12
Bartosz Nowak,Górnik/Raków,11
Bartłomiej Pawłowski,Widzew Łódź,10
Łukasz Zwoliński,Lechia Gdańsk,9
Michał Skóraś,Lech Poznań,9
Szymon Włodarczyk,Górnik Zabrze,9
Kamil Wilczek,Piast Gliwice,9
Michał Rakoczy,Cracovia,7
Paweł Wszołek,Legia Warszawa,7
Rafał Wolski,Wisła Płock,7
Kacper Chodyna,Zagłębie Lubin,7
Fabian Piasecki,Raków Częstochowa,6
Łukasz Sekulski,Wisła Płock,6
Patryk Makuch,Cracovia,6
Bartosz Śpiączka,Korona/Wisła P,6
Sebastian Kowalczyk,Pogoń Szczecin,6
Filip Marchwiński,Lech Poznań,5
Maciej Rosołek,Legia Warszawa,5
Damian Dąbrowski,Pogoń Szczecin,4
Dawid Abramowicz,Radomiak Radom,4
Dominik Kun,Widzew Łódź,4
Łukasz Łakomy,Zagłębie Lubin,4
Maciej Domański,Stal Mielec,4
Maciej Gajos,Lechia Gdańsk,4
Maciej Żurawski,Warta Poznań,4
Piotr Wlazło,Stal Mielec,4
Michał Chrapek,Piast Gliwice,4
Piotr Krawczyk,Górnik Zabrze,4
Rafał Augustyniak,Legia Warszawa,4
Robert Dadok,Górnik Zabrze,4
Miłosz Szczepański,Warta Poznań,4
Maik Nawrocki,Legia Warszawa,4
Dawid Kurminowski,Zagłębie Lubin,4
Ernest Terpiłowski,Widzew Łódź,3
Mateusz Wdowiak,Raków Częstochowa,3
Jan Grzesik,Warta Poznań,3
Aleksander Paluszek,Górnik Zabrze,3
Damian Kądzior,Piast Gliwice,3
Mateusz Łęgowski,Pogoń Szczecin,3
Dawid Błanik,Korona Kielce,3
Grzegorz Tomasiewicz,Piast Gliwice,3
Kajetan Szmyt,Warta Poznań,3
Michael Ameyaw,Piast Gliwice,3
Damian Warchoł,Wisła Płock,3
Patryk Dziczek,Piast Gliwice,3
Tomasz Pieńko,Zagłębie Lubin,3
Piotr Malarczyk,Korona Kielce,3
Artur Sobiech,Lech Poznań,3
Damian Rasak,Wisła P/Górnik,2
Dawid Kocyła,Wisła Płock,2
Dennis Jastrzembski,Śląsk Wrocław,2
Jakub Bartkowski,Pogoń/Lechia,2
Jakub Myszor,Cracovia,2
Mateusz Kowalski,Jagiellonia,2
Mateusz Matras,Stal Mielec,2
Bartosz Kapustka,Legia Warszawa,2
Mateusz Lewandowski,Wisła Płock,2
Patryk Lipski,Widzew Łódź,2
Fryderyk Gerbowski,Stal Mielec,2
Filip Szymczak,Lech Poznań,2
Rafał Adamski,Zagłębie Lubin,2
Kamil Drygas,Pogoń/Miedź,2
Jarosław Kubicki,Lechia Gdańsk,2
Patryk Kun,Raków Częstochowa,2
Kamil Kruk,Stal Mielec,2
Łukasz Bejger,Śląsk Wrocław,2
Karol Knap,Cracovia,2
Michał Nalepa II,Lechia Gdańsk,2
Mateusz Grzybek,Radomiak/Zagłębie,2
Kacper Kostorz,Korona Kielce,2
Mateusz Bochnak,Cracovia,2
Arkadiusz Pyrka,Piast Gliwice,2
Mateusz Mak,Stal Mielec,2
Mateusz Szwoch,Wisła Płock,2
Aleksander Pawlak,Wisła Płock,1
Arkadiusz Kasperkiewicz,Stal Mielec,1
Karol Danielak,Widzew Łódź,1
Maciej Śliwa,Miedź Legnica,1
Olaf Kobacki,Miedź Legnica,1
Paweł Olkowski,Górnik Zabrze,1
Michał Feliks,Radomiak Radom,1
Taras Romanczuk,Jagiellonia,1
Michał Kopczyński,Warta Poznań,1
Adrian Łyszczarz,Śląsk Wrocław,1
Piotr Samiec-Talar,Śląsk Wrocław,1
Juliusz Letniowski,Widzew Łódź,1
Dawid Szymonowicz,Warta Poznań,1
Tomasz Makowski,Zagłębie Lubin,1
Maciej Bortniczuk,Jagiellonia,1
Kacper Smoliński,Pogoń Szczecin,1
Jakub Czerwiński,Piast Gliwice,1
Bartosz Kopacz,Zagłębie Lubin,1
Filip Starzyński,Zagłębie Lubin,1
Jakub Lewicki,Jagiellonia,1
Jacek Podgórski,Korona Kielce,1
Jakub Sypek,Widzew Łódź,1
Tomasz Kupisz,Jagiellonia,1
Adam Ratajczyk,Stal Mielec,1
Fabian Hiszpański,Stal Mielec,1
Miłosz Trojak,Korona Kielce,1
Bartłomiej Ciepiela,Stal Mielec,1
Paweł Żyra,Stal Mielec,1
Szymon Matuszek,Miedź Legnica,1
Mateusz Skrzypczak,Jagiellonia,1
Radosław Murawski,Lech Poznań,1
Wojciech Łaski,Jagiellonia,1
Marcel Wędrychowski,Pogoń Szczecin,1
Jarosław Jach,Zagłębie Lubin,1
Michał Pazdan,Jagiellonia,1
Marcin Cebula,Raków Częstochowa,1
Dawid Drachal,Miedź Legnica,1
Andrzej Niewulis,Miedź Legnica,1
