ZAWODNIK,KLUB,GOLE,ASYSTY,KANADYJSKA,GOLE DRUŻYNY,% GOL,UDZIAŁ%,KAN+2.AS,UDZIAŁ % Z 2.AS
Piotr Krawczyk,Górnik Zabrze,4,3,7,45,"8,9%","15,6%",7,"15,6%"
Dani Pacheco,Górnik Zabrze,2,5,7,45,"4,4%","15,6%",8,"17,8%"
Olaf Kobacki,Miedź Legnica,1,4,5,33,"3,0%","15,2%",7,"21,2%"
Dawid Abramowicz,Radomiak Radom,4,1,5,34,"11,8%","14,7%",7,"20,6%"
Lisandro Semedo,Radomiak Radom,3,2,5,34,"8,8%","14,7%",8,"23,5%"
Filipe Nascimento,Radomiak Radom,3,2,5,34,"8,8%","14,7%",6,"17,6%"
Kristian Vallo,Wisła Płock,2,4,6,41,"4,9%","14,6%",9,"22,0%"
Fabian Piasecki,Raków Częstochowa,6,3,9,63,"9,5%","14,3%",10,"15,9%"
Fran Tudor,Raków Częstochowa,2,7,9,63,"3,2%","14,3%",13,"20,6%"
Petr Schwarz,Śląsk Wrocław,3,2,5,35,"8,6%","14,3%",5,"14,3%"
Nahuel Leiva,Śląsk Wrocław,3,2,5,35,"8,6%","14,3%",9,"25,7%"
Luka Zahović,Pogoń Szczecin,6,2,8,57,"10,5%","14,0%",13,"22,8%"
Mateusz Matras,Stal Mielec,2,3,5,36,"5,6%","13,9%",5,"13,9%"
Maciej Gajos,Lechia Gdańsk,4,0,4,29,"13,8%","13,8%",5,"17,2%"
Ilkay Durmus,Lechia Gdańsk,1,3,4,29,"3,4%","13,8%",4,"13,8%"
Jarosław Kubicki,Lechia Gdańsk,2,2,4,29,"6,9%","13,8%",6,"20,7%"
Konrad Matuszewski,Warta Poznań,0,5,5,37,"0,0%","13,5%",6,"16,2%"
Michael Ameyaw,Piast Gliwice,3,2,5,37,"8,1%","13,5%",6,"16,2%"
Kristoffer Hansen,Widzew Łódź,3,2,5,38,"7,9%","13,2%",7,"18,4%"
Dawid Kurminowski,Zagłębie Lubin,4,0,4,32,"12,5%","12,5%",5,"15,6%"
Damian Dąbrowski,Pogoń Szczecin,4,3,7,57,"7,0%","12,3%",12,"21,1%"
Mateusz Łęgowski,Pogoń Szczecin,3,4,7,57,"5,3%","12,3%",10,"17,5%"
Marko Kolar,Wisła Płock,4,1,5,41,"9,8%","12,2%",7,"17,1%"
Otar Kakabadze,Cracovia,1,4,5,41,"2,4%","12,2%",6,"14,6%"
Hubert Matynia,Miedź Legnica,0,4,4,33,"0,0%","12,1%",4,"12,1%"
Koldo Obieta,Miedź Legnica,3,1,4,33,"9,1%","12,1%",5,"15,2%"
Afonso Sousa,Lech Poznań,4,2,6,51,"7,8%","11,8%",8,"15,7%"
Victor Garcia,Śląsk Wrocław,0,4,4,35,"0,0%","11,4%",6,"17,1%"
Łukasz Bejger,Śląsk Wrocław,2,2,4,35,"5,7%","11,4%",5,"14,3%"
Damian Rasak,Wisła P/Górnik,2,5,7,18,"11,1%","11,1%",8,"11,1%"
Piotr Wlazło,Stal Mielec,4,0,4,36,"11,1%","11,1%",5,"13,9%"
Stratos Svarnas,Raków Częstochowa,3,4,7,63,"4,8%","11,1%",8,"12,7%"
Kanji Okunuki,Górnik Zabrze,4,0,4,37,"10,8%","10,8%",8,"21,6%"
Wahan Biczachczjan,Pogoń Szczecin,6,0,6,57,"10,5%","10,5%",11,"19,3%"
Maciej Rosołek,Legia Warszawa,5,1,6,57,"8,8%","10,5%",9,"15,8%"
Patryk Stępiński,Widzew Łódź,0,4,4,38,"0,0%","10,5%",5,"13,2%"
Ronaldo Deaconu,Korona Kielce,2,2,4,38,"5,3%","10,5%",8,"21,1%"
Dominik Furman,Wisła Płock,0,4,4,41,"0,0%","9,8%",8,"19,5%"
Jewhen Konoplanka,Cracovia,2,2,4,41,"4,9%","9,8%",7,"17,1%"
Karol Knap,Cracovia,2,2,4,41,"4,9%","9,8%",6,"14,6%"
Mateusz Szwoch,Wisła Płock,2,2,4,41,"4,9%","9,8%",5,"12,2%"
Jakub Bartkowski,Pogoń/Lechia,2,2,4,11,"9,1%","9,1%",10,"36,4%"
Aleksander Paluszek,Górnik Zabrze,3,1,4,45,"6,7%","8,9%",4,"8,9%"
Robert Dadok,Górnik Zabrze,4,0,4,45,"8,9%","8,9%",5,"11,1%"
Bartosz Kapustka,Legia Warszawa,2,3,5,57,"3,5%","8,8%",8,"14,0%"
Maik Nawrocki,Legia Warszawa,4,1,5,57,"7,0%","8,8%",7,"12,3%"
Bartłomiej Wdowik,Jagiellonia,0,4,4,48,"0,0%","8,3%",8,"16,7%"
Carlitos,Legia Warszawa,1,3,4,50,"2,0%","8,0%",6,"12,0%"
Mateusz Wdowiak,Raków Częstochowa,3,2,5,63,"4,8%","7,9%",6,"9,5%"
Filip Szymczak,Lech Poznań,2,2,4,51,"3,9%","7,8%",5,"9,8%"
Nika Kwekweskiri,Lech Poznań,2,2,4,51,"3,9%","7,8%",6,"11,8%"
Artur Sobiech,Lech Poznań,3,1,4,51,"5,9%","7,8%",5,"9,8%"
Rafał Augustyniak,Legia Warszawa,4,0,4,54,"7,4%","7,4%",5,"9,3%"
Bartosz Slisz,Legia Warszawa,0,4,4,57,"0,0%","7,0%",6,"10,5%"
Alexander Gorgon,Pogoń Szczecin,3,1,4,57,"5,3%","7,0%",5,"8,8%"
Patryk Kun,Raków Częstochowa,2,2,4,63,"3,2%","6,3%",7,"11,1%"
