DRUŻYNA,MNP,Z,%
Cracovia,18,12,"66,67%"
Górnik Zabrze,18,13,"72,22%"
Jagiellonia Białystok,23,9,"39,13%"
Korona Kielce,16,11,"68,75%"
Lech Poznań,21,17,"80,95%"
Lechia Gdańsk,13,8,"61,54%"
Legia Warszawa,23,19,"82,61%"
Miedź Legnica,16,4,"25,00%"
Piast Gliwice,18,15,"83,33%"
Pogoń Szczecin,23,17,"73,91%"
Radomiak Radom,16,12,"75,00%"
Raków Częstochowa,24,23,"95,83%"
Stal Mielec,14,11,"78,57%"
Śląsk Wrocław,17,9,"52,94%"
Warta Poznań,14,12,"85,71%"
Widzew Łódź,15,11,"73,33%"
Wisła Płock,19,10,"52,63%"
Zagłębie Lubin,19,12,"63,16%"
