ZAWODNIK,KLUB,POZYCJA,MIN BEZ GOLA,MECZE BEZ GOLA,OSTATNI GOL,OSTATNI GOL PRZECIW,MIN BEZ GOLA LUB ASYSTY,MECZE BEZ GOLA LUB ASYSTY,OSTATNI GOL LUB ASYSTA,OSTATNI GOL LUB ASYSTA PRZECIW
Dennis Jastrzembski,Śląsk Wrocław,pomocnik,13,1,13.05.2023,Wisła P,13,1,13.05.2023,Wisła P
Ignacy Dawid,Widzew Łódź,pomocnik,13,1,-,-,13,1,-,-
Jakub Paszkowski,Warta Poznań,pomocnik,12,2,-,-,12,2,-,-
Ivi Lopez,Raków Częstochowa,napastnik,11,0,16.04.2023,Widzew,11,0,16.04.2023,Widzew
Kacper Jodłowski,Cracovia,pomocnik,9,4,-,-,9,4,-,-
Pontus Almqvist,Pogoń Szczecin,napastnik,7,0,20.05.2023,Górnik Z,7,0,20.05.2023,Górnik Z
Hubert Szulc,Korona Kielce,napastnik,5,1,-,-,5,1,-,-
Marcin Garuch,Miedź Legnica,pomocnik,5,1,-,-,5,1,-,-
Adam Dębiński,Widzew Łódź,pomocnik,4,1,-,-,4,1,-,-
Bartłomiej Kolec,Cracovia,pomocnik,3,1,-,-,3,1,-,-
Jakub Jędrasik,Legia Warszawa,pomocnik,3,1,-,-,3,1,-,-
Yadegar Rostami,Pogoń Szczecin,pomocnik,3,1,-,-,3,1,-,-
Przemysław Kapek,Cracovia,napastnik,2,2,-,-,2,2,-,-
Filip Rózga,Cracovia,pomocnik,2,1,-,-,2,1,-,-
Szymon Włodarczyk,Górnik Zabrze,napastnik,2,0,20.05.2023,Pogoń,2,0,20.05.2023,Pogoń
Jędrzej Hanuszczak,Warta Poznań,pomocnik,2,1,-,-,2,1,-,-
Jakub Snopczyński,Radomiak Radom,pomocnik,1,1,-,-,1,1,-,-
Mateusz Kempski,Widzew Łódź,napastnik,1,1,-,-,1,1,-,-
Maciej Gajos,Lechia Gdańsk,pomocnik,0,0,20.05.2023,Legia,0,0,20.05.2023,Legia
Alexander Gorgon,Pogoń Szczecin,pomocnik,0,0,27.05.2023,Radomiak,0,0,27.05.2023,Radomiak
