ZAWODNIK,KLUB,POZYCJA,MIN BEZ GOLA,MECZE BEZ GOLA,OSTATNI GOL,OSTATNI GOL PRZECIW,MIN BEZ GOLA LUB ASYSTY,MECZE BEZ GOLA LUB ASYSTY,OSTATNI GOL LUB ASYSTA,OSTATNI GOL LUB ASYSTA PRZECIW
Koki Hinokio,Stal Mielec,pomocnik,646,12,17.02.2023,Cracovia,646,12,17.02.2023,Cracovia
Patryk Sokołowski,Legia Warszawa,pomocnik,633,19,06.05.2022,Górnik Z,633,19,06.05.2022,Górnik Z
Maciej Żurawski,Warta Poznań,pomocnik,631,12,04.03.2023,Widzew,448,9,19.03.2023,Lechia
Santiago Naveda,Miedź Legnica,pomocnik,617,13,27.08.2022,Lechia,617,13,27.08.2022,Lechia
Patryk Zaucha,Cracovia,pomocnik,607,13,-,-,607,13,-,-
Mateusz Wdowiak,Raków Częstochowa,pomocnik,592,18,15.10.2022,Lechia,592,18,15.10.2022,Lechia
Mateusz Bochnak,Cracovia,pomocnik,591,7,08.04.2023,Pogoń,591,7,08.04.2023,Pogoń
Łukasz Zwoliński,Lechia Gdańsk,napastnik,588,8,10.03.2023,Miedź,588,8,10.03.2023,Miedź
Jorge Felix,Piast Gliwice,pomocnik,586,7,06.04.2023,Śląsk,586,7,06.04.2023,Śląsk
Oliwier Wojciechowski,Jagiellonia Białystok,pomocnik,566,13,-,-,195,4,06.08.2022,Radomiak
Kevin Friesenbichler,Lechia Gdańsk,napastnik,549,14,15.05.2015,Wisła K,520,13,20.05.2015,Górnik Z
Ronaldo Deaconu,Korona Kielce,pomocnik,544,7,01.04.2023,Miedź,324,4,23.04.2023,Zagłębie L
Jordi Sanchez,Widzew Łódź,napastnik,541,7,13.03.2023,Wisła P,541,7,13.03.2023,Wisła P
Mateusz Matras,Stal Mielec,pomocnik,540,6,17.04.2023,Miedź,378,4,30.04.2023,Korona
Lukas Podolski,Górnik Zabrze,napastnik,539,6,20.05.2023,Pogoń,539,6,20.05.2023,Pogoń
Blaz Vrhovec,Górnik Zabrze,pomocnik,537,13,-,-,537,13,-,-
