ZAWODNIK,KLUB,GOLE,G KARNY,G ROŻNY,G WOLNY,G WOLNY BEZP,G AUT,AS SFG,PO SFG,Z GRY,%GOLI PO SFG
Marc Gual,Jagiellonia,15,3,1,1,0,0,1,7,8,"46,7%"
Jesus Imaz,Jagiellonia,14,0,3,0,0,0,2,3,11,"21,4%"
Kamil Grosicki,Pogoń Szczecin,13,5,1,0,0,0,0,6,7,"46,2%"
Jakub Łukowski,Korona Kielce,12,4,0,0,0,0,0,4,8,"33,3%"
Josue,Legia Warszawa,12,7,0,0,2,0,4,9,3,"75,0%"
Bartosz Nowak,Górnik/Raków,11,0,0,0,1,0,1,1,10,"9,1%"
Mikael Ishak,Lech Poznań,11,4,2,0,0,0,0,6,5,"54,5%"
Bartłomiej Pawłowski,Widzew Łódź,10,1,1,0,2,1,0,5,5,"50,0%"
John Yeboah,Śląsk Wrocław,10,1,1,0,0,0,0,2,8,"20,0%"
Davo,Wisła Płock,9,1,0,0,0,1,0,2,7,"22,2%"
Ivi Lopez,Raków Częstochowa,9,4,0,1,1,0,5,6,3,"66,7%"
Łukasz Zwoliński,Lechia Gdańsk,9,2,1,0,0,0,0,3,6,"33,3%"
Michał Skóraś,Lech Poznań,9,0,0,1,0,0,0,1,8,"11,1%"
Said Hamulic,Stal Mielec,9,0,1,1,0,0,1,2,7,"22,2%"
Szymon Włodarczyk,Górnik Zabrze,9,4,0,0,0,0,0,4,5,"44,4%"
Kamil Wilczek,Piast Gliwice,9,0,1,1,0,0,0,2,7,"22,2%"
Adam Zrelak,Warta Poznań,8,0,1,0,0,0,1,1,7,"12,5%"
Vladislavs Gutkovskis,Raków Częstochowa,8,1,2,1,0,0,1,4,4,"50,0%"
Władysław Koczerhin,Raków Częstochowa,8,0,2,0,0,0,1,2,6,"25,0%"
Kristoffer Velde,Lech Poznań,8,1,0,0,0,0,0,1,7,"12,5%"
Angelo Henriquez,Miedź Legnica,7,3,0,1,0,0,0,4,3,"57,1%"
Erik Exposito,Śląsk Wrocław,7,1,0,0,1,0,0,2,5,"28,6%"
Flavio Paixao,Lechia Gdańsk,7,3,0,0,0,0,1,3,4,"42,9%"
Michał Rakoczy,Cracovia,7,0,0,0,0,0,1,0,7,"0,0%"
Paweł Wszołek,Legia Warszawa,7,1,0,0,0,0,0,1,6,"14,3%"
Rafał Wolski,Wisła Płock,7,1,0,0,0,0,1,1,6,"14,3%"
Kacper Chodyna,Zagłębie Lubin,7,1,0,0,0,0,0,2,5,"28,6%"
Benjamin Kallman,Cracovia,6,0,0,0,0,1,0,1,5,"16,7%"
Fabian Piasecki,Raków Częstochowa,6,0,0,1,0,0,1,1,5,"16,7%"
Filip Mladenović,Legia Warszawa,6,0,1,0,0,0,0,1,5,"16,7%"
Jordi Sanchez,Widzew Łódź,6,0,0,0,0,1,0,1,5,"16,7%"
Luka Zahović,Pogoń Szczecin,6,0,1,0,0,0,0,1,5,"16,7%"
Lukas Podolski,Górnik Zabrze,6,0,0,0,1,0,1,1,5,"16,7%"
Łukasz Sekulski,Wisła Płock,6,0,1,0,0,0,0,1,5,"16,7%"
Patryk Makuch,Cracovia,6,1,0,1,0,0,0,2,4,"33,3%"
Wahan Biczachczjan,Pogoń Szczecin,6,0,0,0,0,0,0,0,6,"0,0%"
Bartosz Śpiączka,Korona/Wisła P,6,1,0,1,0,1,0,3,3,"50,0%"
Sebastian Kowalczyk,Pogoń Szczecin,6,3,0,0,0,0,0,3,3,"50,0%"
Chuca,Miedź Legnica,6,0,0,0,0,0,0,0,6,"0,0%"
Jewgienij Szykawka,Korona Kielce,6,0,2,1,0,0,0,3,3,"50,0%"
Leonardo Rocha,Radomiak Radom,6,1,0,2,0,0,0,3,3,"50,0%"
Ernest Muci,Legia Warszawa,5,0,0,1,0,0,1,1,4,"20,0%"
Pontus Almqvist,Pogoń Szczecin,5,0,1,0,0,0,1,1,4,"20,0%"
