KLUB,1. STRZELA,Z,R,P,1. TRACI,Z,R,P
Cracovia,4,3,1,0,7,0,3,4
Górnik Zabrze,7,5,2,0,6,0,1,5
Jagiellonia,8,7,0,1,6,2,2,2
Korona Kielce,5,3,1,1,6,0,3,3
Lech Poznań,7,5,2,0,7,3,2,2
Legia Warszawa,6,6,0,0,7,1,2,4
ŁKS Łódź,3,2,1,0,11,0,0,11
Piast Gliwice,4,2,1,1,5,0,4,1
Pogoń Szczecin,6,5,0,1,7,3,0,4
Puszcza Niepołomice,8,2,4,2,6,0,0,6
Radomiak Radom,8,5,2,1,6,0,1,5
Raków Częstochowa,8,7,0,1,5,1,2,2
Ruch Chorzów,4,1,1,2,8,0,3,5
Stal Mielec,6,4,1,1,7,0,1,6
Śląsk Wrocław,12,8,3,1,2,1,0,1
Warta Poznań,8,4,4,0,5,0,0,5
Widzew Łódź,6,3,1,2,7,1,2,4
Zagłębie Lubin,6,4,2,0,8,2,0,6
