KLUB,RAZEM,KARNY,ROŻNY,WOLNY,WOLNY BEZP,AUT,PO SFG,% PO SFG,Z GRY,% Z GRY,SUMA,756,76,90,43,14,16,243,"32,14%",513,"67,86%"
Cracovia,35,7,3,3,1,0,14,"40,00%",21,"60,00%"
Górnik Zabrze,43,2,5,3,2,2,15,"34,88%",28,"65,12%"
Jagiellonia,49,3,9,1,2,1,16,"32,65%",33,"67,35%"
Korona Kielce,48,8,5,3,1,1,18,"37,50%",30,"62,50%"
Lech Poznań,29,5,1,2,1,1,11,"37,93%",18,"62,07%"
Lechia Gdańsk,53,5,9,3,0,1,18,"33,96%",35,"66,04%"
Legia Warszawa,37,2,1,2,1,0,6,"16,22%",31,"83,78%"
Miedź Legnica,55,7,6,5,2,2,23,"41,82%",32,"58,18%"
Piast Gliwice,32,4,6,4,0,0,14,"43,75%",18,"56,25%"
Pogoń Szczecin,46,4,10,2,0,0,16,"34,78%",30,"65,22%"
Radomiak Radom,41,5,3,4,1,1,14,"34,15%",27,"65,85%"
Raków Częstochowa,24,4,4,2,1,0,11,"45,83%",13,"54,17%"
Stal Mielec,40,4,4,2,0,0,10,"25,00%",30,"75,00%"
Śląsk Wrocław,48,3,4,2,0,2,11,"22,92%",37,"77,08%"
Warta Poznań,35,1,4,0,0,2,7,"20,00%",28,"80,00%"
Widzew Łódź,47,2,2,1,1,1,7,"14,89%",40,"85,11%"
Wisła Płock,50,6,8,1,1,1,17,"34,00%",33,"66,00%"
Zagłębie Lubin,44,4,6,3,0,1,15,"34,09%",29,"65,91%"
