ZAWODNIK,KLUB,FAULE,FAULOWANY,SPALONE
Jakub Rzeźniczak,Wisła Płock,31,12,0
Grzegorz Tomasiewicz,Piast Gliwice,30,66,3
Dominik Furman,Wisła Płock,30,38,2
Filip Marchwiński,Lech Poznań,30,21,3
Wahan Biczachczjan,Pogoń Szczecin,30,21,3
Damian Jakubik,Radomiak Radom,30,12,0
Bartłomiej Pawłowski,Widzew Łódź,29,58,5
Damian Kądzior,Piast Gliwice,29,48,9
Bartosz Kapustka,Legia Warszawa,29,34,1
Konrad Poprawa,Śląsk Wrocław,29,19,1
Adam Deja,Korona Kielce,29,17,0
Szymon Włodarczyk,Górnik Zabrze,29,13,8
Virgil Ghita,Cracovia,29,8,0
Damian Rasak,Wisła P/Górnik,28,48,1
Robert Dadok,Górnik Zabrze,28,33,4
Filip Mladenović,Legia Warszawa,28,33,5
Ernest Terpiłowski,Widzew Łódź,28,19,8
Bojan Nastić,Jagiellonia,28,17,0
Marko Poletanović,Zagłębie Lubin,28,11,0
Otar Kakabadze,Cracovia,28,10,4
MIchał Kopczyński,Warta Poznań,28,8,0
Takuto Oshima,Cracovia,27,48,1
John Yeboah,Śląsk Wrocław,27,48,9
Sebastian Kowalczyk,Pogoń Szczecin,27,47,3
Jakub Łukowski,Korona Kielce,27,45,3
Maciej Rosołek,Legia Warszawa,27,31,6
Juliusz Letniowski,Widzew Łódź,27,29,0
Piotr Tomasik,Wisła Płock,27,27,4
Jesus Imaz,Jagiellonia,27,25,37
Kacper Chodyna,Zagłębie Lubin,27,21,6
Robert Ivanov,Warta Poznań,27,21,2
Rafał Augustyniak,Legia Warszawa,27,18,1
Filip Szymczak,Lech Poznań,27,13,3
Bogdan Tiru,Jagiellonia,27,11,0
Victor Garcia,Śląsk Wrocław,27,6,1
Jan Grzesik,Warta Poznań,26,48,6
Jorge Felix,Piast Gliwice,26,38,3
Maciej Gajos,Lechia Gdańsk,26,36,3
Joel Pereira,Lech Poznań,26,28,1
Arkadiusz Pyrka,Piast Gliwice,26,28,3
Lisandro Semedo,Radomiak Radom,26,23,9
Diogo Verdasca,Śląsk Wrocław,26,18,1
Adrian Danek,Korona Kielce,26,17,1
Carlitos,Legia Warszawa,26,12,12
Richard Jensen,Górnik Zabrze,26,11,1
Martin Kreuzriegler,Widzew Łódź,26,7,1
Aleksander Paluszek,Górnik Zabrze,26,3,0
Kajetan Szmyt,Warta Poznań,25,41,5
Patrick Olsen,Śląsk Wrocław,25,37,2
Conrado,Lechia Gdańsk,25,36,6
Rauno Sappinen,Piast/Stal,25,32,10
Ariel Mosór,Piast Gliwice,25,26,1
Władysław Koczerhin,Raków Częstochowa,25,25,4
Nika Kwekweskiri,Lech Poznań,25,22,0
Nahuel Leiva,Śląsk Wrocław,25,22,0
Jakub Bartkowski,Pogoń/Lechia,25,20,0
Chuca,Miedź Legnica,25,19,1
Afonso Sousa,Lech Poznań,25,16,4
Jarosław Jach,Zagłębie Lubin,25,9,1
Fedor Cernych,Jagiellonia,25,7,12
Ernest Muci,Legia Warszawa,24,33,8
Maciej Wolski,Stal Mielec,24,31,1
Nono,Korona Kielce,24,25,3
Fryderyk Gerbowski,Stal Mielec,24,23,1
Kamil Kruk,Stal Mielec,24,22,2
Mateusz Wdowiak,Raków Częstochowa,24,20,8
Levent Gulen,Miedź Legnica,24,15,2
Damian Dąbrowski,Pogoń Szczecin,24,14,0
Barry Douglas,Lech Poznań,24,9,1
Andrzej Niewulis,Raków/Miedź,24,9,2
Steve Kapuadi,Wisła Płock,24,3,0
Jean Carlos Silva,Pogoń/Raków,23,41,5
Krystian Getinger,Stal Mielec,23,40,4
Michael Ameyaw,Piast Gliwice,23,27,9
Olaf Kobacki,Miedź Legnica,23,24,7
Dani Pacheco,Górnik Zabrze,23,19,3
Gustav Berggren,Raków Częstochowa,23,9,0
Kristoffer Velde,Lech Poznań,22,56,8
Thabo Cele,Radomiak Radom,22,36,0
Leandro Rocha,Radomiak Radom,22,28,2
Ilkay Durmus,Lechia Gdańsk,22,26,9
Daniel Leo Gretarsson,Śląsk Wrocław,22,20,1
Emil Bergstrom,Górnik Zabrze,22,9,1
Giannis Massouras,Miedź Legnica,22,6,3
Maik Nawrocki,Legia Warszawa,22,5,0
Lukas Podolski,Górnik Zabrze,21,26,10
Patryk Janasik,Śląsk Wrocław,21,18,2
Rafał Pietrzak,Lechia Gdańsk,21,17,0
Paweł Jaroszyński,Cracovia,21,15,1
Dennis Jastrzembski,Śląsk Wrocław,21,14,2
Sasa Balić,Korona Kielce,21,12,0
Hubert Matynia,Miedź Legnica,21,10,2
Tom Hateley,Piast Gliwice,21,9,0
Konrad Matuszewski,Warta Poznań,20,35,2
Guram Giorbelidze,Zagłębie Lubin,20,22,0
Benedikt Zech,Pogoń Szczecin,20,20,1
Koki Hinokio,Zagłębie/Stal,20,18,1
Karol Knap,Cracovia,20,18,0
Michał Rzuchowski,Śląsk Wrocław,20,17,0
Caye Quintana,Śląsk Wrocław,20,16,3
Kristers Tobers,Lechia Gdańsk,20,12,1
Dalibor Takac,Korona Kielce,20,10,0
Damian Tront,Miedź Legnica,20,10,0
David Stec,Lechia Gdańsk,20,9,0
Carlos Julio Martinez,Miedź Legnica,20,8,0
Michal Siplak,Cracovia,20,8,1
Kamil Zapolnik,Miedź Legnica,20,8,1
Nemanja Mijusković,Miedź Legnica,20,7,2
Dusan Stojinović,Jagiellonia,20,5,0
Mateusz Grzybek,Radomiak/Zagłębie,19,63,3
Yuri Ribeiro,Legia Warszawa,19,34,2
Tomas Prikryl,Jagiellonia,19,28,5
Aleks Ławniczak,Zagłębie Lubin,19,23,0
Bartłomiej Wdowik,Jagiellonia,19,23,2
Kacper Sezonienko,Lechia Gdańsk,19,17,1
Cornel Rapa,Cracovia,19,15,2
Joel Abu Hanna,Lechia Gdańsk,19,9,0
Kostas Triantafyllopoulos,Pogoń Szczecin,19,7,0
Kristian Vallo,Wisła Płock,19,7,9
David Jablonsky,Cracovia,19,6,0
Michał Pazdan,Jagiellonia,19,4,0
Paweł Olkowski,Górnik Zabrze,18,26,4
Filip Starzyński,Zagłębie Lubin,18,23,4
Leonardo Koutris,Pogoń Szczecin,18,21,4
Mateusz Cichocki,Radomiak Radom,18,13,1
Patryk Stępiński,Widzew Łódź,18,13,2
Bogdan Racovitan,Raków Częstochowa,18,12,1
Tomas Pekhart,Legia Warszawa,18,10,6
Serafin Szota,Widzew Łódź,18,6,2
Joeri de Kamps,Lechia Gdańsk,18,3,0
Ronaldo Deaconu,Korona Kielce,17,24,1
Mateusz Skrzypczak,Jagiellonia,17,21,0
Marcin Szpakowski,Korona Kielce,17,20,0
Mikołaj Lebedyński,Stal Mielec,17,19,2
MIchael Kostka,Miedź Legnica,17,12,2
Francisco Ramos,Radomiak Radom,17,12,1
Jakub Jugas,Cracovia,17,11,4
Miguel Luis,Warta Poznań,17,11,2
Mato Milos,Widzew Łódź,17,11,6
Oskar Sewerzyński,Korona Kielce,17,10,0
Blaz Vrhovec,Górnik Zabrze,17,9,0
Kryspin Szcześniak,Górnik Zabrze,17,7,0
Pedro Justiniano,Radomiak Radom,17,4,0
Juljan Shehu,Widzew Łódź,16,36,2
Bassekou Diabate,Lechia Gdańsk,16,33,3
Paweł Stolarski,Pogoń Szczecin,16,28,2
Filipe Nascimento,Radomiak Radom,16,21,0
Daisuke Yokota,Górnik Zabrze,16,19,1
Santiago Naveda,Miedź Legnica,16,18,0
Dawid Kurminowski,Zagłębie Lubin,16,18,1
Antonio Milić,Lech Poznań,16,14,2
Dawid Drachal,Miedź Legnica,16,14,2
Marcel Wędrychowski,Pogoń Szczecin,16,11,3
Joao Amaral,Lech Poznań,16,9,0
Andrejs Ciganiks,Widzew Łódź,16,9,2
Martin Dolezal,Zagłębie Lubin,16,8,5
Florian Loshaj,Cracovia,16,8,1
Jani Atanasov,Cracovia,16,8,0
Jakub Szymański,Górnik Zabrze,16,7,0
Adam Chrzanowski,Wisła Płock,16,6,0
Linus Wahlqvist,Pogoń Szczecin,16,5,0
Maciej Domański,Stal Mielec,15,50,1
Mikael Ishak,Lech Poznań,15,27,13
Davo,Wisła Płock,15,26,3
Niilo Maenpaa,Warta Poznań,15,18,0
Jurich Carolina,Miedź Legnica,15,18,0
Bartosz Nowak,Górnik/Raków,15,16,8
Mattias Johansson,Legia Warszawa,15,13,0
Alan Czerwiński,Lech Poznań,15,11,0
Adrian Łyszczarz,Śląsk Wrocław,15,11,0
Matej Rodin,Cracovia,15,11,1
MIlan Rundić,Raków Częstochowa,15,11,0
Enis Destan,Warta Poznań,15,10,0
Mateusz Bartolewski,Zagłębie Lubin,15,6,0
Leo Borges,Pogoń Szczecin,15,6,1
Mateusz Lewandowski,Wisła Płock,15,4,4
Kamil Kościelny,Warta Poznań,15,3,0
Dawid Błanik,Korona Kielce,14,36,0
Flavio Paixao,Lechia Gdańsk,14,35,15
Marcos Gual,Jagiellonia,14,29,5
Maciej Żurawski,Warta Poznań,14,25,1
Ivi Lopez,Raków Częstochowa,14,24,9
Łukasz Zjawiński,Lechia/Widzew,14,22,5
Piotr Samiec-Talar,Śląsk Wrocław,14,19,1
Tornike Gaprindaszwili,Zagłębie Lubin,14,17,4
Rafał Janicki,Górnik Zabrze,14,9,2
Martin Sulek,Wisła Płock,14,9,0
Makana Baku,Legia Warszawa,14,8,7
Tomasz Pieńko,Zagłębie Lubin,13,30,3
Maurides,Radomiak Radom,13,19,11
Norbert Wojtuszek,Górnik Zabrze,13,17,0
Marcos Adamski,Zagłębie Lubin,13,16,1
Ben Lederman,Raków Częstochowa,13,16,0
Adriel Ba Loua,Lech Poznań,13,16,2
Christos Donis,Radomiak Radom,13,16,1
Jakub Kałuziński,Lechia Gdańsk,13,14,0
Jakub Myszor,Cracovia,13,13,0
Miłosz Matysik,Jagiellonia,13,11,0
Dominick Zator,Korona Kielce,13,11,1
Jonatan Kotzke,Górnik Zabrze,13,10,1
Marius Briceag,Korona Kielce,13,9,0
Filip Lesniak,Wisła Płock,13,8,0
Piotr Malarczyk,Korona Kielce,13,7,2
Mariusz Malec,Pogoń Szczecin,13,5,1
Boris Sekulić,Górnik Zabrze,13,5,2
Bartłomiej Ciepiela,Stal Mielec,13,4,3
Wiktor Pleśnierowicz,Warta Poznań,13,3,0
Filip Dagerstal,Lech Poznań,13,3,0
Aurelien Nguiamba,Jagiellonia,13,3,0
Leandro Rossi,Radomiak Radom,12,21,3
Martin Konczkowski,Śląsk Wrocław,12,18,1
Pontus Almqvist,Pogoń Szczecin,12,17,4
Bartosz Bida,Jagiellonia,12,17,6
Alberto Toril,Piast Gliwice,12,16,4
Łukasz Bejger,Śląsk Wrocław,12,16,0
Luciano Narsingh,Miedź Legnica,12,15,14
Dimityr Wełkowski,Miedź Legnica,12,14,4
Wiktor Długosz,Raków Częstochowa,12,10,0
Marcos Terrazzino,Lechia Gdańsk,12,10,3
Mike Cestor,Radomiak Radom,12,8,0
Said Hamulic,Stal Mielec,11,42,9
Berto Cayarga,Radomiak Radom,11,38,1
Miłosz Szczepański,Warta Poznań,11,33,4
Michal Sacek,Jagiellonia,11,28,0
Mateusz Cholewiak,Górnik Zabrze,11,24,5
Dominik Piła,Lechia Gdańsk,11,13,4
Jakub Kiełb,Warta Poznań,11,12,3
Rafał Kurzawa,Pogoń Szczecin,11,11,1
Heorhij Citaiszwili,Lech Poznań,11,9,1
Daniel Pik,Radomiak Radom,11,6,0
Constantin Reiner,Piast Gliwice,11,6,1
Tomasz Kupisz,Jagiellonia,11,5,3
Szymon Matuszek,Miedź Legnica,11,4,1
Kamil Grosicki,Pogoń Szczecin,11,3,11
Dawid Kocyła,Wisła Płock,10,19,4
Martin Pospisil,Jagiellonia,10,10,0
Jakub Sypek,Widzew Łódź,10,7,1
Piotr Krawczyk,Górnik Zabrze,10,6,8
Artur Sobiech,Lech Poznań,10,6,1
Michał Kaput,Piast Gliwice,10,4,0
Jewhen Konoplanka,Cracovia,9,40,1
Deian Sorescu,Raków Częstochowa,9,19,3
Jakub Lewicki,Jagiellonia,9,17,0
Frank Castaneda,Radomiak Radom,9,17,5
Damjan Bohar,Zagłębie Lubin,9,16,7
Tomas Petrasek,Raków Częstochowa,9,4,0
Arttu Hoskonen,Cracovia,9,1,0
Mario Maloca,Lechia Gdańsk,8,15,1
Marko Kolar,Wisła Płock,8,11,3
Wojciech Łaski,Jagiellonia,8,10,0
Alex Vallejo,Stal Mielec,8,8,1
Marcus Godinho,Korona Kielce,8,7,0
Oliwier Wojciechowski,Jagiellonia,8,5,1
Gabriel Kirejczyk,Piast Gliwice,8,5,7
Danijel Loncar,Pogoń Szczecin,8,5,0
Mariusz Fornalczyk,Pogoń Szczecin,8,3,0
Milan Corryn,Warta Poznań,8,1,0
Luis Mata,Pogoń/Zagłębie,7,10,0
Pedro Rebocho,Lech Poznań,7,10,0
Lindsay Rose,Legia Warszawa,7,9,1
Jakub Nowakowski,Radomiak Radom,7,9,0
Jacek Kiełb,Korona Kielce,7,7,1
Michał Kucharczyk,Pogoń Szczecin,7,6,0
Jean Franco Sarmiento,Radomiak Radom,7,6,3
Adam Frączczak,Korona Kielce,7,5,3
Andrzej Trubeha,Jagiellonia,7,5,1
Paweł Zieliński,Widzew Łódź,7,5,3
Paweł Żyra,Stal Mielec,7,5,0
Mateusz Bochnak,Cracovia,7,5,2
Anthony van den Hurk,Górnik Zabrze,7,4,2
Lubomir Satka,Lech Poznań,7,3,0
Patryk Sokołowski,Legia Warszawa,7,3,1
Luka Zarandia,Korona Kielce,7,2,0
Roberto Corral,Korona Kielce,7,1,0
Henrik Castegren,Lechia Gdańsk,7,1,0
Jeronimo Cacciabue,Miedź Legnica,7,0,0
Fabio Nunes,Widzew Łódź,6,26,1
Mateusz Mak,Stal Mielec,6,14,5
Aleksander Pawlak,Wisła Płock,6,12,2
Damian Warchoł,Wisła Płock,6,11,5
Robert Pich,Legia Warszawa,6,9,0
Anton Krywociuk,Wisła Płock,6,9,1
Marcin Cebula,Raków Częstochowa,6,8,0
Damian Michalski,Wisła Płock,6,7,0
Mario Zebić,Korona Kielce,6,6,0
Karol Danielak,Widzew Łódź,6,4,3
Alasana Manneh,Górnik Zabrze,6,4,1
Alex Sobczyk,Piast Gliwice,6,4,4
Kacper Kostorz,Korona Kielce,6,2,1
Jurgen Celhaka,Legia Warszawa,6,1,0
Adam Ratajczyk,Stal Mielec,5,28,3
Luizao,Radomiak Radom,5,12,0
Maciej Bortniczuk,Jagiellonia,5,9,0
Kamil Pestka,Cracovia,5,8,3
Kevin Friesenbichler,Lechia Gdańsk,5,8,0
Adrian Bukowski,Śląsk Wrocław,5,7,0
Miguel Munoz,Piast Gliwice,5,7,0
Szymon Czyż,Raków Częstochowa,5,6,0
Alexander Gorgon,Pogoń Szczecin,5,6,2
Tomasz Mokwa,Piast Gliwice,5,5,0
Sebastian Musiolik,Raków Częstochowa,5,4,1
Filip Koperski,Lechia Gdańsk,5,3,0
Maksymilian Pingot,Lech Poznań,5,3,0
Sebastian Bergier,Śląsk Wrocław,5,2,0
Jakub Świerczok,Zagłębie Lubin,5,1,1
Stefan Savić,Warta Poznań,4,18,4
Sasa Zivec,Zagłębie Lubin,4,11,0
Paweł Olszewski,Jagiellonia,4,10,0
Michał Feliks,Radomiak Radom,4,8,0
Grzegorz Szymusik,Korona Kielce,4,7,0
Cheikhou Dieng,Zagłębie Lubin,4,5,1
Dariusz Pawłowski,Radomiak Radom,4,5,0
Dominykas Barauskas,Stal Mielec,4,4,0
Kristoffer Hansen,Widzew Łódź,4,4,0
Mathias Hebo Rasmussen,Cracovia,4,4,1
Igor Drapiński,Wisła Płock,4,4,0
Christian Clemens,Lechia Gdańsk,4,3,0
Jon Aurtenetxe,Miedź Legnica,4,3,0
Tomasz Neugebauer,Lechia Gdańsk,4,3,0
Jakub Holubek,Piast Gliwice,4,2,0
Mateusz Wieteska,Legia Warszawa,4,2,0
Blaz Kramer,Legia Warszawa,4,2,3
Mateusz Kowalski,Jagiellonia,4,1,2
Jakub Żubrowski,Zagłębie Lubin,4,0,0
Bartosz Kwiecień,Jagiellonia,4,0,0
Igor Strzałek,Legia Warszawa,3,9,0
Bozidar Czorbadżijski,Widzew Łódź,3,8,3
Łukasz Sierpina,Korona Kielce,3,5,0
Arkadiusz Woźniak,Zagłębie Lubin,3,4,0
Bogdan Vastsuk,Stal Mielec,3,4,0
Filip Kocaba,Zagłębie Lubin,3,4,0
Maciej Śliwa,Miedź Legnica,3,3,1
Dariusz Stalmach,Górnik Zabrze,3,3,0
Karol Borys,Śląsk Wrocław,3,2,0
Bartosz Salamon,Lech Poznań,3,1,2
Krystian Okoniewski,Radomiak Radom,3,1,0
Michał Gurgul,Lech Poznań,3,1,0
Szczepan Mucha,Piast Gliwice,3,1,0
Filip Wilak,Lech Poznań,3,1,0
Ihor Charatin,Legia Warszawa,3,0,0
Javier Ajenjo Hyjek,Śląsk Wrocław,2,8,0
Dante Stipica,Pogoń Szczecin,2,7,0
Przemysław Maj,Stal Mielec,2,4,0
Jens Gammelby,Miedź Legnica,2,3,0
Vladan Kovacević,Raków Częstochowa,2,2,0
Radosław Cielemęcki,Wisła Płock,2,2,0
Patryk Szwedzik,Śląsk Wrocław,2,2,3
Michał Mokrzycki,Wisła Płock,2,1,0
David Poreba,Stal Mielec,2,1,0
Tiago Matos,Radomiak Radom,2,1,0
Miroslav Gono,Wisła Płock,2,1,1
Kacper Smoliński,Pogoń Szczecin,2,0,0
Kacper Śmiglewski,Cracovia,2,0,0
Yadegar Rostami,Pogoń Szczecin,2,0,0
Zlatan Alomerović,Jagiellonia,1,7,0
Krzysztof Kamiński,Wisła Płock,1,6,0
Camilo Mena,Jagiellonia,1,6,2
Konrad Forenc,Korona Kielce,1,5,0
Patryk Lipski,Widzew Łódź,1,4,0
Daniel Łukasik,Radomiak Radom,1,4,0
Mateusz Abramowicz,Miedź Legnica,1,4,0
Rafał Leszczyński,Śląsk Wrocław,1,4,0
Emmanuel Agbor,Miedź Legnica,1,4,0
Filip Balaj,Cracovia,1,3,0
Bartosz Mrozek,Stal Mielec,1,3,0
Robin Kamber,Górnik Zabrze,1,3,0
Mateusz Stawny,Śląsk Wrocław,1,3,0
Kacper Bieszczad,Zagłębie Lubin,1,2,0
Kevin Broll,Górnik Zabrze,1,2,0
Szymon Kobusiński,Zagłębie Lubin,1,2,0
Krzysztof Kubica,Górnik Zabrze,1,2,0
Amadej Marosa,Górnik Zabrze,1,2,2
Dusan Kuciak,Lechia Gdańsk,1,2,0
Milan Kvocera,Wisła Płock,1,2,3
Karol Niemczycki,Cracovia,1,2,0
Tomas Huk,Piast Gliwice,1,1,0
Krystian Kardyś,Stal Mielec,1,1,0
Jayson Papeau,Warta Poznań,1,1,0
Igor Sapała,Raków Częstochowa,1,1,0
Krzysztof Kolanko,Górnik Zabrze,1,1,0
Janusz Nojszewski,Korona Kielce,1,1,0
Juan Camara,Jagiellonia,1,1,2
Adrian Przyborek,Pogoń Szczecin,1,1,0
Tobiasz Kubik,Raków Częstochowa,1,1,0
Martin Hasek,Wisła Płock,1,1,0
Lirim Kastrati,Legia Warszawa,1,0,0
Mikołaj Rakowski,Warta Poznań,1,0,0
Mateusz Żukowski,Lech Poznań,1,0,0
Szymon Sarbinowski,Warta Poznań,1,0,0
Paweł Chrupałła,Wisła Płock,1,0,0
Dawid Bałdyga,Śląsk Wrocław,1,0,0
Filip Rózga,Cracovia,1,0,0
Marcin Garuch,Miedź Legnica,1,0,0
Jakub Paszkowski,Warta Poznań,1,0,0
Gabriel Kobylak,Radomiak Radom,0,11,0
Marcel Zapytowski,Korona Kielce,0,6,0
Frantisek Plach,Piast Gliwice,0,5,0
Leandro,Stal Mielec,0,4,0
Kacper Tobiasz,Legia Warszawa,0,4,0
Adrian Lis,Warta Poznań,0,4,0
Henrich Ravas,Widzew Łódź,0,3,0
Michał Buchalik,Lechia Gdańsk,0,3,0
Filip Bednarek,Lech Poznań,0,3,0
Daniel Bielica,Górnik Zabrze,0,3,0
Jędrzej Grobelny,Warta Poznań,0,3,0
Bartłomiej Gradecki,Wisła Płock,0,2,0
Michał Jakóbowski,Warta Poznań,0,2,0
Mehdi Lehaire,Miedź Legnica,0,2,0
Dominik Sokół,Radomiak Radom,0,2,0
Michał Szromnik,Śląsk Wrocław,0,2,0
Paweł Lenarcik,Miedź Legnica,0,2,0
Daniel Szelągowski,Raków Częstochowa,0,2,0
Dawid Więckowski,Korona Kielce,0,2,0
Jasmin Burić,Zagłębie Lubin,0,2,0
Nikodem Zielonka,Górnik Zabrze,0,2,0
Sokratis Dioudis,Zagłębie Lubin,0,2,0
Dominik Hładun,Legia Warszawa,0,2,0
Wiktor Kamiński,Warta Poznań,0,2,2
Lukas Hrosso,Cracovia,0,2,0
Kacper Trelowski,Raków Częstochowa,0,1,0
Walerian Gwilia,Raków Częstochowa,0,1,0
Bartosz Klebaniuk,Pogoń Szczecin,0,1,0
Jakub Konstantyn,Korona Kielce,0,1,0
Filip Zawadzki,Widzew Łódź,0,1,0
Tomasz Walczak,Wisła Płock,0,1,0
Marcel Zylla,Śląsk Wrocław,0,1,1
