ZAWODNIK,KLUB,FAULE,FAULOWANY,SPALONE
Adam Zrelak,Warta Poznań,76,32,20
Giannis Papanikolaou,Raków Częstochowa,53,40,1
Radosław Murawski,Lech Poznań,51,38,0
Nene,Jagiellonia,50,62,3
Patryk Dziczek,Piast Gliwice,50,20,0
Michał Skóraś,Lech Poznań,48,59,7
Maxime Dominguez,Miedź Legnica,47,57,6
Piotr Wlazło,Stal Mielec,45,51,2
Marek Hanousek,Widzew Łódź,44,21,1
Roberto Alves,Radomiak Radom,43,53,3
Michał Chrapek,Piast Gliwice,43,48,2
Vladislavs Gutkovskis,Raków Częstochowa,43,41,11
Mich Rakoczy,Cracovia,43,37,1
Łukasz Łakomy,Zagłębie Lubin,43,33,1
Bartosz Śpiączka,Korona Kielce,43,17,14
Kyryło Petrow,Korona Kielce,42,22,1
Benjamin Kallman,Cracovia,42,17,7
Mateusz Matras,Stal Mielec,41,21,1
Jacek Podgórski,Korona Kielce,41,9,3
Luka Zahović,Pogoń Szczecin,40,41,11
Angelo Henriquez,Miedź Legnica,40,22,12
Taras Romanczuk,Jagiellonia,40,20,1
Israel Puerto,Jagiellonia,40,12,0
Jesper Karlstrom,Lech Poznań,39,36,0
Raphael Rossi,Radomiak Radom,39,27,0
Dimitris Stavropoulos,Warta Poznań,39,19,0
Luis Machado,Radomiak Radom,38,46,7
Mateusz Łęgowski,Pogoń Szczecin,38,29,0
Mateusz Kupczak,Warta Poznań,38,18,0
Mateusz Żyro,Widzew Łódź,38,17,1
Patryk Makuch,Cracovia,37,63,7
Erik Exposito,Śląsk Wrocław,37,54,15
Jewgienij Szykawka,Korona Kielce,37,38,16
Jordi Sanchez,Widzew Łódź,37,34,16
Alexandros Katranis,Piast Gliwice,37,32,2
Stratos Svarnas,Raków Częstochowa,37,23,2
Arkadiusz Kasperkiewicz,Stal Mielec,37,20,2
Kanji Okunuki,Górnik Zabrze,37,17,12
Dawid Szymonowicz,Warta Poznań,36,34,0
Rafał Wolski,Wisła Płock,35,86,7
Fabian Hiszpański,Stal Mielec,35,49,1
Kamil Wilczek,Piast Gliwice,35,43,11
Mateusz Szwoch,Wisła Płock,35,42,2
Erik Janza,Górnik Zabrze,35,35,4
Patryk Kun,Raków Częstochowa,35,28,3
Tomasz Makowski,Zagłębie Lubin,35,7,0
Miłosz Trojak,Korona Kielce,34,34,1
Artur Jędrzejczyk,Legia Warszawa,34,33,2
Łukasz Sekulski,Wisła Płock,34,29,22
Koldo Obieta,Miedź Legnica,34,22,3
Bartłomiej Kłudka,Zagłębie Lubin,34,16,4
Fran Tudor,Raków Częstochowa,33,45,3
Łukasz Zwoliński,Lechia Gdańsk,33,32,36
Jean Mvondo,Górnik Zabrze,33,30,0
Bartosz Slisz,Legia Warszawa,33,27,0
Bartosz Kopacz,Zagłębie Lubin,33,24,0
Michał Nalepa II,Lechia Gdańsk,33,13,0
Josue,Legia Warszawa,32,115,4
Zoran Arsenić,Raków Częstochowa,32,51,1
Petr Schwarz,Śląsk Wrocław,32,33,3
Dawid Abramowicz,Radomiak Radom,32,32,4
Jakub Czerwiński,Piast Gliwice,32,14,0
Jarosław Kubicki,Lechia Gdańsk,31,39,0
Kamil Drygas,Pogoń/Miedź,31,26,7
Dominik Kun,Widzew Łódź,31,26,1
Marcin Flis,Stal Mielec,31,24,1
Fabian Piasecki,Raków Częstochowa,31,20,12
Paweł Wszołek,Legia Warszawa,31,17,9
