KLUB,M,PKT,Z,R,P,BZ,BS,BILANS,śr. Pkt,śr. BZ,śr. BS
Raków Częstochowa,17,44,14,2,1,41,10,31,"2,59","2,41","0,59"
Legia Warszawa,17,41,12,5,0,38,17,21,"2,41","2,24","1,00"
Pogoń Szczecin,17,34,10,4,3,33,23,10,"2,00","1,94","1,35"
Cracovia,17,29,8,5,4,23,10,13,"1,71","1,35","0,59"
Lech Poznań,17,29,9,2,6,25,15,10,"1,71","1,47","0,88"
Jagiellonia,17,28,8,4,5,30,22,8,"1,65","1,76","1,29"
Wisła Płock,17,28,8,4,5,23,16,7,"1,65","1,35","0,94"
Korona Kielce,17,27,8,3,6,19,19,0,"1,59","1,12","1,12"
Piast Gliwice,17,25,7,4,6,20,15,5,"1,47","1,18","0,88"
Stal Mielec,17,25,6,7,4,18,14,4,"1,47","1,06","0,82"
Śląsk Wrocław,17,24,6,6,5,23,23,0,"1,41","1,35","1,35"
Górnik Zabrze,17,23,6,5,6,23,23,0,"1,35","1,35","1,35"
Warta Poznań,17,22,5,7,5,21,18,3,"1,29","1,24","1,06"
Lechia Gdańsk,17,19,5,4,8,15,22,-7,"1,12","0,88","1,29"
Radomiak Radom,17,19,5,4,8,17,20,-3,"1,12","1,00","1,18"
Widzew Łódź,17,18,5,3,9,22,28,-6,"1,06","1,29","1,65"
Zagłębie Lubin,17,17,4,5,8,13,20,-7,"1,00","0,76","1,18"
Miedź Legnica,17,16,3,7,7,16,23,-7,"0,94","0,94","1,35"
