KLUB,śr./mecz,celne,ncel,zabl,% zabl,Celne/gol bez sam,% celn,G BEZ SAM/DLA
Cracovia,"13,15","4,15","5,53","3,47","26,40%","3,62","31,54%","8,72%"
Górnik Z,"12,76","4,29","4,79","3,68","28,80%","3,24","33,64%","10,37%"
Jagiellonia,"11,50","4,09","4,21","3,21","27,88%","3,09","35,55%","11,51%"
Korona,"13,06","4,41","5,53","3,12","23,87%","3,95","33,78%","8,56%"
Lech,"15,35","5,85","5,38","4,12","26,82%","3,90","38,12%","9,77%"
Lechia,"10,62","3,41","4,38","2,82","26,59%","4,14","32,13%","7,76%"
Legia,"13,71","4,79","5,56","3,35","24,46%","2,96","34,98%","11,80%"
Miedź,"10,50","3,24","4,82","2,44","23,25%","3,44","30,81%","8,96%"
Piast,"10,00","3,32","4,41","2,26","22,65%","3,32","33,24%","10,00%"
Pogoń,"15,24","5,35","5,50","4,38","28,76%","3,43","35,14%","10,23%"
Radomiak,"12,26","3,68","5,06","3,53","28,78%","3,91","29,98%","7,67%"
Raków,"13,24","4,88","4,88","3,47","26,22%","2,72","36,89%","13,56%"
Stal,"10,47","3,32","4,03","3,12","29,78%","3,32","31,74%","9,55%"
Śląsk,"10,29","3,82","4,09","2,38","23,14%","3,94","37,14%","9,43%"
Warta,"10,18","3,21","3,91","3,06","30,06%","3,11","31,50%","10,12%"
Widzew,"12,41","3,88","5,24","3,29","26,54%","3,47","31,28%","9,00%"
Wisła P,"11,29","3,88","4,15","3,26","28,91%","3,22","34,38%","10,68%"
Zagłębie,"13,68","4,91","5,26","3,50","25,59%","4,91","35,91%","7,31%"
