SĘDZIA,Śr. ŻK,ŻK,CZK BEZP,CZK,żk faul,czk faul,żk ręka,żk rywal,żk sędzia,żk czas,żk syml,żk ciesz,żk inne,czk ręka,czk rywal,czk inne,czk sędzia,Mecze
Bartosz Frankowski,"3,87",89,3,7,57,3,4,5,10,9,2,1,1,0,0,0,0,23
Damian Kos,"3,94",71,0,4,49,0,1,6,10,1,1,1,2,0,0,0,0,18
Jarosław Przybył,"3,47",66,2,3,57,1,0,1,5,1,1,0,1,0,1,0,0,19
Paweł Raczkowski,"5,83",140,0,4,100,0,5,11,13,5,1,0,5,0,0,0,0,24
Daniel Stefański,"4,41",97,2,2,75,0,1,8,8,4,0,0,1,0,1,0,1,22
Tomasz Musiał,"3,64",51,1,2,41,1,3,4,1,2,0,0,0,0,0,0,0,14
Krzysztof Jakubik,"4,55",100,3,6,68,2,2,10,12,4,1,0,3,1,0,0,0,22
Piotr Lasyk,"4,20",105,1,2,82,1,2,12,3,2,2,1,1,0,0,0,0,25
Damian Sylwestrzak,"5,54",133,1,2,87,1,4,12,16,8,1,0,5,0,0,0,0,24
Łukasz Kuźma,"5,38",86,3,6,65,2,2,11,3,4,0,0,1,0,1,0,0,16
Piotr Urban,"3,67",11,0,0,9,0,0,1,0,0,0,0,1,0,0,0,0,3
Szymon Marciniak,"4,32",82,0,1,75,0,0,2,3,1,0,0,1,0,0,0,0,19
Paweł Malec,"4,64",65,1,2,54,1,1,5,2,2,1,0,0,0,0,0,0,14
Tomasz Wajda,"5,00",20,0,1,14,0,2,1,3,0,0,0,0,0,0,0,0,4
Patryk Gryckiewicz,"5,67",34,0,0,28,0,1,2,1,2,0,0,0,0,0,0,0,6
Łukasz Szczech,"5,00",10,0,0,7,0,0,0,1,1,0,0,1,0,0,0,0,2
Wojciech Myć,"4,00",52,2,2,42,2,1,3,4,0,0,0,2,0,0,0,0,13
Sebastian Krasny,"3,11",28,2,2,20,2,0,2,3,2,1,0,0,0,0,0,0,9
Tomasz Kwiatkowski,"4,75",95,0,1,74,0,2,8,4,2,2,2,1,0,0,0,0,20
Karol Arys,"3,20",16,1,2,14,1,1,0,1,0,0,0,0,0,0,0,0,5
Marcin Kochanek,"2,33",7,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,3
Grzegorz Kawałko,"2,00",2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
