Trener,M,Z,R,P,BZ,BS,ŚR GOLI,ŚR PKT,% zwycięstw
Jacek Zieliński I,369,156,96,117,496,415,"2,47","1,53","42,3%"
Jan Urban,276,140,57,79,421,277,"2,53","1,73","50,7%"
Adrian Siemieniec,8,3,2,3,12,14,"3,25","1,38","37,5%"
Kamil Kuzera,19,8,4,7,24,26,"2,63","1,47","42,1%"
John van den Brom,34,17,10,7,51,29,"2,35","1,79","50,0%"
David Badia,9,1,2,6,3,14,"1,89","0,56","11,1%"
Kosta Runjaić,194,90,55,49,284,212,"2,56","1,68","46,4%"
Grzegorz Mokry,22,3,8,11,21,33,"2,45","0,77","13,6%"
Aleksandar Vuković,92,50,19,23,150,85,"2,55","1,84","54,3%"
Jens Gustafsson,34,17,9,8,57,46,"3,03","1,76","50,0%"
Constantin Galca,6,3,1,2,7,8,"2,50","1,67","50,0%"
Marek Papszun,135,76,28,31,220,135,"2,63","1,90","56,3%"
Kamil Kiereś,110,29,37,44,103,144,"2,25","1,13","26,4%"
Jacek Magiera,73,34,20,19,123,85,"2,85","1,67","46,6%"
Dawid Szulczek,54,21,13,20,63,56,"2,20","1,41","38,9%"
Janusz Niedźwiedź,34,11,8,15,38,47,"2,50","1,21","32,4%"
Marek Saganowski,2,0,0,2,1,5,"3,00","0,00","0,0%"
Waldemar Fornalik,498,197,128,173,610,554,"2,34","1,44","39,6%"
