KLUB,Z HT,Z,R,P,R HT,Z,R,P,P HT,Z,R,P
Cracovia,6,6,0,0,8,1,3,4,3,1,2,0
Górnik Zabrze,5,4,1,0,4,1,2,1,8,1,2,5
Jagiellonia,6,4,1,1,6,3,0,3,5,1,3,1
Korona Kielce,6,5,1,0,6,2,2,2,5,1,0,4
Lech Poznań,8,8,0,0,4,1,2,1,5,0,0,5
Lechia Gdańsk,0,0,0,0,9,4,3,2,8,1,1,6
Legia Warszawa,9,6,3,0,6,6,0,0,2,0,2,0
Miedź Legnica,3,2,1,0,10,1,5,4,4,0,1,3
Piast Gliwice,3,3,0,0,11,3,4,4,2,0,0,2
Pogoń Szczecin,8,7,1,0,7,3,2,2,2,0,1,1
Radomiak Radom,5,4,1,0,5,1,3,1,7,0,0,7
Raków Częstochowa,10,9,1,0,6,5,1,0,1,0,0,1
Stal Mielec,5,4,1,0,11,2,5,4,1,0,1,0
Śląsk Wrocław,3,3,0,0,9,2,6,1,5,1,0,4
Warta Poznań,4,3,1,0,10,2,6,2,3,0,0,3
Widzew Łódź,4,4,0,0,4,1,2,1,9,0,1,8
Wisła Płock,7,3,2,2,9,5,2,2,1,0,0,1
Zagłębie Lubin,3,2,1,0,10,2,4,4,4,0,0,4
