ZAWODNIK,KLUB,GOLE,ASYSTY,KANADYJSKA,G rez,AS rez,G 1-0/0-1,2.AS,KAN+2.AS
Szymon Włodarczyk,Górnik Zabrze,9,1,10,1,0,4,2,12
Michał Rakoczy,Cracovia,7,2,9,0,0,4,1,10
Kajetan Szmyt,Warta Poznań,3,6,9,0,1,1,2,11
Filip Marchwiński,Lech Poznań,5,3,8,0,2,1,1,9
Ernest Terpiłowski,Widzew Łódź,3,4,7,0,0,0,1,8
Łukasz Łakomy,Zagłębie Lubin,4,3,7,0,0,2,3,10
Mateusz Łęgowski,Pogoń Szczecin,3,4,7,0,1,2,3,10
Maciej Rosołek,Legia Warszawa,5,1,6,2,1,1,3,9
Konrad Matuszewski,Warta Poznań,0,5,5,0,0,0,1,6
Olaf Kobacki,Miedź Legnica,1,4,5,0,1,1,2,7
Maik Nawrocki,Legia Warszawa,4,1,5,0,0,0,2,7
Aleksander Paluszek,Górnik Zabrze,3,1,4,0,0,3,0,4
Filip Szymczak,Lech Poznań,2,2,4,2,0,0,1,5
Łukasz Bejger,Śląsk Wrocław,2,2,4,0,0,1,1,5
Karol Knap,Cracovia,2,2,4,0,0,1,2,6
Jakub Myszor,Cracovia,2,1,3,0,0,2,2,5
Fryderyk Gerbowski,Stal Mielec,2,1,3,1,0,1,1,4
Marcel Wędrychowski,Pogoń Szczecin,1,2,3,1,1,1,1,4
Tomasz Pieńko,Zagłębie Lubin,3,0,3,3,0,1,4,7
Dawid Kocyła,Wisła Płock,2,0,2,1,0,0,0,2
Mateusz Kowalski,Jagiellonia,2,0,2,2,0,0,1,3
Piotr Samiec-Talar,Śląsk Wrocław,1,1,2,0,0,0,2,4
Bartosz Bida,Jagiellonia,0,2,2,0,1,0,0,2
Rafał Adamski,Zagłębie Lubin,2,0,2,1,0,1,1,3
Jakub Lewicki,Jagiellonia,1,1,2,0,0,0,1,3
Jakub Sypek,Widzew Łódź,1,1,2,1,1,0,0,2
Bartłomiej Kłudka,Zagłębie Lubin,0,2,2,0,0,0,1,3
Adam Ratajczyk,Stal Mielec,1,1,2,0,0,0,0,2
Gabriel Kirejczyk,Piast Gliwice,0,2,2,0,2,0,0,2
Jakub Kałuziński,Lechia Gdańsk,0,2,2,0,1,0,3,5
Bartłomiej Ciepiela,Stal Mielec,1,1,2,0,1,1,1,3
Arkadiusz Pyrka,Piast Gliwice,2,0,2,0,0,1,3,5
Igor Strzałek,Legia Warszawa,0,2,2,0,1,0,1,3
Aleksander Pawlak,Wisła Płock,1,0,1,0,0,1,4,5
Maciej Śliwa,Miedź Legnica,1,0,1,0,0,1,0,1
Mariusz Fornalczyk,Pogoń Szczecin,0,1,1,0,0,0,0,1
Przemysław Maj,Stal Mielec,0,1,1,0,1,0,0,1
Oliwier Wojciechowski,Jagiellonia,0,1,1,0,0,0,0,1
Szymon Czyż,Raków Częstochowa,0,1,1,0,0,0,3,4
Ariel Mosór,Piast Gliwice,0,1,1,0,0,0,1,2
Oskar Sewerzyński,Korona Kielce,0,1,1,0,1,0,0,1
Maciej Bortniczuk,Jagiellonia,1,0,1,1,0,0,0,1
Kacper Smoliński,Pogoń Szczecin,1,0,1,0,0,0,0,1
Javier Ajenjo Hyjek,Śląsk Wrocław,0,1,1,0,1,0,0,1
Janusz Nojszewski,Korona Kielce,0,1,1,0,1,0,0,1
Gabriel Kobylak,Radomiak Radom,0,1,1,0,0,0,0,1
Norbert Wojtuszek,Górnik Zabrze,0,1,1,0,0,0,0,1
Miłosz Matysik,Jagiellonia,0,1,1,0,0,0,0,1
Dawid Drachal,Miedź Legnica,1,0,1,0,0,1,0,1
Kacper Sezonienko,Lechia Gdańsk,0,1,1,0,0,0,0,1
Dominik Piła,Lechia Gdańsk,0,0,0,0,0,0,2,2
Marcin Szpakowski,Korona Kielce,0,0,0,0,0,0,2,2
Łukasz Zjawiński,Widzew Łódź,0,0,0,0,0,0,1,1
Jakub Szymański,Wisła Płock,0,0,0,0,0,0,1,1
