ZAWODNIK,KLUB,GOLE,ASYSTY,KANADYJSKA,GOLE DRUŻYNY,% GOL,UDZIAŁ%,KAN+2.AS,UDZIAŁ % Z 2.AS
Mateusz Szwoch,Wisła Płock,6,12,18,37,"16,2%","48,6%",22,"59,5%"
Jesus Jimenez,Górnik Zabrze,12,3,15,31,"38,7%","48,4%",19,"61,3%"
Jakub Świerczok,Piast Gliwice,15,3,18,39,"38,5%","46,2%",23,"59,0%"
Tomas Pekhart,Legia Warszawa,22,0,22,48,"45,8%","45,8%",22,"45,8%"
Kamil Biliński,Podbeskidzie,11,1,12,29,"37,9%","41,4%",12,"41,4%"
Jesus Imaz,Jagiellonia,11,5,16,39,"28,2%","41,0%",19,"48,7%"
Makana Baku,Warta Poznań,6,2,8,20,"30,0%","40,0%",10,"50,0%"
Maciej Domański,Stal Mielec,6,6,12,31,"19,4%","38,7%",17,"54,8%"
Flavio Paixao,Lechia Gdańsk,12,3,15,40,"30,0%","37,5%",17,"42,5%"
Filip Starzyński,Zagłębie Lubin,7,7,14,38,"18,4%","36,8%",19,"50,0%"
Pelle van Amersfoort,Cracovia,6,4,10,28,"21,4%","35,7%",11,"39,3%"
Mikael Ishak,Lech Poznań,12,1,13,39,"30,8%","33,3%",16,"41,0%"
Erik Exposito,Śląsk Wrocław,9,3,12,36,"25,0%","33,3%",14,"38,9%"
Mateusz Kuzimski,Warta Poznań,7,4,11,33,"21,2%","33,3%",12,"36,4%"
Jakov Puljić,Jagiellonia,11,1,12,39,"28,2%","30,8%",13,"33,3%"
Michał Kucharczyk,Pogoń Szczecin,6,5,11,36,"16,7%","30,6%",14,"38,9%"
Łukasz Trałka,Warta Poznań,3,7,10,33,"9,1%","30,3%",13,"39,4%"
Felicio Brown Forbes,Wisła Kraków,7,3,10,35,"20,0%","28,6%",11,"31,4%"
Marcin Cebula,Raków Częstochowa,6,7,13,46,"13,0%","28,3%",15,"32,6%"
Ivi Lopez,Raków Częstochowa,9,2,11,42,"21,4%","26,2%",15,"35,7%"
Jakub Moder,Lech Poznań,4,2,6,23,"17,4%","26,1%",6,"26,1%"
Bartosz Nowak,Górnik Zabrze,5,3,8,31,"16,1%","25,8%",11,"35,5%"
Filip Mladenović,Legia Warszawa,7,5,12,48,"14,6%","25,0%",16,"33,3%"
Robert Pich,Śląsk Wrocław,7,2,9,36,"19,4%","25,0%",11,"30,6%"
Alan Uryga,Wisła Płock,5,4,9,37,"13,5%","24,3%",11,"29,7%"
Patryk Tuszyński,Wisła Płock,6,3,9,37,"16,2%","24,3%",11,"29,7%"
Patryk Szysz,Zagłębie Lubin,8,1,9,38,"21,1%","23,7%",10,"26,3%"
Dani Ramirez,Lech Poznań,6,3,9,39,"15,4%","23,1%",13,"33,3%"
Pedro Tiba,Lech Poznań,3,6,9,39,"7,7%","23,1%",12,"30,8%"
Tomas Prikryl,Jagiellonia,2,7,9,39,"5,1%","23,1%",10,"25,6%"
Sergiu Hanca,Cracovia,4,2,6,28,"14,3%","21,4%",9,"32,1%"
Michał Żyro,Piast Gliwice,4,4,8,39,"10,3%","20,5%",8,"20,5%"
Rafał Pietrzak,Lechia Gdańsk,1,7,8,40,"2,5%","20,0%",10,"25,0%"
Maciej Żurawski,Pogoń/Warta,1,4,5,20,"0,0%","20,0%",5,"20,0%"
David Tijanić,Raków Częstochowa,6,3,9,46,"13,0%","19,6%",15,"32,6%"
Alex Sobczyk,Górnik Zabrze,3,3,6,31,"9,7%","19,4%",7,"22,6%"
Josip Juranović,Legia Warszawa,1,8,9,48,"2,1%","18,8%",10,"20,8%"
Sasa Balić,Zagłębie Lubin,2,5,7,38,"5,3%","18,4%",8,"21,1%"
Jan Grzesik,Warta Poznań,4,2,6,33,"12,1%","18,2%",8,"24,2%"
Maciej Makuszewski,Jagiellonia,3,4,7,39,"7,7%","17,9%",9,"23,1%"
Martin Pospisil,Jagiellonia,1,6,7,39,"2,6%","17,9%",10,"25,6%"
Marcos Alvarez,Cracovia,2,3,5,28,"7,1%","17,9%",8,"28,6%"
Conrado,Lechia Gdańsk,3,4,7,40,"7,5%","17,5%",9,"22,5%"
Vladislavs Gutkovskis,Raków Częstochowa,7,1,8,46,"15,2%","17,4%",10,"21,7%"
Łukasz Sierpina,Podbeskidzie,0,5,5,29,"0,0%","17,2%",8,"27,6%"
Marko Roginić,Podbeskidzie,2,3,5,29,"6,9%","17,2%",7,"24,1%"
Alexander Gorgon,Pogoń Szczecin,5,1,6,36,"13,9%","16,7%",10,"27,8%"
Mateusz Praszelik,Śląsk Wrocław,1,5,6,36,"2,8%","16,7%",9,"25,0%"
Paweł Wszołek,Legia Warszawa,3,5,8,48,"6,3%","16,7%",11,"22,9%"
Krzysztof Mączyński,Śląsk Wrocław,2,4,6,36,"5,6%","16,7%",7,"19,4%"
Michał Chrapek,Piast Gliwice,1,5,6,36,"2,8%","16,7%",6,"16,7%"
Mateusz Mak,Stal Mielec,4,1,5,31,"12,9%","16,1%",7,"22,6%"
Luka Zahović,Pogoń Szczecin,2,3,5,31,"6,5%","16,1%",7,"22,6%"
Yaw Yeboah,Wisła Kraków,4,2,6,39,"10,3%","15,4%",9,"23,1%"
Tiago Alves,Piast Gliwice,5,1,6,39,"12,8%","15,4%",7,"17,9%"
Łukasz Zwoliński,Lechia Gdańsk,6,0,6,40,"15,0%","15,0%",8,"20,0%"
Bartosz Kapustka,Legia Warszawa,3,4,7,48,"6,3%","14,6%",11,"22,9%"
Florian Loshaj,Cracovia,2,2,4,28,"7,1%","14,3%",7,"25,0%"
Michal Frydrych,Wisła Kraków,3,2,5,35,"8,6%","14,3%",6,"17,1%"
Kamil Drygas,Pogoń Szczecin,3,2,5,36,"8,3%","13,9%",6,"16,7%"
Jakub Bartkowski,Pogoń Szczecin,1,4,5,36,"2,8%","13,9%",7,"19,4%"
Karol Danielak,Podbeskidzie,1,3,4,29,"3,4%","13,8%",8,"27,6%"
Dawid Kocyła,Wisła Płock,4,1,5,37,"10,8%","13,5%",8,"21,6%"
Fran Tudor,Raków Częstochowa,1,5,6,46,"2,2%","13,0%",14,"30,4%"
Petr Schwarz,Raków Częstochowa,4,2,6,46,"8,7%","13,0%",7,"15,2%"
Alasana Manneh,Górnik Zabrze,3,1,4,31,"9,7%","12,9%",6,"19,4%"
Piotr Krawczyk,Górnik Zabrze,4,0,4,31,"12,9%","12,9%",5,"16,1%"
Marcin Flis,Stal Mielec,3,1,4,31,"9,7%","12,9%",4,"12,9%"
Stefan Savić,Wisła Kraków,2,3,5,39,"5,1%","12,8%",10,"25,6%"
Gerard Badia,Piast Gliwice,0,5,5,39,"0,0%","12,8%",9,"23,1%"
Luquinhas,Legia Warszawa,3,3,6,48,"6,3%","12,5%",17,"35,4%"
Maciej Gajos,Lechia Gdańsk,2,3,5,40,"5,0%","12,5%",6,"15,0%"
Michał Nalepa II,Lechia Gdańsk,3,2,5,40,"7,5%","12,5%",5,"12,5%"
Dejan Drazić,Zagłębie Lubin,1,3,4,32,"3,1%","12,5%",7,"21,9%"
Michał Jakóbowski,Warta Poznań,2,2,4,33,"6,1%","12,1%",8,"24,2%"
Fabian Piasecki,Śląsk Wrocław,4,0,4,36,"11,1%","11,1%",5,"13,9%"
Kacper Kozłowski,Pogoń Szczecin,1,3,4,36,"2,8%","11,1%",5,"13,9%"
Lorenco Simić,Zagłębie Lubin,4,0,4,38,"10,5%","10,5%",4,"10,5%"
Chuca,Wisła Kraków,3,1,4,39,"7,7%","10,3%",4,"10,3%"
Jakub Błaszczykowski,Wisła Kraków,4,0,4,39,"10,3%","10,3%",5,"12,8%"
Jean Carlos Silva,Wisła Kraków,3,1,4,39,"7,7%","10,3%",7,"17,9%"
Maciej Sadlok,Wisła Kraków,2,2,4,39,"5,1%","10,3%",7,"17,9%"
Taras Romanczuk,Jagiellonia,2,2,4,39,"5,1%","10,3%",9,"23,1%"
Dominik Steczyk,Piast Gliwice,4,0,4,39,"10,3%","10,3%",8,"20,5%"
Gieorgij Żukow,Wisła Kraków,0,4,4,39,"0,0%","10,3%",4,"10,3%"
Patryk Kun,Raków Częstochowa,1,3,4,46,"2,2%","8,7%",8,"17,4%"
Kamil Piątkowski,Raków Częstochowa,2,2,4,46,"4,3%","8,7%",8,"17,4%"
Rafael Lopes,Legia Warszawa,4,0,4,48,"8,3%","8,3%",7,"14,6%"
