KLUB,CZAS,MIN ZAGR,% ZAGR,ZAW,ZAGR,G,G ZAGR,% G ZAGR,,474424,212075,"44,70%",489,190,589,297,"50,42%"
Cracovia,29642,22697,"76,57%",34,19,28,25,"89,29%"
Górnik Zabrze,29700,15730,"52,96%",26,10,31,18,"58,06%"
Jagiellonia Białystok,29607,15927,"53,79%",38,17,39,29,"74,36%"
Lech Poznań,29700,16988,"57,20%",33,17,39,28,"71,79%"
Lechia Gdańsk,29584,13157,"44,47%",30,14,40,21,"52,50%"
Legia Warszawa,29700,14336,"48,27%",34,16,48,37,"77,08%"
Piast Gliwice,29700,10003,"33,68%",25,7,39,7,"17,95%"
Podbeskidzie Bielsko-Biała,29617,12061,"40,72%",35,13,29,8,"27,59%"
Pogoń Szczecin,29631,12806,"43,22%",28,10,36,11,"30,56%"
Raków Częstochowa,29637,15010,"50,65%",31,14,46,31,"67,39%"
Stal Mielec,29692,7018,"23,64%",31,7,31,8,"25,81%"
Śląsk Wrocław,29645,14160,"47,77%",31,9,36,19,"52,78%"
Warta Poznań,29633,3856,"13,01%",28,4,33,7,"21,21%"
Wisła Kraków,29676,16399,"55,26%",34,15,39,26,"66,67%"
Wisła Płock,29700,9823,"33,07%",33,11,37,6,"16,22%"
Zagłębie Lubin,29560,12104,"40,95%",29,11,38,16,"42,11%"
