ZAWODNIK,KLUB,MIAŁ,STWORZYŁ,% WYK.
Fran Tudor,Raków Częstochowa,6,16,"16,7%"
Mateusz Szwoch,Wisła Płock,5,14,"40,0%"
Filip Starzyński,Zagłębie Lubin,3,12,"66,7%"
Flavio Paixao,Lechia Gdańsk,12,12,"25,0%"
Krystian Getinger,Stal Mielec,1,12,"0,0%"
Ivi Lopez,Raków Częstochowa,8,11,"50,0%"
Marcin Cebula,Raków Częstochowa,8,10,"50,0%"
Jesus Jimenez,Górnik Zabrze,14,10,"28,6%"
Josip Juranović,Legia Warszawa,0,9,-
Patryk Szysz,Zagłębie Lubin,14,9,"42,9%"
Dejan Drazić,Zagłębie Lubin,4,9,"0,0%"
Łukasz Sierpina,Podbeskidzie,0,8,-
Jesus Imaz,Jagiellonia,10,8,"50,0%"
Luquinhas,Legia Warszawa,6,8,"50,0%"
Filip Mladenović,Legia Warszawa,7,8,"42,9%"
Bartosz Nowak,Górnik Zabrze,10,8,"30,0%"
Patryk Kun,Raków Częstochowa,4,8,"25,0%"
Martin Pospisil,Jagiellonia,2,8,"0,0%"
Żarko Udovicić,Lechia Gdańsk,2,7,"50,0%"
Pelle Pelle,Cracovia,6,7,"33,3%"
Paweł Wszołek,Legia Warszawa,4,7,"25,0%"
Michał Kucharczyk,Pogoń Szczecin,10,7,"20,0%"
Jean Carlos Silva,Wisła Kraków,6,7,"16,7%"
Łukasz Trałka,Warta Poznań,2,7,"0,0%"
Petr Schwarz,Raków Częstochowa,0,6,-
Andre Martins,Legia Warszawa,0,6,-
Dani Ramirez,Lech Poznań,6,6,"66,7%"
Conrado,Lechia Gdańsk,5,6,"40,0%"
Maciej Gajos,Lechia Gdańsk,3,6,"33,3%"
David Tijanić,Raków Częstochowa,13,6,"30,8%"
Mateusz Praszelik,Śląsk Wrocław,4,6,"25,0%"
Marko Roginić,Podbeskidzie,4,6,"25,0%"
Michał Rzuchowski,Podbeskidzie,5,6,"20,0%"
Michał Żyro Mi,Piast Gliwice,6,6,"16,7%"
Jakub Kamiński,Lech Poznań,7,6,"14,3%"
Yaw Yeboah,Wisła Kraków,7,6,"14,3%"
Stefan Savić,Wisła Kraków,5,6,"0,0%"
Jan Sykora,Lech Poznań,2,6,"0,0%"
Erik Janza,Górnik Zabrze,0,5,-
Igor Sapała,Raków Częstochowa,0,5,-
Erik Exposito,Śląsk Wrocław,8,5,"87,5%"
Maciej Makuszewski,Jagiellonia,3,5,"66,7%"
Alan Uryga,Wisła Płock,3,5,"66,7%"
Dawid Kocyła,Wisła Płock,5,5,"60,0%"
Mateusz Kuzimski,Warta Poznań,11,5,"54,5%"
Sergiu Hanca,Cracovia,4,5,"50,0%"
Tomas Prikryl,Jagiellonia,4,5,"50,0%"
Pedro Tiba,Lech Poznań,5,5,"40,0%"
Jakub Świerczok,Piast Gliwice,13,5,"30,8%"
Mikael Ishak,Lech Poznań,17,5,"29,4%"
Felicio Brown Forbes,Wisła Kraków,11,5,"27,3%"
Sebastian Kowalczyk,Pogoń Szczecin,4,5,"25,0%"
Marcos Alvarez,Cracovia,5,5,"20,0%"
Maciej Domański,Stal Mielec,5,5,"20,0%"
Kamil Drygas,Pogoń Szczecin,3,5,"0,0%"
Patryk Lipski,Piast Gliwice,1,5,"0,0%"
Gerard Badia,Piast Gliwice,1,5,"0,0%"
Jakub Moder,Lech Poznań,0,4,-
Paweł Olszewski,Jagiellonia,0,4,-
Rafał Pietrzak,Lechia Gdańsk,0,4,-
Krzysztof Mączyński,Śląsk Wrocław,0,4,-
Makana Baku,Warta Poznań,4,4,"100,0%"
Desley Ubbink,Podbeskidzie,2,4,"100,0%"
Bartłomiej Wdowik,Jagiellonia,2,4,"100,0%"
Maciej Sadlok,Wisła Kraków,1,4,"100,0%"
Sasa Balić,Zagłębie Lubin,1,4,"100,0%"
Marcin Flis,Stal Mielec,3,4,"66,7%"
Jarosław Kubicki,Lechia Gdańsk,2,4,"50,0%"
Tomas Pekhart,Legia Warszawa,25,4,"48,0%"
Jan Grzesik,Warta Poznań,7,4,"42,9%"
Patryk Tuszyński,Wisła Płock,10,4,"40,0%"
Rafał Kurzawa,Pogoń Szczecin,3,4,"33,3%"
Mateusz Mak,Stal Mielec,7,4,"28,6%"
Kristopher Vida,Piast Gliwice,4,4,"25,0%"
Mateusz Matras,Stal Mielec,5,4,"20,0%"
Taras Romanczuk,Jagiellonia,6,4,"16,7%"
Michał Skóraś,Lech Poznań,6,4,"16,7%"
Thiago,Cracovia,3,4,"0,0%"
Jakub Holubek,Piast Gliwice,1,4,"0,0%"
Dino Stiglec,Śląsk Wrocław,1,4,"0,0%"
Rafał Figiel,Podbeskidzie,0,3,-
Martin Konczkowski,Piast Gliwice,0,3,-
Mateusz Czyżycki,Warta Poznań,0,3,-
Jakub Bartkowski,Pogoń Szczecin,0,3,-
Tymoteusz Puchacz,Lech Poznań,0,3,-
Łukasz Burliga,Wisła Kraków,0,3,-
Alasana Manneh,Górnik Zabrze,1,3,"100,0%"
Bartosz Kapustka,Legia Warszawa,3,3,"66,7%"
Kamil Biliński,Podbeskidzie,11,3,"63,6%"
Tiago Alves,Piast Gliwice,8,3,"50,0%"
Kacper Chodyna,Zagłębie Lubin,2,3,"50,0%"
Kacper Kozłowski,Pogoń Szczecin,2,3,"50,0%"
Michał Chrapek,Piast Gliwice,2,3,"50,0%"
Alex Sobczyk,Górnik Zabrze,7,3,"42,9%"
Karol Danielak,Podbeskidzie,3,3,"33,3%"
Tomas Podstawski,Pogoń Szczecin,3,3,"33,3%"
Joseph Ceesay,Lechia Gdańsk,3,3,"33,3%"
Vladislavs Gutkovskis,Raków Częstochowa,15,3,"26,7%"
Alexander Gorgon,Pogoń Szczecin,4,3,"25,0%"
Patryk Sokołowski,Piast Gliwice,5,3,"20,0%"
Luka Zahović,Pogoń Szczecin,11,3,"18,2%"
Karol Fila,Lechia Gdańsk,3,3,"0,0%"
Ivan Fiolić,Cracovia,3,3,"0,0%"
Bartłomiej Pawłowski,Śląsk Wrocław,3,3,"0,0%"
Daniel Ściślak,Górnik Zabrze,2,3,"0,0%"
