ZAWODNIK,KLUB,GOLE,G KARNY,G ROŻNY,G WOLNY,G WOLNY BEZP,G AUT,AS SFG,PO SFG,Z GRY,%GOLI PO SFG
Florian Loshaj,Cracovia,2,0,0,0,0,0,2,0,2,"0,0%"
Kacper Chodyna,Zagłębie Lubin,2,0,0,0,0,0,0,0,2,"0,0%"
Lubomir Guldan,Zagłębie Lubin,2,0,2,0,0,0,1,2,0,"100,0%"
Maciej Gajos,Lechia Gdańsk,2,0,0,1,0,0,1,1,1,"50,0%"
Maciej Sadlok,Wisła Kraków,2,0,0,1,0,0,1,1,1,"50,0%"
Marcos Alvarez,Cracovia,2,1,0,0,0,0,1,1,1,"50,0%"
Mathieu Scalet,Śląsk Wrocław,2,0,2,0,0,0,0,2,0,"100,0%"
Michał Skóraś,Lech Poznań,2,0,1,0,0,0,0,1,1,"50,0%"
Piotr Celeban,Śląsk Wrocław,2,0,1,1,0,0,0,2,0,"100,0%"
Rok Sirk,Zagłębie Lubin,2,0,0,0,0,0,0,0,2,"0,0%"
Sasa Balić,Zagłębie Lubin,2,0,2,0,0,0,3,2,0,"100,0%"
Stefan Savić,Wisła Kraków,2,0,0,0,0,0,0,0,2,"0,0%"
Taras Romanczuk,Jagiellonia,2,0,1,1,0,0,1,2,0,"100,0%"
Thomas Rogne,Lech Poznań,2,0,2,0,0,0,0,2,0,"100,0%"
Tomas Petrasek,Raków Częstochowa,2,0,0,0,0,1,0,1,1,"50,0%"
Tomas Prikryl,Jagiellonia,2,0,0,0,0,0,0,0,2,"0,0%"
Tomas Vestenicky,Cracovia,2,0,0,0,0,0,0,0,2,"0,0%"
Damian Michalski,Wisła Płock,2,0,2,0,0,0,0,2,0,"100,0%"
Krystian Getinger,Stal Mielec,2,0,1,0,0,0,0,1,1,"50,0%"
Bartosz Slisz,Legia Warszawa,2,0,0,0,0,0,0,0,2,"0,0%"
Filip Piszczek,Cracovia,2,0,2,0,0,0,0,2,0,"100,0%"
Krzysztof Mączyński,Śląsk Wrocław,2,0,0,0,1,0,3,1,1,"50,0%"
Samuel Mraz,Zagłębie Lubin,2,0,0,0,0,0,0,0,2,"0,0%"
Kamil Piątkowski,Raków Częstochowa,2,0,0,2,0,0,0,2,0,"100,0%"
Luka Zahović,Pogoń Szczecin,2,0,1,0,0,0,1,1,1,"50,0%"
Thiago,Cracovia,2,0,0,0,0,0,0,0,2,"0,0%"
Marko Roginić,Podbeskidzie,2,0,0,0,0,0,3,0,2,"0,0%"
Sebastian Milewski,Piast Gliwice,2,0,0,0,0,0,0,0,2,"0,0%"
Patryk Sokołowski,Piast Gliwice,2,0,0,0,0,0,0,0,2,"0,0%"
Piotr Malarczyk,Piast Gliwice,2,0,2,0,0,0,0,2,0,"100,0%"
Bartłomiej Wdowik,Jagiellonia,2,0,0,0,0,0,1,0,2,"0,0%"
Bogdan Tiru,Jagiellonia,2,0,1,1,0,0,0,2,0,"100,0%"
Michal Siplak,Cracovia,2,0,0,0,0,0,0,0,2,"0,0%"
Michał Jakóbowski,Warta Poznań,2,0,1,0,0,0,0,1,1,"50,0%"
Kamil Kruk,Zagłębie Lubin,2,0,0,2,0,0,0,2,0,"100,0%"
Andrzej Niewulis,Raków Częstochowa,2,0,1,1,0,0,0,2,0,"100,0%"
Jakub Hora,Podbeskidzie,2,0,0,0,0,0,0,0,2,"0,0%"
Aleksandyr Kolew,Stal Mielec,2,0,0,1,0,0,1,1,1,"50,0%"
Aron Johannsson,Lech Poznań,2,0,0,0,0,0,0,0,2,"0,0%"
Rafał Boguski,Wisła Kraków,2,0,0,0,0,0,0,0,2,"0,0%"
Maciej Jankowski,Stal Mielec,2,0,0,0,0,0,0,0,2,"0,0%"
Bartosz Kopacz,Lechia Gdańsk,2,0,1,1,0,0,0,2,0,"100,0%"
Rafał Wolski,Wisła Płock,2,0,0,0,0,0,0,0,2,"0,0%"
Żarko Udovicić,Lechia Gdańsk,2,0,0,0,0,0,0,0,2,"0,0%"
Rafał Kurzawa,Pogoń Szczecin,2,0,0,0,0,0,0,0,2,"0,0%"
Bartosz Bida,Jagiellonia,2,0,1,0,0,0,0,1,1,"50,0%"
Karol Podliński,Zagłębie Lubin,2,0,0,1,0,0,0,1,1,"50,0%"
Jonathan De Amo,Stal Mielec,2,0,1,0,0,1,1,2,0,"100,0%"
Aleksander Komor,Podbeskidzie,1,0,1,0,0,0,0,1,0,"100,0%"
Damjan Bohar,Zagłębie Lubin,1,0,0,0,0,0,2,0,1,"0,0%"
Daniel Ściślak,Górnik Zabrze,1,0,0,0,0,0,0,0,1,"0,0%"
David Jablonsky,Cracovia,1,0,0,1,0,0,0,1,0,"100,0%"
Dawid Szymonowicz,Cracovia,1,0,0,1,0,0,0,1,0,"100,0%"
Fran Tudor,Raków Częstochowa,1,0,1,0,0,0,1,1,0,"100,0%"
Jakub Kamiński,Lech Poznań,1,0,0,0,0,0,0,0,1,"0,0%"
Karol Danielak,Podbeskidzie,1,0,0,1,0,0,2,1,0,"100,0%"
Kostas Triantafyllopoulos,Pogoń Szczecin,1,0,1,0,0,0,0,1,0,"100,0%"
Martin Pospisil,Jagiellonia,1,0,1,0,0,0,4,1,0,"100,0%"
Mateusz Praszelik,Śląsk Wrocław,1,0,0,0,0,0,0,0,1,"0,0%"
Michał Rzuchowski,Podbeskidzie,1,0,1,0,0,0,0,1,0,"100,0%"
Omran Haydary,Lechia Gdańsk,1,0,0,0,0,0,0,0,1,"0,0%"
Patryk Kun,Raków Częstochowa,1,0,0,0,0,0,0,0,1,"0,0%"
