KLUB,MECZE,"over 0,5","over 1,5","over 2,5","over 3,5","over 4,5","over 5,5","over 6,5","over 7,5",Średnia goli w meczach z udziałem
Cracovia,30,26,18,9,5,1,1,0,0,"2,00"
Górnik Zabrze,30,26,21,11,4,1,1,0,0,"2,13"
Jagiellonia Białystok,30,29,22,16,10,5,3,2,0,"2,90"
Lech Poznań,30,27,20,16,8,4,2,0,0,"2,57"
Lechia Gdańsk,30,30,22,13,9,2,1,0,0,"2,57"
Legia Warszawa,30,25,18,15,7,4,2,1,0,"2,40"
Piast Gliwice,30,26,18,11,9,5,1,1,0,"2,37"
Podbeskidzie Bielsko-Biała,30,30,25,16,10,5,2,1,0,"2,97"
Pogoń Szczecin,30,27,16,10,4,1,1,0,0,"1,97"
Raków Częstochowa,30,25,18,15,9,3,1,0,0,"2,37"
Stal Mielec,30,26,21,14,9,5,3,0,0,"2,60"
Śląsk Wrocław,30,26,19,10,6,4,2,1,0,"2,27"
Warta Poznań,30,28,17,11,4,3,1,1,0,"2,17"
Wisła Kraków,30,25,23,17,9,4,2,1,0,"2,70"
Wisła Płock,30,28,20,14,12,3,2,2,0,"2,70"
Zagłębie Lubin,30,28,24,16,7,2,1,0,0,"2,60"
