KLUB,BR Z,BR S,POS,STRZ,STRZ C,STRZ NC,STRZ Z,% STRZ C *,% BR/STRZ *,RZR,SP,OBR BR *,FAULE,Ż,CZ,KLUB
Cracovia,"0,67","0,93",47%,"11,13","3,40","4,60","3,13","30,54%","5,99%","4,60","1,87","3,53","15,00","2,20","0,07",CRA
Górnik Zabrze,"0,60","0,87",50%,"12,47","4,27","4,47","3,73","34,22%","4,81%","5,00","1,00","3,27","14,87","1,93","0,00",GÓR
Jagiellonia,"1,07","1,93",48%,"10,47","3,93","4,07","2,47","37,58%","10,19%","4,47","1,20","3,73","15,67","2,07","0,07",JAG
Lech Poznań,"1,33","1,40",57%,"14,53","4,47","5,73","4,33","30,73%","8,26%","6,33","1,33","2,67","13,20","1,67","0,00",LPO
Lechia Gdańsk,"1,13","1,27",48%,"11,73","3,73","5,20","2,80","31,82%","9,09%","5,20","2,20","4,47","16,07","2,67","0,13",LGD
Legia Warszawa,"1,27","0,33",57%,"14,00","4,33","5,47","4,20","30,95%","9,05%","5,73","1,67","2,20","13,53","2,00","0,00",LEG
Piast Gliwice,"1,40","1,13",49%,"13,33","4,60","5,73","3,00","34,50%","10,50%","5,13","1,67","3,20","12,53","2,07","0,00",PIA
Podbeskidzie,"0,80","2,47",44%,"10,87","3,00","4,40","3,47","27,61%","6,75%","4,20","1,73","3,07","15,07","2,00","0,27",POD
Pogoń Szczecin,"1,27","1,00",52%,"12,20","4,60","4,27","3,33","37,70%","9,84%","5,73","2,07","3,00","14,27","2,53","0,13",POG
Raków Częstochowa,"1,80","1,07",46%,"13,80","5,07","5,53","3,20","36,71%","12,08%","5,53","1,40","3,20","13,80","1,67","0,00",RCZ
Stal Mielec,"1,27","1,80",43%,"10,13","4,47","3,53","2,13","44,08%","11,84%","3,20","1,60","3,33","12,60","2,33","0,00",STM
Śląsk Wrocław,"1,00","1,27",47%,"10,20","3,67","4,33","2,20","35,95%","9,80%","4,47","1,60","3,53","15,73","2,20","0,07",ŚLĄ
Warta Poznań,"1,27","1,13",42%,"10,53","3,20","4,47","2,87","30,38%","12,03%","4,20","2,00","3,07","15,07","1,60","0,07",WAR
Wisła Kraków,"1,33","1,20",48%,"12,87","4,07","5,33","3,47","31,61%","9,33%","5,13","2,07","3,67","16,00","2,60","0,07",WIS
Wisła Płock,"1,27","1,67",48%,"9,80","3,47","3,93","2,40","35,37%","12,93%","4,20","1,47","3,13","14,93","1,80","0,07",WPŁ
Zagłębie Lubin,"0,93","1,40",49%,"11,20","3,67","4,87","2,67","32,74%","8,33%","4,73","2,00","3,33","13,13","2,07","0,13",ZAG
