ZAWODNIK,KLUB,POZYCJA,MIN,MECZE,OSTATNI GOL,PRZECIW
Kris Twardek,Jagiellonia Białystok,pomocnik,661,14,-,-
Luquinhas,Legia Warszawa,pomocnik,652,9,20.02.2021,Wisła P.
Hubert Adamczyk,Wisła Płock,pomocnik,652,13,06.07.2020,Górnik
Mathieu Scalet,Śląsk Wrocław,pomocnik,637,7,12.02.2021,Wisła K.
Nika Kwekweskiri,Lech Poznań,pomocnik,613,12,-,-
Santeri Hostikka,Pogoń Szczecin,pomocnik,611,15,14.06.2020,Lechia
Mateusz Wdowiak,Raków Częstochowa,pomocnik,605,12,19.07.2020,Piast
Aleksandyr Kolew,Stal Mielec,napastnik,605,9,07.03.2021,Piast
Norbert Wojtuszek,Górnik Zabrze,pomocnik,601,14,-,-
Daniel Ściślak,Górnik Zabrze,pomocnik,600,18,13.09.2020,Lechia
Felicio Brown Forbes,Wisła Kraków,napastnik,595,7,21.03.2021,Stal
Andreja Prokić,Stal Mielec,pomocnik,580,17,13.12.2020,Lech
Filip Marchwiński,Lech Poznań,pomocnik,549,17,04.10.2020,Piast
Torgil Gjertsen,Wisła Płock,pomocnik,542,15,18.10.2020,Śląsk
Mateusz Cholewiak,Legia Warszawa,pomocnik,535,11,10.06.2020,Arka
Daniel Pik,Cracovia,pomocnik,531,20,-,-
Zan Medved,Wisła Kraków,napastnik,530,13,-,-
Kacper Smoliński,Pogoń Szczecin,pomocnik,525,13,06.02.2021,Cracovia
Patryk Lipski,Piast Gliwice,pomocnik,519,9,07.03.2021,Stal
Michał Chrapek,Piast Gliwice,pomocnik,517,6,03.04.2021,Wisła P.
Kristopher Vida,Piast Gliwice,pomocnik,508,12,31.01.2021,Wisła K.
Michał Żyro,Piast Gliwice,napastnik,507,12,06.02.2021,Śląsk
Pelle van Amersfoort,Cracovia,pomocnik,500,6,03.04.2021,Lech
Mateusz Marzec,Podbeskidzie Bielsko-Biała,pomocnik,497,9,24.11.2020,Zagłębie L.
Alexander Gorgon,Pogoń Szczecin,pomocnik,482,7,19.02.2021,Wisła K.
Adam Zrelak,Warta Poznań,napastnik,466,8,-,-
Mateusz Żukowski,Lechia Gdańsk,napastnik,463,26,-,-
Patryk Sokołowski,Piast Gliwice,pomocnik,461,5,17.04.2021,Lechia
Taras Romanczuk,Jagiellonia Białystok,pomocnik,459,5,09.04.2021,Cracovia
Miroslav Stoch,Zagłębie Lubin,pomocnik,459,8,-,-
Marcel Zylla,Śląsk Wrocław,pomocnik,451,14,28.11.2020,Podbeskidzie
Chuca,Wisła Kraków,pomocnik,443,8,24.10.2020,Podbeskidzie
Jesus Imaz,Jagiellonia Białystok,pomocnik,441,5,18.04.2021,Wisła P.
Tomas Prikryl,Jagiellonia Białystok,pomocnik,438,4,21.04.2021,Stal
Adrian Benedyczak,Pogoń Szczecin,napastnik,427,5,10.04.2021,Wisła P.
Fran Tudor,Raków Częstochowa,pomocnik,423,5,17.04.2021,Lech
Radosław Kanach,Cracovia,pomocnik,420,7,-,-
Peter Wilson,Podbeskidzie Bielsko-Biała,napastnik,416,13,-,-
Przemysław Mystkowski,Jagiellonia Białystok,pomocnik,409,8,28.11.2020,Stal
Fernan Ferreiroa,Jagiellonia Białystok,pomocnik,405,11,-,-
Szymon Lewkot,Śląsk Wrocław,pomocnik,398,7,-,-
Airam Cabrera,Wisła Płock,napastnik,396,8,26.04.2019,Piast
Maciej Domański,Stal Mielec,pomocnik,390,5,21.04.2021,Jagiellonia
Zarko Udovicić,Lechia Gdańsk,pomocnik,377,7,05.04.2021,Zagłębie
Patryk Szysz,Zagłębie Lubin,napastnik,375,4,21.04.2021,Wisła K.
Dominik Steczyk,Piast Gliwice,napastnik,368,5,17.04.2021,Lechia
Aron Johansson,Lech Poznań,napastnik,366,7,26.02.2021,Warta
Aleksander Buksa,Wisła Kraków,napastnik,366,18,20.06.2020,Raków
Sebastian Kowalczyk,Pogoń Szczecin,pomocnik,365,5,16.04.2021,Podbeskidzie
Tomasz Makowski,Lechia Gdańsk,pomocnik,355,4,10.04.2021,Śląsk
Bartosz Bida,Jagiellonia Białystok,napastnik,352,5,18.04.2021,Wisła P.
Patryk Janasik,Śląsk Wrocław,pomocnik,350,4,20.04.2021,Podbeskidzie
Filip Szymczak,Lech Poznań,napastnik,349,15,-,-
David Tijanić,Raków Częstochowa,pomocnik,349,4,23.04.2021,Śląsk
Patryk Zaucha,Cracovia,pomocnik,347,7,-,-
Filip Starzyński,Zagłębie Lubin,pomocnik,345,4,21.04.2021,Wisła K.
Michał Rostkowski,Górnik Zabrze,pomocnik,334,12,-,-
Mateusz Lewandowski,Wisła Płock,napastnik,323,11,18.12.2020,Podbeskidzie
Desley Ubbink,Podbeskidzie Bielsko-Biała,pomocnik,322,5,05.04.2021,Wisła K.
Miłosz Szczepański,Raków Częstochowa,pomocnik,318,3,22.02.2020,Arka
Łukasz Trałka,Warta Poznań,pomocnik,311,3,25.04.2021,Jagiellonia
Thiago,Cracovia,pomocnik,309,5,09.04.2021,Jagiellonia
Jakub Kosecki,Cracovia,pomocnik,307,8,21.07.2018,Cracovia
Gracjan Jaroch,Warta Poznań,napastnik,307,14,-,-
Alasana Manneh,Górnik Zabrze,pomocnik,305,3,16.04.2021,Śląsk
Paweł Wszołek,Legia Warszawa,pomocnik,303,6,13.03.2021,Warta
Dominik Frelek,Podbeskidzie Bielsko-Biała,pomocnik,302,9,-,-
Sebastian Strózik,Cracovia,napastnik,301,17,15.12.2018,Pogoń
Serhij Miakuszko,Podbeskidzie Bielsko-Biała,pomocnik,300,14,-,-
Piotr Krawczyk,Górnik Zabrze,napastnik,299,6,14.03.2021,Zagłębie L.
Tomas Podstawski,Pogoń Szczecin,pomocnik,296,12,16.12.2020,Lech
Mateusz Sopoćko,Warta Poznań,pomocnik,294,11,-,-
Adrian Łyszczarz,Śląsk Wrocław,pomocnik,291,17,-,-
Kacper Kozłowski,Pogoń Szczecin,pomocnik,290,4,16.04.2021,Podbeskidzie
Jakub Bednarczyk,Zagłębie Lubin,pomocnik,288,8,-,-
Egyon Kryeziu,Lechia Gdańsk,pomocnik,282,4,-,-
David Mawutor,Wisła Kraków,pomocnik,279,7,-,-
