POZ.,KLUB,MECZE,PUNKTY,Z,R,P,S/P,S/P PRZECIW,B PKT
1.,Lech Poznań,24,51,15,6,3,9,4,+3
2.,Pogoń Szczecin,24,50,15,5,4,2,3,+1
3.,Radomiak Radom,24,48,14,6,4,10,1,+9
4.,Raków Częstochowa,24,43,12,7,5,4,5,-5
5.,Lechia Gdańsk,24,39,10,9,5,6,4,-1
6.,Górnik Zabrze,24,38,10,8,6,10,1,+2
7.,Cracovia,24,32,9,5,10,4,4,+1
8.,Stal Mielec,24,31,8,7,9,3,4,-1
9.,Piast Gliwice,24,30,7,9,8,4,5,-1
10.,Jagiellonia Białystok,24,29,7,8,9,2,9,-1
11.,Warta Poznań,24,28,7,7,10,10,5,+4
12.,Wisła Kraków,24,28,8,4,12,7,7,+5
13.,Wisła Płock,24,28,8,4,12,3,11,-5
14.,Zagłębie Lubin,24,24,7,3,14,6,7,-1
15.,Śląsk Wrocław,24,24,6,6,12,5,5,-2
16.,Bruk-Bet,23,24,6,6,11,4,1,+2
17.,Legia Warszawa,23,22,6,4,13,7,14,-3
18.,Górnik Łęczna,24,21,5,6,13,2,8,-3
