KLUB,DLA xG,G DLA,PRZECIW xG,G PRZECIW,BILANS xG,BILANS G,pkt,xPKT,BILANS xPKT
Cracovia,"35,12",27,"32,76",32,"2,35",-5,37,"42,39","-5,39"
Górnik,"36,30",31,"32,22",31,"4,08",0,37,"42,48","-5,48"
Jagiellonia,"33,09",39,"46,60",47,"-13,51",-8,37,"32,20","4,80"
Lech,"42,30",37,"31,52",36,"10,77",1,37,"49,31","-12,31"
Lechia,"38,48",38,"40,79",37,"-2,31",1,42,"38,42","3,58"
Legia,"46,20",48,"27,46",23,"18,75",25,64,"53,11","10,89"
Piast,"38,46",38,"32,64",31,"5,82",7,42,"45,53","-3,53"
Podbeskidzie,"30,50",28,"46,43",59,"-15,93",-31,25,"31,22","-6,22"
Pogoń,"36,85",33,"23,92",22,"12,93",11,52,"50,54","1,46"
Raków,"44,31",44,"28,50",25,"15,81",19,59,"50,53","8,47"
Stal,"35,59",30,"37,90",47,"-2,31",-17,29,"39,43","-10,43"
Śląsk,"28,54",36,"38,25",31,"-9,71",5,43,"33,90","9,10"
Warta,"27,82",33,"32,15",30,"-4,33",3,43,"38,32","4,68"
Wisła K,"30,41",35,"40,68",39,"-10,27",-4,33,"33,26","-0,26"
Wisła P,"31,13",36,"37,08",43,"-5,95",-7,33,"38,13","-5,13"
Zagłębie,"33,43",37,"39,63",37,"-6,20",0,41,"37,14","3,86"
