ZAWODNIK,KLUB,ŻK,CZK BEZP,CZK,żk faul,czk faul,żk ręka,żk rywal,żk sędzia,żk czas,żk syml,żk ciesz,żk inne,czk ręka,czk rywal,czk inne,czk sędzia
Michał Nalepa II,Lechia Gdańsk,11,1,3,6,1,2,2,1,0,0,0,0,0,0,0,0
Sasa Balić,Zagłębie Lubin,11,0,1,10,0,0,0,1,0,0,0,0,0,0,0,0
Jakub Rzeźniczak,Wisła Płock,10,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0
Jarosław Kubicki,Lechia Gdańsk,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
Błażej Augustyn,Jagiellonia,8,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0
Jakub Żubrowski,Zagłębie Lubin,8,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0
Felicio Brown Forbes,Wisła Kraków,8,0,1,6,0,0,2,0,0,0,0,0,0,0,0,0
Kenny Saief,Lechia Gdańsk,8,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0
Alasana Manneh,Górnik Zabrze,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
Michal Frydrych,Wisła Kraków,8,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0
Sergiu Hanca,Cracovia,8,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0
Łukasz Burliga,Wisła Kraków,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
Angel Garcia,Wisła Płock,7,0,1,5,0,0,1,1,0,0,0,0,0,0,0,0
Artur Jędrzejczyk,Legia Warszawa,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
Gieorgij Żukow,Wisła Kraków,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
Marcin Flis,Stal Mielec,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
Bogdan Tiru,Jagiellonia,7,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0
Wasyl Kraweć,Lech Poznań,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
Dejan Drazić,Zagłębie Lubin,7,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0
Sebastian Kowalczyk,Pogoń Szczecin,7,0,0,4,0,0,1,1,0,1,0,0,0,0,0,0
Bartosz Kwiecień,Jagiellonia,7,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0
Dino Stiglec,Śląsk Wrocław,6,0,1,4,0,1,0,0,0,1,0,0,0,0,0,0
Luis Rocha,Legia/Cracovia,6,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0
Michał Jakóbowski,Warta Poznań,6,0,1,3,0,0,0,0,1,2,0,0,0,0,0,0
Robert Dadok,Stal Mielec,6,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0
Alan Uryga,Wisła Płock,6,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0
Alexander Gorgon,Pogoń Szczecin,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Filip Mladenović,Legia Warszawa,6,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0
Grzegorz Tomasiewicz,Stal Mielec,6,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0
Maciej Sadlok,Wisła Kraków,6,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0
Mateusz Żyro,Stal Mielec,6,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0
Pelle van Amersfoort,Cracovia,6,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0
Przemysław Wiśniewski,Górnik Zabrze,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Mark Tamas,Śląsk Wrocław,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Erik Janza,Górnik Zabrze,6,0,0,3,0,1,1,1,0,0,0,0,0,0,0,0
Marko Roginić,Podbeskidzie,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Dusan Lagator,Wisła Płock,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Dawid Szymonowicz,Cracovia,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Michal Siplak,Cracovia,6,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0
Kamil Drygas,Pogoń Szczecin,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Bozidar Czorbadzijski,Stal Mielec,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Hubert Matynia,Pogoń Szczecin,5,1,1,5,0,0,0,0,0,0,0,0,1,0,0,0
Kacper Smoliński,Pogoń Szczecin,5,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0
Michał Rzuchowski,Podbeskidzie,5,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0
Gergo Kocsis,Podbeskidzie,5,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0
Alex Sobczyk,Górnik Zabrze,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Damian Dąbrowski,Pogoń Szczecin,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Dawid Szot,Wisła Kraków,5,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0
Igor Sapała,Raków Częstochowa,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Israel Puerto,Śląsk Wrocław,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Kamil Biliński,Podbeskidzie,5,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0
Łukasz Trałka,Warta Poznań,5,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0
Mateusz Kuzimski,Warta Poznań,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Mateusz Matras,Stal Mielec,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Patryk Kun,Raków Częstochowa,5,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0
Tymoteusz Puchacz,Lech Poznań,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Fabian Piasecki,Śląsk Wrocław,5,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0
Bartosz Kopacz,Lechia Gdańsk,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Lorenco Simić,Zagłębie Lubin,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Kamil Piątkowski,Raków Częstochowa,5,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0
Andre Martins,Legia Warszawa,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Kristers Tobers,Lechia Gdańsk,5,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0
Adrian Gryszkiewicz,Górnik Zabrze,5,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0
Jakub Kałuziński,Lechia Gdańsk,4,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0
Igor Lewczuk,Legia Warszawa,4,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0
Michael Gardawski,Cracovia,4,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0
Martin Pospisil,Jagiellonia,4,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0
Matej Rodin,Cracovia,4,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0
Marcel Zylla,Śląsk Wrocław,4,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0
Adi Mehremić,Wisła Kraków,4,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
Bartosz Bida,Jagiellonia,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Bartosz Slisz,Legia Warszawa,4,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
Dorde Crnomarković,Lech/Zagłębie,4,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
Jakub Holubek,Piast Gliwice,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Karol Fila,Lechia Gdańsk,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Luquinhas,Legia Warszawa,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Marcos Alvarez,Cracovia,4,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0
Patryk Lipski,Piast Gliwice,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Piotr Celeban,Śląsk Wrocław,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Tomas Huk,Piast Gliwice,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Vladislavs Gutkovskis,Raków Częstochowa,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Damian Rasak,Wisła Płock,4,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
Conrado,Lechia Gdańsk,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Florian Loshaj,Cracovia,4,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0
Filip Modelski,Podbeskidzie,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Taras Romanczuk,Jagiellonia,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Patryk Sokołowski,Piast Gliwice,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Alan Czerwiński,Lech Poznań,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Michał Żyro,Piast Gliwice,4,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
Giannis Massouras,Górnik Zabrze,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Ivan Runje,Jagiellonia,4,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0
Jakub Kamiński,Lech Poznań,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Damian Zbozień,Wisła Płock,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Adrian Laskowski,Warta Poznań,4,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0
Luis Mata,Pogoń Szczecin,4,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0
Thiago,Cracovia,4,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0
Bartosz Kieliba,Warta Poznań,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Ariel Borysiuk,Jagiellonia,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Kacper Kozłowski,Pogoń Szczecin,4,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
Filip Piszczek,Cracovia,4,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
Andrzej Niewulis,Raków Częstochowa,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Omran Haydary,Lechia Gdańsk,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Michał Chrapek,Piast Gliwice,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Stefanos Evangelou,Górnik Zabrze,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Adrian Benedyczak,Pogoń Szczecin,4,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0
Arkadiusz Pyrka,Piast Gliwice,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Flavio Paixao,Lechia Gdańsk,4,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
Antonio Milić,Lech Poznań,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Jarosław Jach,Raków Częstochowa,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Ben Lederman,Raków Częstochowa,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Krzysztof Kubica,Górnik Zabrze,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan de Amo,Stal Mielec,4,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0
Kamil Kruk,Zagłębie Lubin,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Maciej Wilusz,Raków/Śląsk,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
Tomasz Makowski,Lechia Gdańsk,3,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0
Zoran Arsenić,Jagiellonia/Raków,3,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0
Bartosz Jaroch,Podbeskidzie,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
Andreja Prokić,Stal Mielec,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Pik,Cracovia,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
Maciej Makuszewski,Jagiellonia,3,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0
Bartłomiej Wdowik,Jagiellonia,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Damian Michalski,Wisła Płock,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Dmytro Baszłaj,Podbeskidzie,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
Dominik Steczyk,Piast Gliwice,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
Fran Tudor,Raków Częstochowa,3,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Jakub Kuzdra,Warta Poznań,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Jakub Świerczok,Piast Gliwice,3,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
Kostas Triantafyllopoulos,Pogoń Szczecin,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
