POZ.,KLUB,MECZE,PUNKTY,Z,R,P,GOLE RAZEM,GOLE PL,GOLE ZAGR,% GOLI PL,B PKT
1.,Pogoń Szczecin,30,61,17,10,3,36,25,11,"69,4%",+9
2.,Warta Poznań,30,57,16,9,5,33,26,7,"78,8%",+14
3.,Piast Gliwice,30,52,14,10,6,39,32,7,"82,1%",+10
4.,Wisła Płock,30,47,12,11,7,37,31,6,"83,8%",+14
5.,Zagłębie Lubin,30,42,10,12,8,38,22,16,"57,9%",+1
6.,Śląsk Wrocław,30,42,10,12,8,36,17,19,"47,2%",-1
7.,Lechia Gdańsk,30,41,9,14,7,40,19,21,"47,5%",-1
8.,Raków Częstochowa,30,40,9,13,8,46,15,31,"32,6%",-19
9.,Stal Mielec,30,37,9,10,11,31,23,8,"74,2%",+8
10.,Górnik Zabrze,30,33,7,12,11,31,13,18,"41,9%",-4
11.,Legia Warszawa,30,32,5,17,8,48,11,37,"22,9%",-32
12.,Podbeskidzie Bielsko-Biała,30,32,8,8,14,29,21,8,"72,4%",+7
13.,Wisła Kraków,30,31,6,13,11,39,13,26,"33,3%",-2
14.,Lech Poznań,30,30,5,15,10,39,11,28,"28,2%",-7
15.,Cracovia,30,22,1,19,10,28,3,25,"10,7%",-10
16.,Jagiellonia Białystok,30,21,2,15,13,39,10,29,"25,6%",-16
