ZAWODNIK,KLUB,GOLE,ASYSTY,KANADYJSKA,G rez,AS rez,G 1-0/0-1,2.AS,KAN+2.AS
Tomas Pekhart,Legia Warszawa,22,0,22,0,0,6,0,22
Mateusz Szwoch,Wisła Płock,6,12,18,0,0,2,4,22
Jakub Świerczok,Piast Gliwice,15,3,18,0,0,8,5,23
Jesus Imaz,Jagiellonia,11,5,16,0,1,5,3,19
Jesus Jimenez,Górnik Zabrze,12,3,15,1,0,3,4,19
Flavio Paixao,Lechia Gdańsk,12,3,15,0,0,3,2,17
Filip Starzyński,Zagłębie Lubin,7,7,14,0,0,2,5,19
Marcin Cebula,Raków Częstochowa,6,7,13,0,0,0,2,15
Mikael Ishak,Lech Poznań,12,1,13,0,0,5,3,16
Filip Mladenović,Legia Warszawa,7,5,12,0,0,4,4,16
Jakov Puljić,Jagiellonia,11,1,12,0,0,4,1,13
Kamil Biliński,Podbeskidzie,11,1,12,1,0,5,0,12
Maciej Domański,Stal Mielec,6,6,12,0,1,2,5,17
Erik Exposito,Śląsk Wrocław,9,3,12,0,0,4,2,14
Michał Kucharczyk,Pogoń Szczecin,6,5,11,1,0,5,3,14
Ivi Lopez,Raków Częstochowa,9,2,11,2,1,3,4,15
Mateusz Kuzimski,Warta Poznań,7,4,11,1,0,6,1,12
Łukasz Trałka,Warta Poznań,3,7,10,0,0,2,3,13
Pelle van Amersfoort,Cracovia,6,4,10,0,0,3,1,11
Felicio Brown Forbes,Wisła Kraków,7,3,10,0,0,2,1,11
Alan Uryga,Wisła Płock,5,4,9,0,0,1,2,11
Dani Ramirez,Lech Poznań,6,3,9,0,0,1,4,13
David Tijanić,Raków Częstochowa,6,3,9,1,1,2,6,15
Patryk Tuszyński,Wisła Płock,6,3,9,2,0,5,2,11
Pedro Tiba,Lech Poznań,3,6,9,0,0,0,3,12
Robert Pich,Śląsk Wrocław,7,2,9,0,1,3,2,11
Tomas Prikryl,Jagiellonia,2,7,9,0,1,0,1,10
Patryk Szysz,Zagłębie Lubin,8,1,9,0,0,2,1,10
Josip Juranović,Legia Warszawa,1,8,9,0,0,1,1,10
Bartosz Nowak,Górnik Zabrze,5,3,8,0,0,1,3,11
Rafał Pietrzak,Lechia Gdańsk,1,7,8,0,0,1,2,10
Vladislavs Gutkovskis,Raków Częstochowa,7,1,8,1,0,4,2,10
Paweł Wszołek,Legia Warszawa,3,5,8,0,1,2,3,11
Michał Żyro,Piast Gliwice,4,4,8,1,2,1,0,8
Makana Baku,Warta Poznań,6,2,8,0,0,4,2,10
Bartosz Kapustka,Legia Warszawa,3,4,7,0,0,2,4,11
Maciej Makuszewski,Jagiellonia,3,4,7,1,0,1,2,9
Martin Pospisil,Jagiellonia,1,6,7,0,0,0,3,10
Sasa Balić,Zagłębie Lubin,2,5,7,0,0,0,1,8
Conrado,Lechia Gdańsk,3,4,7,0,1,0,2,9
Alex Sobczyk,Górnik Zabrze,3,3,6,0,0,2,1,7
Alexander Gorgon,Pogoń Szczecin,5,1,6,0,0,3,4,10
Fran Tudor,Raków Częstochowa,1,5,6,0,2,1,8,14
Jakub Moder,Lech Poznań,4,2,6,0,0,2,0,6
Łukasz Zwoliński,Lechia Gdańsk,6,0,6,2,0,3,2,8
Luquinhas,Legia Warszawa,3,3,6,0,0,1,11,17
Mateusz Praszelik,Śląsk Wrocław,1,5,6,1,0,1,3,9
Petr Schwarz,Raków Częstochowa,4,2,6,0,0,0,1,7
Sergiu Hanca,Cracovia,4,2,6,0,0,2,3,9
Yaw Yeboah,Wisła Kraków,4,2,6,0,0,1,3,9
Jan Grzesik,Warta Poznań,4,2,6,0,1,1,2,8
Krzysztof Mączyński,Śląsk Wrocław,2,4,6,0,0,2,1,7
Tiago Alves,Piast Gliwice,5,1,6,4,0,2,1,7
Michał Chrapek,Piast Gliwice,1,5,6,0,0,1,0,6
Kamil Drygas,Pogoń Szczecin,3,2,5,1,0,0,1,6
Łukasz Sierpina,Podbeskidzie,0,5,5,0,1,0,3,8
Maciej Gajos,Lechia Gdańsk,2,3,5,0,0,1,1,6
Marcos Alvarez,Cracovia,2,3,5,0,1,1,3,8
Michał Nalepa II,Lechia Gdańsk,3,2,5,0,0,1,0,5
Stefan Savić,Wisła Kraków,2,3,5,0,1,0,5,10
Mateusz Mak,Stal Mielec,4,1,5,1,1,0,2,7
Dawid Kocyła,Wisła Płock,4,1,5,1,0,0,3,8
Michal Frydrych,Wisła Kraków,3,2,5,0,0,1,1,6
Luka Zahović,Pogoń Szczecin,2,3,5,0,1,1,2,7
Marko Roginić,Podbeskidzie,2,3,5,0,0,1,2,7
Gerard Badia,Piast Gliwice,0,5,5,0,0,0,4,9
Maciej Żurawski,Pogoń/Warta,1,4,5,0,2,1,0,5
Jakub Bartkowski,Pogoń Szczecin,1,4,5,0,0,1,2,7
Alasana Manneh,Górnik Zabrze,3,1,4,1,0,1,2,6
Chuca,Wisła Kraków,3,1,4,0,0,0,0,4
Fabian Piasecki,Śląsk Wrocław,4,0,4,3,0,1,1,5
Florian Loshaj,Cracovia,2,2,4,1,0,1,3,7
Jakub Błaszczykowski,Wisła Kraków,4,0,4,3,0,1,1,5
Jean Carlos Silva,Wisła Kraków,3,1,4,0,0,3,3,7
Karol Danielak,Podbeskidzie,1,3,4,0,2,1,4,8
Maciej Sadlok,Wisła Kraków,2,2,4,0,0,1,3,7
Patryk Kun,Raków Częstochowa,1,3,4,0,0,0,4,8
Piotr Krawczyk,Górnik Zabrze,4,0,4,3,0,2,1,5
Taras Romanczuk,Jagiellonia,2,2,4,0,0,1,5,9
Lorenco Simić,Zagłębie Lubin,4,0,4,0,0,1,0,4
Dominik Steczyk,Piast Gliwice,4,0,4,0,0,1,4,8
Kamil Piątkowski,Raków Częstochowa,2,2,4,0,0,0,4,8
Dejan Drazić,Zagłębie Lubin,1,3,4,0,1,0,3,7
Rafael Lopes,Legia Warszawa,4,0,4,2,0,2,3,7
