ZAWODNIK,KLUB,R,R celn,% R celn,R Gole,ZZA,ZZA celn,ZZA %,ZZA Gole,ZZA GOL/ZZA
Ivi Lopez,Raków Częstochowa,79,33,"41,8%",9,44,19,"43,2%",2,"4,5%"
Dani Ramirez,Lech Poznań,83,27,"32,5%",6,48,15,"31,3%",0,"0,0%"
Bartosz Nowak,Górnik Zabrze,63,26,"41,3%",5,39,13,"33,3%",1,"2,6%"
Mateusz Szwoch,Wisła Płock,51,20,"39,2%",6,29,12,"41,4%",1,"3,4%"
Pettteri Forsell,Stal Mielec,39,15,"38,5%",1,33,12,"36,4%",1,"3,0%"
Yaw Yeboah,Wisła Kraków,64,21,"32,8%",4,32,11,"34,4%",2,"6,3%"
Pedro Tiba,Lech Poznań,60,21,"35,0%",3,39,10,"25,6%",0,"0,0%"
Filip Mladenović,Legia Warszawa,55,20,"36,4%",7,28,10,"35,7%",0,"0,0%"
Jakub Świerczok,Piast Gliwice,80,35,"43,8%",15,21,9,"42,9%",3,"14,3%"
Robert Pich,Śląsk Wrocław,62,26,"41,9%",7,17,9,"52,9%",1,"5,9%"
Filip Starzyński,Zagłębie Lubin,43,18,"41,9%",7,22,9,"40,9%",1,"4,5%"
Jesus Jimenez,Górnik Zabrze,92,36,"39,1%",12,28,8,"28,6%",1,"3,6%"
Michał Kucharczyk,Pogoń Szczecin,64,23,"35,9%",6,32,8,"25,0%",1,"3,1%"
Luquinhas,Legia Warszawa,39,15,"38,5%",3,17,8,"47,1%",0,"0,0%"
Krystian Getinger,Stal Mielec,40,13,"32,5%",2,23,8,"34,8%",0,"0,0%"
Josip Juranović,Legia Warszawa,24,10,"41,7%",1,18,8,"44,4%",1,"5,6%"
Alasana Manneh,Górnik Zabrze,28,10,"35,7%",3,26,8,"30,8%",1,"3,8%"
Patryk Szysz,Zagłębie Lubin,58,17,"29,3%",8,25,7,"28,0%",0,"0,0%"
Bartłomiej Pawłowski,Śląsk Wrocław,32,15,"46,9%",3,19,7,"36,8%",2,"10,5%"
Michał Rzuchowski,Podbeskidzie,36,11,"30,6%",1,23,7,"30,4%",0,"0,0%"
Erik Exposito,Śląsk Wrocław,57,20,"35,1%",9,20,6,"30,0%",0,"0,0%"
Alexander Gorgon,Pogoń Szczecin,37,16,"43,2%",5,17,6,"35,3%",1,"5,9%"
Jakub Moder,Lech Poznań,35,13,"37,1%",4,25,6,"24,0%",0,"0,0%"
Kristopher Vida,Piast Gliwice,29,11,"37,9%",1,16,6,"37,5%",0,"0,0%"
Jesus Imaz,Jagiellonia,56,26,"46,4%",11,12,5,"41,7%",1,"8,3%"
Jakov Puljić,Jagiellonia,61,22,"36,1%",11,21,5,"23,8%",0,"0,0%"
Maciej Domański,Stal Mielec,46,18,"39,1%",6,22,5,"22,7%",0,"0,0%"
Sergiu Hanca,Cracovia,30,14,"46,7%",4,17,5,"29,4%",1,"5,9%"
Patryk Sokołowski,Piast Gliwice,40,10,"25,0%",2,22,5,"22,7%",1,"4,5%"
Desley Ubbink,Podbeskidzie,13,9,"69,2%",2,8,5,"62,5%",0,"0,0%"
Maciej Makuszewski,Jagiellonia,17,9,"52,9%",3,9,5,"55,6%",1,"11,1%"
Kenny Saief,Lechia Gdańsk,27,9,"33,3%",0,16,5,"31,3%",0,"0,0%"
Krzysztof Mączyński,Śląsk Wrocław,13,7,"53,8%",2,11,5,"45,5%",2,"18,2%"
Filip Lesniak,Wisła Płock,18,7,"38,9%",1,13,5,"38,5%",0,"0,0%"
Mateusz Czyżycki,Warta Poznań,21,7,"33,3%",0,17,5,"29,4%",0,"0,0%"
Martin Pospisil,Jagiellonia,23,7,"30,4%",1,16,5,"31,3%",0,"0,0%"
Łukasz Zwoliński,Lechia Gdańsk,45,19,"42,2%",6,11,4,"36,4%",1,"9,1%"
Taras Romanczuk,Jagiellonia,33,12,"36,4%",2,15,4,"26,7%",0,"0,0%"
Thiago,Cracovia,26,10,"38,5%",2,11,4,"36,4%",1,"9,1%"
Michał Skóraś,Lech Poznań,31,10,"32,3%",2,12,4,"33,3%",0,"0,0%"
Mateusz Praszelik,Śląsk Wrocław,37,10,"27,0%",1,24,4,"16,7%",0,"0,0%"
Damian Rasak,Wisła Płock,27,9,"33,3%",3,15,4,"26,7%",0,"0,0%"
Stefan Savić,Wisła Kraków,38,9,"23,7%",2,15,4,"26,7%",1,"6,7%"
Kacper Kozłowski K,Pogoń Szczecin,23,8,"34,8%",1,12,4,"33,3%",0,"0,0%"
Florian Loshaj,Cracovia,29,8,"27,6%",2,18,4,"22,2%",0,"0,0%"
Marcos Alvarez,Cracovia,34,8,"23,5%",2,22,4,"18,2%",0,"0,0%"
Chuca,Wisła Kraków,17,7,"41,2%",3,9,4,"44,4%",1,"11,1%"
Sasa Zivec,Zagłębie Lubin,18,6,"33,3%",0,7,4,"57,1%",0,"0,0%"
Bartosz Slisz,Legia Warszawa,36,6,"16,7%",2,28,4,"14,3%",0,"0,0%"
Jakub Błaszczykowski,Wisła Kraków,8,5,"62,5%",4,7,4,"57,1%",3,"42,9%"
Mateusz Wdowiak,Cracovia/Raków,10,5,"50,0%",0,8,4,"50,0%",0,"0,0%"
Mateusz Marzec,Podbeskidzie,12,5,"41,7%",1,10,4,"40,0%",0,"0,0%"
Tomasz Nowak,Podbeskidzie,7,4,"57,1%",1,6,4,"66,7%",1,"16,7%"
Felicio Brown Forbes,Raków/Wisła K,52,25,"48,1%",7,12,3,"25,0%",1,"8,3%"
Mikael Ishak,Lech Poznań,61,25,"41,0%",12,7,3,"42,9%",0,"0,0%"
Flavio Paixao,Lechia Gdańsk,75,23,"30,7%",12,22,3,"13,6%",0,"0,0%"
Mateusz Kuzimski,Warta Poznań,48,18,"37,5%",7,12,3,"25,0%",0,"0,0%"
Bartosz Kapustka,Legia Warszawa,54,17,"31,5%",3,22,3,"13,6%",0,"0,0%"
Sebastian Kowalczyk,Pogoń Szczecin,39,16,"41,0%",3,11,3,"27,3%",0,"0,0%"
Makana Baku,Warta Poznań,19,10,"52,6%",6,9,3,"33,3%",0,"0,0%"
Ivan Fiolić,Cracovia,24,10,"41,7%",1,10,3,"30,0%",0,"0,0%"
Conrado,Lechia Gdańsk,27,10,"37,0%",3,7,3,"42,9%",0,"0,0%"
Omran Haydary,Lechia Gdańsk,16,9,"56,3%",1,3,3,"100,0%",1,"33,3%"
Maciej Gajos,Lechia Gdańsk,33,9,"27,3%",2,21,3,"14,3%",0,"0,0%"
Maciej Sadlok,Wisła Kraków,26,8,"30,8%",2,15,3,"20,0%",0,"0,0%"
Grzegorz Tomasiewicz,Stal Mielec,26,8,"30,8%",3,15,3,"20,0%",0,"0,0%"
Richmond Boakye,Górnik Zabrze,27,8,"29,6%",0,10,3,"30,0%",0,"0,0%"
Marko Roginić,Podbeskidzie,28,8,"28,6%",2,11,3,"27,3%",1,"9,1%"
Dominik Steczyk,Piast Gliwice,33,8,"24,2%",4,11,3,"27,3%",1,"9,1%"
Patryk Kun,Raków Częstochowa,27,7,"25,9%",1,12,3,"25,0%",0,"0,0%"
Roman Prochazka,Górnik Zabrze,27,7,"25,9%",0,17,3,"17,6%",0,"0,0%"
Tymoteusz Puchacz,Lech Poznań,29,7,"24,1%",1,17,3,"17,6%",0,"0,0%"
Jarosław Kubicki,Lechia Gdańsk,24,6,"25,0%",1,18,3,"16,7%",0,"0,0%"
Patryk Lipski,Piast Gliwice,15,5,"33,3%",1,10,3,"30,0%",1,"10,0%"
Łukasz Poręba,Zagłębie Lubin,19,5,"26,3%",0,13,3,"23,1%",0,"0,0%"
Patryk Janasik,Śląsk Wrocław,22,5,"22,7%",1,16,3,"18,8%",1,"6,3%"
Łukasz Trałka,Warta Poznań,24,5,"20,8%",3,11,3,"27,3%",2,"18,2%"
Tomasz Makowski,Lechia Gdańsk,26,4,"15,4%",1,22,3,"13,6%",1,"4,5%"
Andre Martins,Legia Warszawa,7,3,"42,9%",0,4,3,"75,0%",0,"0,0%"
Patryk Zaucha,Cracovia,7,3,"42,9%",0,4,3,"75,0%",0,"0,0%"
Rafał Figiel,Podbeskidzie,9,3,"33,3%",0,9,3,"33,3%",0,"0,0%"
Jakub Kałuziński,Lechia Gdańsk,10,3,"30,0%",0,9,3,"33,3%",0,"0,0%"
Jakub Żubrowski,Zagłębie Lubin,13,3,"23,1%",0,9,3,"33,3%",0,"0,0%"
Jan Biegański,Lechia Gdańsk,14,3,"21,4%",0,12,3,"25,0%",0,"0,0%"
Igor Sapała,Raków Częstochowa,30,3,"10,0%",0,22,3,"13,6%",0,"0,0%"
Tomas Pekhart,Legia Warszawa,78,38,"48,7%",22,7,2,"28,6%",1,"14,3%"
Vladislavs Gutkovskis,Raków Częstochowa,43,17,"39,5%",7,6,2,"33,3%",0,"0,0%"
David Tijanić,Raków Częstochowa,33,14,"42,4%",6,8,2,"25,0%",1,"12,5%"
Jean Carlos Silva,Wisła Kraków,34,11,"32,4%",3,9,2,"22,2%",1,"11,1%"
Kacper Chodyna,Zagłębie Lubin,20,10,"50,0%",2,10,2,"20,0%",0,"0,0%"
Marcin Flis,Stal Mielec,25,10,"40,0%",3,10,2,"20,0%",0,"0,0%"
Jan Grzesik,Warta Poznań,26,9,"34,6%",4,6,2,"33,3%",1,"16,7%"
Jakub Kamiński,Lech Poznań,38,9,"23,7%",1,10,2,"20,0%",0,"0,0%"
Fran Tudor,Raków Częstochowa,23,8,"34,8%",1,8,2,"25,0%",0,"0,0%"
Filip Marchwiński,Lech Poznań,10,7,"70,0%",1,2,2,"100,0%",0,"0,0%"
Michal Siplak,Cracovia,17,7,"41,2%",2,7,2,"28,6%",0,"0,0%"
Kamil Piątkowski,Raków Częstochowa,28,7,"25,0%",2,9,2,"22,2%",0,"0,0%"
Serhij Miakuszko,Podbeskidzie,14,6,"42,9%",0,8,2,"25,0%",0,"0,0%"
Jakub Bartkowski,Pogoń Szczecin,10,5,"50,0%",1,4,2,"50,0%",0,"0,0%"
Robert Janicki,Warta Poznań,14,5,"35,7%",1,6,2,"33,3%",0,"0,0%"
Tomas Prikryl,Jagiellonia,17,5,"29,4%",2,7,2,"28,6%",0,"0,0%"
Waldemar Sobota,Śląsk Wrocław,19,5,"26,3%",1,13,2,"15,4%",0,"0,0%"
Jewgienij Baszkirow,Zagłębie Lubin,19,5,"26,3%",1,10,2,"20,0%",0,"0,0%"
Karol Fila,Lechia Gdańsk,19,5,"26,3%",1,7,2,"28,6%",1,"14,3%"
Jakub Hora,Podbeskidzie,22,5,"22,7%",2,11,2,"18,2%",0,"0,0%"
Rivaldinho,Cracovia,26,5,"19,2%",1,10,2,"20,0%",0,"0,0%"
Dawid Szymonowicz,Cracovia,8,4,"50,0%",1,3,2,"66,7%",0,"0,0%"
Daniel Ściślak,Górnik Zabrze,9,4,"44,4%",1,5,2,"40,0%",1,"20,0%"
Jan Sykora,Lech Poznań,13,4,"30,8%",0,6,2,"33,3%",0,"0,0%"
Mariusz Rybicki,Warta Poznań,15,4,"26,7%",1,7,2,"28,6%",0,"0,0%"
Karol Podliński,Zagłębie Lubin,17,4,"23,5%",2,3,2,"66,7%",1,"33,3%"
Jakub Holubek,Piast Gliwice,18,4,"22,2%",0,14,2,"14,3%",0,"0,0%"
Walerian Gwilia,Legia Warszawa,21,4,"19,0%",0,12,2,"16,7%",0,"0,0%"
Rafał Boguski,Wisła Kraków,6,3,"50,0%",2,4,2,"50,0%",1,"25,0%"
Torgil Gjertsen,Wisła Płock,8,3,"37,5%",1,5,2,"40,0%",1,"20,0%"
Ariel Borysiuk,Jagiellonia,9,3,"33,3%",0,8,2,"25,0%",0,"0,0%"
Dawid Szot,Wisła Kraków,12,3,"25,0%",0,8,2,"25,0%",0,"0,0%"
Jakub Bieroński,Podbeskidzie,12,3,"25,0%",0,9,2,"22,2%",0,"0,0%"
Gerard Badia,Piast Gliwice,15,3,"20,0%",0,7,2,"28,6%",0,"0,0%"
Damian Dąbrowski,Pogoń Szczecin,21,3,"14,3%",0,17,2,"11,8%",0,"0,0%"
Ben Lederman,Raków Częstochowa,2,2,"100,0%",0,2,2,"100,0%",0,"0,0%"
Maciej Urbańczyk,Stal Mielec,3,2,"66,7%",0,3,2,"66,7%",0,"0,0%"
Wojciech Szumilas,Wisła Płock,3,2,"66,7%",0,3,2,"66,7%",0,"0,0%"
Sylwester Lusiusz,cracovia,4,2,"50,0%",0,4,2,"50,0%",0,"0,0%"
Bartosz Jaroch,Podbeskidzie,5,2,"40,0%",0,4,2,"50,0%",0,"0,0%"
Filip Bainović,Górnik Zabrze,6,2,"33,3%",0,6,2,"33,3%",0,"0,0%"
Rafał Pietrzak,Lechia Gdańsk,13,2,"15,4%",1,11,2,"18,2%",1,"9,1%"
Filip Modelski,Podbeskidzie,16,2,"12,5%",0,14,2,"14,3%",0,"0,0%"
Kamil Biliński,Podbeskidzie,37,19,"51,4%",11,6,1,"16,7%",1,"16,7%"
Patryk Tuszyński,Wisła Płock,29,17,"58,6%",6,3,1,"33,3%",0,"0,0%"
Pelle van Amersfoort,Cracovia,40,16,"40,0%",6,8,1,"12,5%",0,"0,0%"
Michał Żyro,Piast Gliwice,36,13,"36,1%",4,5,1,"20,0%",0,"0,0%"
Paweł Wszołek,Legia Warszawa,28,12,"42,9%",3,3,1,"33,3%",0,"0,0%"
Kamil Drygas,Pogoń Szczecin,36,11,"30,6%",3,12,1,"8,3%",0,"0,0%"
Mateusz Mak,Stal Mielec,17,10,"58,8%",4,3,1,"33,3%",0,"0,0%"
Rafael Lopes,Legia Warszawa,27,10,"37,0%",4,2,1,"50,0%",0,"0,0%"
Lorenco Simić,Zagłębie Lubin,19,9,"47,4%",4,4,1,"25,0%",0,"0,0%"
Samuel Mraz,Zagłębie Lubin,24,9,"37,5%",2,3,1,"33,3%",0,"0,0%"
Alex Sobczyk,Górnik Zabrze,27,9,"33,3%",3,4,1,"25,0%",0,"0,0%"
Paweł Tomczyk,Stal Mielec,12,8,"66,7%",1,1,1,"100,0%",0,"0,0%"
Andreja Prokić,Stal Mielec,16,8,"50,0%",2,3,1,"33,3%",0,"0,0%"
Adrian Benedyczak,Pogoń Szczecin,23,8,"34,8%",3,1,1,"100,0%",0,"0,0%"
Sebastian Milewski,Piast Gliwice,14,7,"50,0%",2,3,1,"33,3%",0,"0,0%"
Fabian Piasecki,Śląsk Wrocław,18,7,"38,9%",4,6,1,"16,7%",0,"0,0%"
Petr Schwarz,Raków Częstochowa,19,7,"36,8%",4,9,1,"11,1%",0,"0,0%"
Mateusz Matras,Stal Mielec,19,7,"36,8%",1,3,1,"33,3%",0,"0,0%"
Tiago Alves,Piast Gliwice,25,7,"28,0%",5,8,1,"12,5%",1,"12,5%"
Rok Sirk,Zagłębie Lubin,10,6,"60,0%",2,2,1,"50,0%",0,"0,0%"
Bartłomiej Wdowik,Jagiellonia,14,6,"42,9%",2,8,1,"12,5%",0,"0,0%"
Sasa Balić,Zagłębie Lubin,14,6,"42,9%",2,2,1,"50,0%",0,"0,0%"
Dejan Drazić,Zagłębie Lubin,22,6,"27,3%",1,4,1,"25,0%",0,"0,0%"
Łukasz Burliga,Wisła Kraków,10,5,"50,0%",1,2,1,"50,0%",0,"0,0%"
Muhammad Awwad,Lech Poznań,12,5,"41,7%",1,4,1,"25,0%",0,"0,0%"
Przemysław Wiśniewski,Górnik Zabrze,13,5,"38,5%",1,2,1,"50,0%",0,"0,0%"
Karol Danielak,Podbeskidzie,14,5,"35,7%",1,5,1,"20,0%",0,"0,0%"
Kacper Smoliński,Pogoń Szczecin,16,5,"31,3%",1,5,1,"20,0%",0,"0,0%"
Angel Garcia,Wisła Płock,17,5,"29,4%",0,4,1,"25,0%",0,"0,0%"
Michał Jakóbowski,Warta Poznań,17,5,"29,4%",2,7,1,"14,3%",0,"0,0%"
Michał Nalepa II,Lechia Gdańsk,17,5,"29,4%",3,5,1,"20,0%",0,"0,0%"
Przemysław Mystkowski,Jagiellonia,19,5,"26,3%",1,10,1,"10,0%",1,"10,0%"
Giannis Massouras,Górnik Zabrze,34,5,"14,7%",0,17,1,"5,9%",0,"0,0%"
Bartosz Salamon,Lech Poznań,7,4,"57,1%",1,3,1,"33,3%",0,"0,0%"
Kacper Kostorz,Legia Warszawa,9,4,"44,4%",1,2,1,"50,0%",0,"0,0%"
Jakub Kiełb,Warta Poznań,10,4,"40,0%",1,6,1,"16,7%",0,"0,0%"
Tomasz Jodłowiec,Piast Gliwice,13,4,"30,8%",0,5,1,"20,0%",0,"0,0%"
Robert Dadok,Stal Mielec,13,4,"30,8%",0,6,1,"16,7%",0,"0,0%"
Erik Janza,Górnik Zabrze,15,4,"26,7%",0,7,1,"14,3%",0,"0,0%"
Michał Chrapek,Piast Gliwice,17,4,"23,5%",1,6,1,"16,7%",0,"0,0%"
Mateusz Kupczak,Warta Poznań,22,4,"18,2%",3,14,1,"7,1%",0,"0,0%"
Paweł Olszewski,Jagiellonia,6,3,"50,0%",0,1,1,"100,0%",0,"0,0%"
Adam Zrelak,Warta Poznań,6,3,"50,0%",0,2,1,"50,0%",0,"0,0%"
Kacper Skibicki,Legia Warszawa,6,3,"50,0%",1,3,1,"33,3%",0,"0,0%"
Mathieu Scalet,Śląsk Wrocław,7,3,"42,9%",2,1,1,"100,0%",0,"0,0%"
Jakub Rzeźniczak,Wisła Płock,10,3,"30,0%",1,2,1,"50,0%",0,"0,0%"
Kostas Triantafyllopoulos,Pogoń Szczecin,10,3,"30,0%",1,2,1,"50,0%",0,"0,0%"
Lubambo Musonda,Śląsk Wrocław,14,3,"21,4%",0,9,1,"11,1%",0,"0,0%"
Giorgi Merebaszwili,Wisła Płock,14,3,"21,4%",0,9,1,"11,1%",0,"0,0%"
Robert Ivanov,Warta Poznań,14,3,"21,4%",0,3,1,"33,3%",0,"0,0%"
Maksymilian Sitek,Podbeskidzie,21,3,"14,3%",1,8,1,"12,5%",0,"0,0%"
Ivan Martin,Podbeskidzie,2,2,"100,0%",0,1,1,"100,0%",0,"0,0%"
David Stec,Pogoń Szczecin,3,2,"66,7%",0,2,1,"50,0%",0,"0,0%"
Milan Obradović,Wisła Płock,3,2,"66,7%",0,1,1,"100,0%",0,"0,0%"
Wiktor Długosz,Raków Częstochowa,3,2,"66,7%",0,1,1,"100,0%",0,"0,0%"
Jaroslav Mihalik,Lechia Gdańsk,4,2,"50,0%",1,2,1,"50,0%",0,"0,0%"
Jakub Bednarczyk,Zagłębie Lubin,4,2,"50,0%",0,2,1,"50,0%",0,"0,0%"
Żarko Udovicić,Lechia Gdańsk,5,2,"40,0%",2,1,1,"100,0%",1,"100,0%"
Piotr Tomasik,Wisła Płock,5,2,"40,0%",0,3,1,"33,3%",0,"0,0%"
Michał Koj,Górnik Zabrze,5,2,"40,0%",1,2,1,"50,0%",0,"0,0%"
Michał Karbownik,Legia Warszawa,6,2,"33,3%",0,2,1,"50,0%",0,"0,0%"
Filip Szymczak,Lech Poznań,6,2,"33,3%",0,2,1,"50,0%",0,"0,0%"
Rafał Makowski,Śląsk Wrocław,6,2,"33,3%",0,3,1,"33,3%",0,"0,0%"
Paweł Stolarski,Legia Warszawa,8,2,"25,0%",0,6,1,"16,7%",0,"0,0%"
Jesper Karlstrom,Lech Poznań,13,2,"15,4%",0,7,1,"14,3%",0,"0,0%"
Milan Dimun,Cracovia,15,2,"13,3%",0,5,1,"20,0%",0,"0,0%"
Wojciech Hajda,Górnik Zabrze,1,1,"100,0%",0,1,1,"100,0%",0,"0,0%"
Mikkel Kirkeskov,Piast Gliwice,2,1,"50,0%",0,2,1,"50,0%",0,"0,0%"
Piotr Malinowski,Raków Częstochowa,2,1,"50,0%",0,1,1,"100,0%",0,"0,0%"
Karlo Muhar,Lech Poznań,2,1,"50,0%",0,2,1,"50,0%",0,"0,0%"
Vullnet Basha,Wisła Kraków,3,1,"33,3%",0,3,1,"33,3%",0,"0,0%"
Artem Szabanow,Legia Warszawa,3,1,"33,3%",0,3,1,"33,3%",0,"0,0%"
Maciej Bortniczuk,Jagiellonia,3,1,"33,3%",0,2,1,"50,0%",0,"0,0%"
