KLUB,BR Z,BR S,POS,STRZ,STRZ C,STRZ NC,STRZ Z,% STRZ C *,% BR/STRZ *,RZR,SP,OBR BR *,FAULE,Ż,CZ,SKRÓT
Cracovia,"0,93","1,07",48%,"12,03","3,63","4,67","3,73","30,19%","7,48%","4,37","1,67","3,43","15,80","2,50","0,17",CRA
Górnik Zabrze,"1,03","1,10",51%,"14,10","4,80","5,27","4,03","34,04%","7,33%","5,63","1,27","2,80","14,17","2,17","0,00",GÓR
Jagiellonia Białystok,"1,30","1,60",48%,"11,53","4,20","4,57","2,77","36,42%","11,27%","4,37","1,63","3,73","14,90","2,33","0,17",JAG
Lech Poznań,"1,30","1,27",59%,"15,60","4,97","5,83","4,80","31,84%","7,91%","6,67","1,50","3,13","13,37","1,77","0,00",LPO
Lechia Gdańsk,"1,33","1,23",50%,"13,07","4,03","5,30","3,73","30,87%","9,69%","5,47","1,83","3,73","16,03","2,73","0,17",LGD
Legia Warszawa,"1,60","0,80",58%,"15,33","5,23","6,00","4,10","34,13%","10,43%","6,13","1,57","2,30","14,07","1,83","0,03",LEG
Piast Gliwice,"1,30","1,07",51%,"13,13","4,37","5,57","3,20","33,25%","9,64%","4,50","1,83","3,13","12,70","1,80","0,00",PIA
Podbeskidzie Bielsko-Biała,"0,97","2,00",47%,"11,40","3,50","4,33","3,57","30,70%","8,19%","4,80","1,63","3,07","15,47","2,13","0,13",POD
Pogoń Szczecin,"1,20","0,77",55%,"12,93","4,50","5,20","3,23","34,79%","8,51%","6,20","2,10","2,47","13,70","2,07","0,07",POG
Raków Częstochowa,"1,53","0,83",47%,"13,10","5,03","5,03","3,03","38,42%","11,20%","5,97","1,57","2,53","14,77","1,93","0,07",RCZ
Stal Mielec,"1,03","1,57",45%,"11,90","4,53","4,57","2,80","38,10%","8,40%","4,77","1,50","3,30","13,07","2,13","0,07",STM
Śląsk Wrocław,"1,20","1,07",47%,"12,07","4,13","5,20","2,73","34,25%","9,94%","4,60","1,53","3,37","15,33","1,83","0,10",ŚLĄ
Warta Poznań,"1,10","1,07",44%,"10,07","3,13","4,37","2,57","31,13%","10,93%","4,53","1,60","2,77","13,90","1,47","0,07",WAR
Wisła Kraków,"1,30","1,40",50%,"12,80","4,20","5,20","3,40","32,81%","9,11%","6,13","2,00","3,53","15,20","2,67","0,03",WIS
Wisła Płock,"1,23","1,47",51%,"10,50","4,07","4,20","2,23","38,73%","11,43%","4,83","1,30","2,63","15,77","2,03","0,03",WPŁ
Zagłębie Lubin,"1,27","1,33",51%,"11,87","3,97","5,03","2,87","33,43%","10,39%","4,90","1,90","3,37","13,27","2,13","0,10",ZAG
