ZAWODNIK,KLUB,GOLE,ASYSTY,KANADYJSKA,CZAS,MIN/GOL,MIN/G+AS
Tomas Pekhart,Legia Warszawa,22,0,22,2048,"93,1","93,1"
Jakub Świerczok,Piast Gliwice,15,3,18,1691,"112,7","93,9"
Tiago Alves,Piast Gliwice,5,1,6,591,"118,2","98,5"
Jakub Błaszczykowski,Wisła Kraków,4,0,4,485,"121,3","121,3"
Mikael Ishak,Lech Poznań,12,1,13,1681,"140,1","129,3"
Jakov Puljić,Jagiellonia,11,1,12,1864,"169,5","155,3"
Ivi Lopez,Raków Częstochowa,9,2,11,1576,"175,1","143,3"
Kamil Biliński,Podbeskidzie,11,1,12,1932,"175,6","161,0"
Makana Baku,Warta Poznań,6,2,8,1073,"178,8","134,1"
Fabian Piasecki,Śląsk Wrocław,4,0,4,723,"180,8","180,8"
Flavio Paixao,Lechia Gdańsk,12,3,15,2382,"198,5","158,8"
Jesus Imaz,Jagiellonia,11,5,16,2267,"206,1","141,7"
Erik Exposito,Śląsk Wrocław,9,3,12,1863,"207,0","155,3"
Jesus Jimenez,Górnik Zabrze,12,3,15,2551,"212,6","170,1"
Rafael Lopes,Legia Warszawa,4,0,4,893,"223,3","223,3"
Łukasz Zwoliński,Lechia Gdańsk,6,0,6,1403,"233,8","233,8"
Marcin Cebula,Raków Częstochowa,6,7,13,1485,"247,5","114,2"
Patryk Tuszyński,Wisła Płock,6,3,9,1498,"249,7","166,4"
Michał Żyro,Piast Gliwice,4,4,8,1023,"255,8","127,9"
Felicio Brown Forbes,Wisła Kraków,7,3,10,1830,"261,4","183,0"
Chuca,Wisła Kraków,3,1,4,805,"268,3","201,3"
Piotr Krawczyk,Górnik Zabrze,4,0,4,1112,"278,0","278,0"
Vladislavs Gutkovskis,Raków Częstochowa,7,1,8,1966,"280,9","245,8"
Filip Starzyński,Zagłębie Lubin,7,7,14,2082,"297,4","148,7"
Patryk Szysz,Zagłębie Lubin,8,1,9,2418,"302,3","268,7"
Jakub Moder,Lech Poznań,4,2,6,1211,"302,8","201,8"
Mateusz Kuzimski,Warta Poznań,7,4,11,2160,"308,6","196,4"
Mateusz Mak,Stal Mielec,4,1,5,1271,"317,8","254,2"
Lorenco Simić,Zagłębie Lubin,4,0,4,1275,"318,8","318,8"
David Tijanić,Raków Częstochowa,6,3,9,1980,"330,0","220,0"
Robert Pich,Śląsk Wrocław,7,2,9,2361,"337,3","262,3"
Filip Mladenović,Legia Warszawa,7,5,12,2419,"345,6","201,6"
Alexander Gorgon,Pogoń Szczecin,5,1,6,1747,"349,4","291,2"
Dani Ramirez,Lech Poznań,6,3,9,2126,"354,3","236,2"
Maciej Domański,Stal Mielec,6,6,12,2222,"370,3","185,2"
Michał Kucharczyk,Pogoń Szczecin,6,5,11,2282,"380,3","207,5"
Mateusz Szwoch,Wisła Płock,6,12,18,2310,"385,0","128,3"
Petr Schwarz,Raków Częstochowa,4,2,6,1553,"388,3","258,8"
Pelle van Amersfoort,Cracovia,6,4,10,2445,"407,5","244,5"
Alex Sobczyk,Górnik Zabrze,3,3,6,1235,"411,7","205,8"
Michał Nalepa II,Lechia Gdańsk,3,2,5,1292,"430,7","258,4"
Bartosz Nowak,Górnik Zabrze,5,3,8,2154,"430,8","269,3"
Dawid Kocyła,Wisła Płock,4,1,5,1727,"431,8","345,4"
Sergiu Hanca,Cracovia,4,2,6,1746,"436,5","291,0"
Dominik Steczyk,Piast Gliwice,4,0,4,1773,"443,3","443,3"
Maciej Makuszewski,Jagiellonia,3,4,7,1372,"457,3","196,0"
Jean Carlos Silva,Wisła Kraków,3,1,4,1389,"463,0","347,3"
Kamil Drygas,Pogoń Szczecin,3,2,5,1403,"467,7","280,6"
Alan Uryga,Wisła Płock,5,4,9,2377,"475,4","264,1"
Paweł Wszołek,Legia Warszawa,3,5,8,1578,"526,0","197,3"
Conrado,Lechia Gdańsk,3,4,7,1595,"531,7","227,9"
Yaw Yeboah,Wisła Kraków,4,2,6,2155,"538,8","359,2"
Jan Grzesik,Warta Poznań,4,2,6,2262,"565,5","377,0"
Tomas Prikryl,Jagiellonia,2,7,9,1235,"617,5","137,2"
Bartosz Kapustka,Legia Warszawa,3,4,7,1868,"622,7","266,9"
Alasana Manneh,Górnik Zabrze,3,1,4,1906,"635,3","476,5"
Luquinhas,Legia Warszawa,3,3,6,1974,"658,0","329,0"
Florian Loshaj,Cracovia,2,2,4,1328,"664,0","332,0"
Marcos Alvarez,Cracovia,2,3,5,1354,"677,0","270,8"
Luka Zahović,Pogoń Szczecin,2,3,5,1418,"709,0","283,6"
Michal Frydrych,Wisła Kraków,3,2,5,2160,"720,0","432,0"
Marko Roginić,Podbeskidzie,2,3,5,1481,"740,5","296,2"
Marcin Flis,Stal Mielec,3,1,4,2285,"761,7","571,3"
Pedro Tiba,Lech Poznań,3,6,9,2306,"768,7","256,2"
Krzysztof Mączyński,Śląsk Wrocław,2,4,6,1574,"787,0","262,3"
Łukasz Trałka,Warta Poznań,3,7,10,2504,"834,7","250,4"
Michał Jakóbowski,Warta Poznań,2,2,4,1713,"856,5","428,3"
Maciej Gajos,Lechia Gdańsk,2,3,5,1732,"866,0","346,4"
Stefan Savić,Wisła Kraków,2,3,5,2059,"1029,5","411,8"
Taras Romanczuk,Jagiellonia,2,2,4,2088,"1044,0","522,0"
Kacper Kozłowski,Pogoń Szczecin,1,3,4,1059,"1059,0","264,8"
Maciej Sadlok,Wisła Kraków,2,2,4,2138,"1069,0","534,5"
Sasa Balić,Zagłębie Lubin,2,5,7,2167,"1083,5","309,6"
Kamil Piątkowski,Raków Częstochowa,2,2,4,2430,"1215,0","607,5"
Maciej Żurawski,Pogoń/Warta,1,4,5,1353,"1353,0","270,6"
Karol Danielak,Podbeskidzie,1,3,4,1478,"1478,0","369,5"
Dejan Drazić,Zagłębie Lubin,1,3,4,1636,"1636,0","409,0"
Jakub Bartkowski,Pogoń Szczecin,1,4,5,1640,"1640,0","328,0"
Michał Chrapek,Piast Gliwice,1,5,6,1662,"1662,0","277,0"
Mateusz Praszelik,Śląsk Wrocław,1,5,6,1754,"1754,0","292,3"
Rafał Pietrzak,Lechia Gdańsk,1,7,8,2106,"2106,0","263,3"
Josip Juranović,Legia Warszawa,1,8,9,2231,"2231,0","247,9"
Fran Tudor,Raków Częstochowa,1,5,6,2350,"2350,0","391,7"
Martin Pospisil,Jagiellonia,1,6,7,2356,"2356,0","336,6"
Patryk Kun,Raków Częstochowa,1,3,4,2367,"2367,0","591,8"
Łukasz Sierpina,Podbeskidzie,0,5,5,1130,-,"226,0"
Gerard Badia,Piast Gliwice,0,5,5,1134,-,"226,8"
Gieorgij Żukow,Wisła Kraków,0,4,4,1890,-,"472,5"
