BRAMKARZ,KLUB,słupek,poprzeczka,SUMA
Matus Putnocky,Śląsk Wrocław,7,6,13
Pavels Steinbors,Arka Gdynia,6,5,11
Thomas Dahne,Wisła Płock,3,5,8
Dusan Kuciak,Lechia Gdańsk,5,3,8
Frantisek Plach,Piast Gliwice,6,2,8
Mickey van der Hart,Lech Poznań,5,3,8
Dominik Hładun,Zagłębie Lubin,5,3,8
Michał Buchalik,Wisła Kraków,4,3,7
Martin Chudy,Górnik Zabrze,2,5,7
Michal Pesković,Cracovia,3,4,7
Michał Kołba,ŁKS Łódź,6,0,6
Damian Węglarz,Jagiellonia,2,4,6
Konrad Forenc,Zagłębie Lubin,3,2,5
Dante Stipica,Pogoń Szczecin,5,0,5
Marek Kozioł,Korona Kielce,1,4,5
Arkadiusz Malarz,ŁKS Łódź,2,3,5
Radosław Majecki,Legia Warszawa,2,2,4
Jakub Szumski,Raków Częstochowa,3,1,4
Zlatan Alomerović,Lechia Gdańsk,1,2,3
Lukas Hrosso,Cracovia,2,1,3
Dawid Arndt,ŁKS Łódź,2,1,3
Bartłomiej Żynel,Wisła Płock,0,2,2
Grzegorz Sandomierski,Jagiellonia,2,0,2
Marcin Staniszewski,Arka Gdynia,2,0,2
Mateusz Lis,Wisła Kraków,1,1,2
Michał Gliwa,Raków Częstochowa,1,0,1
Paweł Sokół,Korona Kielce,1,0,1
Krzysztof Kamiński,Wisła Płock,1,0,1
Jakub Osobiński,Korona Kielce,0,1,1
Xavier Dziekoński,Jagiellonia,0,1,1
Kacper Krzepisz,Arka Gdynia,0,1,1
