ZAWODNIK,KLUB,GOLE,ASYSTY,KANADYJSKA,GOLE DRUŻYNY,% GOL,UDZIAŁ%,KAN+2.AS,UDZIAŁ % Z 2.AS
Adam Buksa,Pogoń Szczecin,7,4,11,22,"31,8%","50,0%",12,"54,5%"
Jorge Felix,Piast Gliwice,16,3,19,41,"39,0%","46,3%",21,"51,2%"
Igor Angulo,Górnik Zabrze,16,5,21,51,"31,4%","41,2%",26,"51,0%"
Jarosław Niezgoda,Legia Warszawa,14,2,16,40,"35,0%","40,0%",19,"47,5%"
Christian Gytkjaer,Lech Poznań,24,2,26,70,"34,3%","37,1%",27,"38,6%"
Jesus Jimenez,Górnik Zabrze,12,6,18,51,"23,5%","35,3%",20,"39,2%"
Artur Sobiech,Lechia Gdańsk,6,2,8,23,"26,1%","34,8%",10,"43,5%"
Piotr Parzyszek,Piast Gliwice,12,2,14,41,"29,3%","34,1%",15,"36,6%"
Darko Jevtić,Lech Poznań,6,5,11,33,"18,2%","33,3%",16,"48,5%"
Damjan Bohar,Zagłębie Lubin,15,5,20,61,"24,6%","32,8%",22,"36,1%"
Filip Starzyński,Zagłębie Lubin,8,12,20,61,"13,1%","32,8%",28,"45,9%"
Patryk Klimala,Jagiellonia,7,3,10,31,"22,6%","32,3%",10,"32,3%"
Petr Schwarz,Raków Częstochowa,8,8,16,51,"15,7%","31,4%",22,"43,1%"
Jesus Imaz,Jagiellonia,11,4,15,48,"22,9%","31,3%",15,"31,3%"
Flavio Paixao,Lechia Gdańsk,14,1,15,48,"29,2%","31,3%",19,"39,6%"
Samu Corral,ŁKS Łódź,3,1,4,13,"23,1%","30,8%",5,"38,5%"
Sergiu Hanca,Cracovia,8,7,15,49,"16,3%","30,6%",21,"42,9%"
Łukasz Zwoliński,Lechia Gdańsk,7,0,7,23,"30,4%","30,4%",11,"47,8%"
Jakov Puljić,Jagiellonia,5,0,5,17,"29,4%","29,4%",7,"41,2%"
Petteri Forsell,Korona Kielce,4,1,5,17,"23,5%","29,4%",8,"47,1%"
Rafael Lopes,Cracovia,11,3,14,49,"22,4%","28,6%",18,"36,7%"
Jakub Błaszczykowski,Wisła Kraków,7,5,12,44,"15,9%","27,3%",18,"40,9%"
Alon Turgeman,Wisła Kraków,6,0,6,22,"27,3%","27,3%",7,"31,8%"
Dani Ramirez,ŁKS/Lech,10,9,19,37,"10,8%","27,0%",26,"35,1%"
Dominik Furman,Wisła Płock,7,5,12,45,"15,6%","26,7%",21,"46,7%"
Paweł Cibicki,Pogoń Szczecin,3,1,4,15,"20,0%","26,7%",6,"40,0%"
Lukas Haraslin,Lechia Gdańsk,2,4,6,23,"8,7%","26,1%",6,"26,1%"
Michał Nalepa I,Arka Gdynia,7,3,10,39,"17,9%","25,6%",18,"46,2%"
Robert Pich,Śląsk Wrocław,7,6,13,51,"13,7%","25,5%",18,"35,3%"
Przemysław Płacheta,Śląsk Wrocław,8,5,13,51,"15,7%","25,5%",16,"31,4%"
Paweł Wszołek,Legia Warszawa,6,9,15,60,"10,0%","25,0%",20,"33,3%"
Sasa Zivec,Zagłębie Lubin,9,6,15,61,"14,8%","24,6%",21,"34,4%"
Srdan Spiridonović,Pogoń Szczecin,6,3,9,37,"16,2%","24,3%",10,"27,0%"
Adnan Kovacević,Korona Kielce,5,2,7,29,"17,2%","24,1%",7,"24,1%"
Maciej Jankowski,Arka Gdynia,8,1,9,39,"20,5%","23,1%",10,"25,6%"
Paweł Brożek,Wisła Kraków,8,2,10,44,"18,2%","22,7%",11,"25,0%"
Pelle van Amersfoort,Cracovia,8,3,11,49,"16,3%","22,4%",14,"28,6%"
Tomas Pekhart,Legia Warszawa,5,1,6,27,"18,5%","22,2%",7,"25,9%"
David Tijanić,Raków Częstochowa,1,5,6,27,"3,7%","22,2%",9,"33,3%"
Marko Vejinović,Arka Gdynia,8,0,8,37,"21,6%","21,6%",11,"29,7%"
Erik Exposito,Śląsk Wrocław,8,3,11,51,"15,7%","21,6%",12,"23,5%"
Felicio Brown Forbes,Raków Częstochowa,10,1,11,51,"19,6%","21,6%",12,"23,5%"
Joao Amaral,Lech Poznań,3,4,7,33,"9,1%","21,2%",7,"21,2%"
Ricardinho,Wisła Płock,4,1,5,25,"16,0%","20,0%",9,"36,0%"
Giorgi Merebaszwili,Wisła Płock,4,5,9,45,"8,9%","20,0%",11,"24,4%"
Conrado,Lechia Gdańsk,1,4,5,25,"4,0%","20,0%",8,"32,0%"
