KLUB,M,PKT,Z,R,P,BZ,BS,BILANS,śr. Pkt,śr. BZ,śr. BS
Legia Warszawa,19,41,13,2,4,48,16,32,"2,16","2,53","0,84"
Piast Gliwice,19,40,12,4,3,25,12,13,"2,11","1,32","0,63"
Górnik Zabrze,19,38,11,5,3,36,20,16,"2,00","1,89","1,05"
Lech Poznań,19,37,11,4,4,40,14,26,"1,95","2,11","0,74"
Raków Częstochowa,19,36,11,3,5,30,22,8,"1,89","1,58","1,16"
Śląsk Wrocław,19,35,9,8,2,37,28,9,"1,84","1,95","1,47"
Cracovia,18,32,10,2,6,26,16,10,"1,78","1,44","0,89"
Zagłębie Lubin,19,33,9,6,4,36,24,12,"1,74","1,89","1,26"
Wisła Płock,19,31,9,4,6,27,23,4,"1,63","1,42","1,21"
Jagiellonia,18,29,8,5,5,25,18,7,"1,61","1,39","1,00"
Wisła Kraków,18,27,8,3,7,25,18,7,"1,50","1,39","1,00"
Lechia Gdańsk,18,26,7,5,6,20,22,-2,"1,44","1,11","1,22"
Pogoń Szczecin,18,26,7,5,6,18,17,1,"1,44","1,00","0,94"
Arka Gdynia,18,25,6,7,5,21,22,-1,"1,39","1,17","1,22"
Korona Kielce,18,21,6,3,9,14,17,-3,"1,17","0,78","0,94"
ŁKS Łódź,18,18,5,3,10,21,29,-8,"1,00","1,17","1,61"
