KLUB,1. STRZELA,Z,R,P,1. TRACI,Z,R,P
Arka Gdynia,6,4,2,0,9,2,2,5
Cracovia,9,9,0,0,9,1,2,6
Górnik Zabrze,10,8,2,0,8,3,2,3
Jagiellonia,10,7,1,2,5,1,1,3
Korona Kielce,7,6,0,1,10,0,2,8
Lech Poznań,11,11,0,0,6,0,2,4
Lechia Gdańsk,8,6,2,0,8,1,1,6
Legia Warszawa,13,10,0,3,5,3,1,1
ŁKS Łódź,6,4,0,2,9,1,0,8
Piast Gliwice,11,10,1,0,6,2,1,3
Pogoń Szczecin,12,7,4,1,5,0,0,5
Raków Częstochowa,10,8,1,1,8,3,1,4
Śląsk Wrocław,10,6,4,0,9,3,4,2
Wisła Kraków,12,8,3,1,6,0,0,6
Wisła Płock,12,8,1,3,5,1,1,3
Zagłębie Lubin,10,7,3,0,9,2,3,4
