KLUB,1. STRZELA,Z,R,P,1. TRACI,Z,R,P
Arka Gdynia,13,8,4,1,20,2,2,16
Cracovia,19,15,1,3,17,1,3,13
Górnik Zabrze,15,11,3,1,19,3,5,11
Jagiellonia,19,13,3,3,15,1,4,10
Korona Kielce,12,8,2,2,22,1,3,18
Lech Poznań,21,18,1,2,13,0,8,5
Lechia Gdańsk,17,12,5,0,17,3,3,11
Legia Warszawa,20,16,0,4,13,5,2,6
ŁKS Łódź,12,5,2,5,22,1,1,20
Piast Gliwice,18,14,3,1,16,4,1,11
Pogoń Szczecin,17,11,5,1,15,3,2,10
Raków Częstochowa,19,12,2,5,17,4,2,11
Śląsk Wrocław,16,10,5,1,18,4,4,10
Wisła Kraków,20,12,4,4,15,1,0,14
Wisła Płock,19,12,3,4,15,2,3,10
Zagłębie Lubin,17,13,4,0,20,2,4,14
