ZAWODNIK,KLUB,MIN,MECZE,OSTATNI GOL,PRZECIW
Bartłomiej Sielewski,Wisła Płock,510,11,15.09.2018,Miedź
Tomas Petrasek,Raków Częstochowa,493,5,14.06.2020,Zagłębie L.
Dawid Szot,Wisła Kraków,493,7,-,-
Arkadiusz Kasperkiewicz,Raków Częstochowa,432,5,-,-
Piotr Pierzchała,Korona Kielce,426,7,-,-
Daniel Hoyo-Kowalski,Wisła Kraków,423,5,-,-
Wojciech Golla,Śląsk Wrocław,405,4,24.11.2019,Wisła K.
Grzegorz Szymusik,Korona Kielce,393,5,19.06.2020,Górnik Z.
Jakub Rzeźniczak,Wisła Płock,378,4,09.02.2020,Pogoń
Stavros Vassilantonopoulos,Górnik Zabrze,374,4,23.06.2020,ŁKS
Bartłomiej Wdowik,Jagiellonia Białystok,357,8,-,-
Douglas Bergqvist,Arka Gdynia,337,6,-,-
Ivan Runje,Jagiellonia Białystok,337,3,21.06.2020,Cracovia
Damian Michalski,Wisła Płock,309,4,14.06.2020,Śląsk
Jarosław Jach,Raków Częstochowa,301,5,07.06.2020,ŁKS
Diego Ferraresso,Cracovia,300,4,25.11.2019,Zagłębie L.
Kamil Kościelny,Raków Częstochowa,284,3,26.06.2020,Arka
Wojciech Błyszko,Jagiellonia Białystok,270,3,-,-
Kamil Piątkowski,Raków Częstochowa,268,3,26.06.2020,Arka
Lubomir Guldan,Zagłębie Lubin,259,2,04.07.2020,Raków
Konrad Poprawa,Śląsk Wrocław,254,3,-,-
Guillermo Cotugno,Śląsk Wrocław,248,3,-,-
Israel Puerto,Śląsk Wrocław,241,2,12.07.2020,Pogoń
Jan Sobociński,ŁKS Łódź,211,3,23.06.2020,Górnik Z.
Themistoklis Tzimopoulos,Korona Kielce,189,2,03.07.2020,Arka
Andrzej Niewulis,Raków Częstochowa,181,3,-,-
Robert Gumny,Lech Poznań,158,1,12.07.2020,Lechia
Angel Garcia,Wisła Płock,150,1,14.07.2020,Korona
Aleksander Paluszek,Górnik Zabrze,139,1,-,-
Ricardo Nunes,Pogoń Szczecin,139,2,29.06.2020,Cracovia
Mark Tamas,Śląsk Wrocław,139,1,15.07.2020,Jagiellonia
Paweł Olszewski,Jagiellonia Białystok,119,2,-,-
Łukasz Burliga,Wisła Kraków,115,1,07.06.2020,Legia
Michał Koj,Górnik Zabrze,114,1,14.07.2020,Arka
Paweł Kucharczyk,Śląsk Wrocław,90,1,-,-
Daniel Chmielnicki,Arka Gdynia,90,1,-,-
Radosław Seweryś,Korona Kielce,90,1,-,-
Ariel Mosór,Legia Warszawa,70,2,-,-
Alan Uryga,Wisła Płock,51,0,18.07.2020,Raków
Igor Lewczuk,Legia Warszawa,19,0,04.07.2020,Lech
Michal Siplak,Cracovia,4,0,04.07.2020,Lechia
Kamil Kruk,Zagłębie Lubin,3,2,-,-
Filip Dymerski,Lechia Gdańsk,2,2,-,-
