KLUB,MECZE,"over 0,5","over 1,5","over 2,5","over 3,5","over 4,5","over 5,5","over 6,5","over 7,5",Średnia goli w meczach z udziałem
Arka Gdynia,37,33,26,16,10,8,2,1,0,"2,59"
Cracovia,37,36,27,17,6,3,0,0,0,"2,41"
Górnik Zabrze,37,34,27,17,12,6,2,0,0,"2,65"
Jagiellonia Białystok,37,34,30,21,11,3,0,0,0,"2,68"
Korona Kielce,37,34,22,13,5,3,0,0,0,"2,08"
Lech Poznań,37,34,33,22,11,4,1,0,0,"2,84"
Lechia Gdańsk,37,34,28,20,8,3,2,2,1,"2,65"
Legia Warszawa,37,33,29,23,12,4,3,1,0,"2,84"
ŁKS Łódź,37,34,27,19,13,7,1,0,0,"2,73"
Piast Gliwice,37,34,24,13,2,0,0,0,0,"1,97"
Pogoń Szczecin,37,32,21,14,7,2,0,0,0,"2,05"
Raków Częstochowa,37,36,30,24,11,6,0,0,0,"2,89"
Śląsk Wrocław,37,34,28,21,9,2,1,1,1,"2,62"
Wisła Kraków,37,35,23,18,13,6,4,1,0,"2,70"
Wisła Płock,37,34,28,21,12,4,0,0,0,"2,68"
Zagłębie Lubin,37,37,29,21,12,7,4,2,2,"3,08"
