POZ.,KLUB,MECZE,PUNKTY,Z,R,P,GOLE RAZEM,GOLE PL,GOLE ZAGR,% GOLI PL,B PKT
1.,Lech Poznań,37,65,17,14,6,70,27,43,"38,6%",-1
2.,Śląsk Wrocław,37,59,15,14,8,51,26,25,"51,0%",+5
3.,Piast Gliwice,37,58,14,16,7,41,20,21,"48,8%",-3
4.,Wisła Płock,37,55,14,13,10,45,31,14,"68,9%",+4
5.,Pogoń Szczecin,37,54,12,18,7,37,20,17,"54,1%",0
6.,Zagłębie Lubin,37,53,12,17,8,61,28,33,"45,9%",0
7.,Lechia Gdańsk,37,53,12,17,8,48,23,25,"47,9%",-3
8.,Legia Warszawa,37,50,11,17,9,70,30,40,"42,9%",-19
9.,Raków Częstochowa,37,50,12,14,11,51,22,29,"43,1%",-3
10.,Wisła Kraków,37,49,12,13,12,44,29,15,"65,9%",+4
11.,Arka Gdynia,37,42,9,15,13,39,23,16,"59,0%",+2
12.,Jagiellonia Białystok,37,40,8,16,13,48,21,27,"43,8%",-12
13.,Górnik Zabrze,37,36,6,18,13,51,11,40,"21,6%",-17
14.,ŁKS Łódź,37,33,5,18,14,33,18,15,"54,5%",+9
15.,Korona Kielce,37,33,5,18,14,29,9,20,"31,0%",-2
16.,Cracovia,37,29,3,20,14,49,7,42,"14,3%",-24
