ZAWODNIK,KLUB,Strzały,G,xG,xG/s,G-xG,non-pen xG,non-pen xG/s,G - xG NON-PEN,KP,AST,xAST,KP-xAST
Juan Camara,Jagiellonia,47,2,"2,999","0,064","-0,999","2,999","0,064","-0,999",25,1,"2,251","-1,251"
Kamil Drygas,Pogoń Szczecin,21,2,"3,013","0,143","-1,013","3,013","0,143","-1,013",15,0,"0,908","-0,908"
Sebastian Milewski,Piast Gliwice,39,2,"3,050","0,078","-1,050","3,050","0,078","-1,050",27,2,"3,332","-1,332"
Oskar Zawada,Wisła P/Arka,25,1,"2,050","0,082","-1,050","2,050","0,082","-1,050",6,1,"0,841","0,159"
Patryk Szysz,Zagłębie Lubin,44,3,"4,054","0,092","-1,054","4,054","0,092","-1,054",29,2,"2,373","-0,373"
Andre Martins,Legia Warszawa,26,0,"1,071","0,041","-1,071","1,071","0,041","-1,071",24,1,"1,467","-0,467"
Michalis Manias,Pogoń Szczecin,11,0,"1,095","0,100","-1,095","1,095","0,100","-1,095",6,0,"0,337","-0,337"
Filip Mladenović,Lechia Gdańsk,29,0,"1,110","0,038","-1,110","1,110","0,038","-1,110",40,5,"3,660","1,340"
Ivan Fiolić,Cracovia,15,0,"1,130","0,075","-1,130","1,130","0,075","-1,130",13,1,"0,845","0,155"
Rok Sirk,Zagłębie Lubin,9,0,"1,132","0,126","-1,132","1,132","0,126","-1,132",5,0,"0,444","-0,444"
Maciej Wolski,ŁKS Łódź,23,1,"2,136","0,093","-1,136","2,136","0,093","-1,136",12,1,"1,099","-0,099"
Michał Mak,Wisła Kraków,26,1,"2,186","0,084","-1,186","2,186","0,084","-1,186",25,4,"2,751","1,249"
Michał Trąbka,ŁKS Łódź,41,1,"2,192","0,053","-1,192","2,192","0,053","-1,192",51,3,"3,640","-0,640"
Jean Carlos,Wisła Kraków,16,0,"1,200","0,075","-1,200","1,200","0,075","-1,200",5,1,"0,297","0,703"
Michał Helik,Cracovia,26,1,"2,209","0,085","-1,209","2,209","0,085","-1,209",4,0,"0,520","-0,520"
Martin Konczkowski,Piast Gliwice,12,0,"1,219","0,102","-1,219","1,219","0,102","-1,219",20,2,"1,917","0,083"
David Jablonsky,Cracovia,29,1,"2,251","0,078","-1,251","2,251","0,078","-1,251",4,0,"0,661","-0,661"
Maciej Dąbrowski,Zagłębie/ŁKS,17,0,"1,266","0,074","-1,266","1,266","0,074","-1,266",4,0,"0,379","-0,379"
Mario Maloca,Lechia Gdańsk,8,0,"1,294","0,162","-1,294","1,294","0,162","-1,294",0,0,"0,000","0,000"
Martin Pospisil,Jagiellonia,35,2,"2,813","0,080","-0,813","1,313","0,040","-1,313",74,4,"5,249","-1,249"
Karol Fila,Lechia Gdańsk,14,0,"1,341","0,096","-1,341","1,341","0,096","-1,341",24,2,"2,064","-0,064"
Santeri Hostikka,Pogoń Szczecin,37,1,"2,354","0,064","-1,354","2,354","0,064","-1,354",18,1,"1,374","-0,374"
Miłosz Szczepański,Raków Częstochowa,39,1,"2,381","0,061","-1,381","2,381","0,061","-1,381",28,3,"4,013","-1,013"
Daniel Bartl,Raków Częstochowa,34,2,"3,895","0,115","-1,895","2,395","0,075","-1,395",20,2,"1,037","0,963"
Filip Piszczek,Cracovia,16,0,"1,410","0,088","-1,410","1,410","0,088","-1,410",4,2,"0,540","1,460"
Lukas Haraslin,Lechia Gdańsk,40,2,"3,414","0,085","-1,414","3,414","0,085","-1,414",23,4,"1,786","2,214"
Paweł Bochniewicz,Górnik Zabrze,28,1,"2,457","0,088","-1,457","2,457","0,088","-1,457",5,0,"0,759","-0,759"
Adam Ratajczyk,ŁKS Łódź,20,1,"2,483","0,124","-1,483","2,483","0,124","-1,483",15,0,"1,013","-1,013"
Mateusz Wdowiak,Cracovia,35,2,"3,493","0,100","-1,493","3,493","0,100","-1,493",30,5,"3,255","1,745"
Bartosz Rymaniak,Piast Gliwice,18,0,"1,525","0,085","-1,525","1,525","0,085","-1,525",17,4,"2,276","1,724"
Patryk Lipski,Lechia Gdańsk,17,0,"1,653","0,097","-1,653","1,653","0,097","-1,653",18,1,"1,555","-0,555"
Lubomir Guldan,Zagłębie Lubin,27,1,"2,735","0,101","-1,735","2,735","0,101","-1,735",14,2,"0,952","1,048"
Jakub Wróbel,ŁKS Łódź,13,0,"1,823","0,140","-1,823","1,823","0,140","-1,823",11,1,"1,496","-0,496"
Robert Pich,Śląsk Wrocław,71,7,"9,201","0,130","-2,201","6,951","0,102","-1,951",38,6,"3,784","2,216"
Igor Angulo,Górnik Zabrze,110,16,"18,743","0,170","-2,743","14,993","0,143","-1,993",26,5,"3,496","1,504"
Rafał Boguski,Wisła Kraków,20,0,"2,821","0,141","-2,821","2,071","0,109","-2,071",17,2,"1,309","0,691"
Felicio Brown Forbes,Raków Częstochowa,64,10,"11,832","0,185","-1,832","11,082","0,176","-2,082",21,0,"1,172","-1,172"
Matej Pućko,Korona Kielce,45,1,"3,102","0,069","-2,102","3,102","0,069","-2,102",23,4,"1,556","2,444"
Tom Hateley,Piast Gliwice,52,1,"2,864","0,055","-1,864","2,114","0,041","-2,114",56,4,"3,910","0,090"
Jacek Kiełb,Korona Kielce,28,1,"3,149","0,112","-2,149","3,149","0,112","-2,149",20,0,"1,163","-1,163"
Filip Starzyński,Zagłębie Lubin,80,8,"8,685","0,109","-0,685","4,185","0,057","-2,185",103,11,"8,956","2,044"
Michal Papadopulos,Korona Kielce,44,3,"5,201","0,118","-2,201","5,201","0,118","-2,201",14,0,"1,180","-1,180"
Kamil Antonik,Arka Gdynia,22,0,"2,330","0,106","-2,330","2,330","0,106","-2,330",5,0,"0,322","-0,322"
Patryk Tuszyński,Zagłębie/Piast,19,1,"3,367","0,177","-2,367","3,367","0,177","-2,367",19,2,"1,747","0,253"
Kamil Zapolnik,Górnik Zabrze,23,1,"3,412","0,148","-2,412","3,412","0,148","-2,412",9,0,"0,870","-0,870"
Pirulo,ŁKS Łódź,61,1,"3,656","0,060","-2,656","3,656","0,060","-2,656",39,4,"4,194","-0,194"
Pedro Tiba,Lech Poznań,84,2,"4,659","0,055","-2,659","4,659","0,055","-2,659",66,7,"6,616","0,384"
Artur Jędrzejczyk,Legia Warszawa,26,0,"2,696","0,104","-2,696","2,696","0,104","-2,696",15,0,"1,573","-1,573"
Fabian Serrarens,Arka Gdynia,22,0,"2,892","0,131","-2,892","2,892","0,131","-2,892",14,1,"1,489","-0,489"
Uros Duranović,Korona Kielce,37,0,"3,033","0,082","-3,033","3,033","0,082","-3,033",14,1,"1,565","-0,565"
Patryk Sokołowski,Piast Gliwice,31,0,"3,141","0,101","-3,141","3,141","0,101","-3,141",19,0,"1,783","-1,783"
