ZAWODNIK,KLUB,R,R celn,% R celn,R Gole,ZZA,ZZA celn,ZZA %,ZZA Gole,ZZA GOL/ZZA
Petteri Forsell,Korona Kielce,63,26,"41,3%",4,55,23,"41,8%",3,"5,5%"
Dani Ramirez,ŁKS/Lech,113,42,"37,2%",10,71,18,"25,4%",1,"1,4%"
Pedro Tiba,Lech Poznań,84,32,"38,1%",2,53,17,"32,1%",0,"0,0%"
Jakub Moder,Lech Poznań,65,23,"35,4%",5,50,17,"34,0%",3,"6,0%"
Filip Starzyński,Zagłębie Lubin,80,29,"36,3%",8,52,15,"28,8%",0,"0,0%"
Marko Vejinović,Arka Gdynia,48,21,"43,8%",8,34,14,"41,2%",3,"8,8%"
Dominik Furman,Wisła Płock,58,19,"32,8%",7,42,13,"31,0%",2,"4,8%"
Tom Hateley,Piast Gliwice,52,17,"32,7%",1,42,13,"31,0%",0,"0,0%"
Michał Nalepa I,Arka Gdynia,66,21,"31,8%",7,46,12,"26,1%",2,"4,3%"
Walerian Gwilia,Legia Warszawa,70,26,"37,1%",8,38,11,"28,9%",1,"2,6%"
Erik Pacinda,Korona Kielce,44,20,"45,5%",4,29,11,"37,9%",2,"6,9%"
Przemysław Płacheta,Śląsk Wrocław,79,32,"40,5%",8,32,10,"31,3%",1,"3,1%"
Giorgi Merebaszwili,Wisła Płock,46,23,"50,0%",4,27,10,"37,0%",2,"7,4%"
Petr Schwarz,Raków Częstochowa,55,21,"38,2%",8,35,10,"28,6%",2,"5,7%"
Zvonimir Kozulj,Pogoń Szczecin,55,14,"25,5%",3,37,10,"27,0%",2,"5,4%"
Jose Kante,Legia Warszawa,87,37,"42,5%",10,25,9,"36,0%",2,"8,0%"
Sasa Zivec,Zagłębie Lubin,78,31,"39,7%",9,30,9,"30,0%",0,"0,0%"
Darko Jevtić,Lech Poznań,50,14,"28,0%",6,36,9,"25,0%",2,"5,6%"
Igor Sapała,Raków Częstochowa,36,10,"27,8%",2,31,9,"29,0%",2,"6,5%"
Pelle van Amersfoort,Cracovia,65,32,"49,2%",8,17,8,"47,1%",0,"0,0%"
Felicio Brown Forbes,Raków Częstochowa,64,29,"45,3%",10,18,8,"44,4%",1,"5,6%"
Srdan Spiridonović,Pogoń Szczecin,66,19,"28,8%",6,32,8,"25,0%",2,"6,3%"
Miłosz Szczepański,Raków Częstochowa,39,12,"30,8%",1,22,8,"36,4%",1,"4,5%"
Krzysztof Mączyński,Śląsk Wrocław,37,11,"29,7%",4,31,8,"25,8%",1,"3,2%"
Andre Martins,Legia Warszawa,26,9,"34,6%",0,23,8,"34,8%",0,"0,0%"
Adam Deja,Arka Gdynia,28,9,"32,1%",1,22,8,"36,4%",1,"4,5%"
Jesus Imaz,Jagiellonia,87,31,"35,6%",11,25,7,"28,0%",1,"4,0%"
Jesus Jimenez,Górnik Zabrze,81,27,"33,3%",12,20,7,"35,0%",1,"5,0%"
Robert Pich,Śląsk Wrocław,71,26,"36,6%",7,26,7,"26,9%",0,"0,0%"
Sergiu Hanca,Cracovia,59,16,"27,1%",8,34,7,"20,6%",3,"8,8%"
Tymoteusz Puchacz,Lech Poznań,57,15,"26,3%",3,36,7,"19,4%",1,"2,8%"
Michał Trąbka,ŁKS Łódź,41,13,"31,7%",1,25,7,"28,0%",1,"4,0%"
Matej Pućko,Korona Kielce,45,13,"28,9%",1,18,7,"38,9%",0,"0,0%"
Łukasz Poręba,Zagłębie Lubin,20,12,"60,0%",2,14,7,"50,0%",0,"0,0%"
Ricardo Guima,ŁKS Łódź,42,11,"26,2%",2,28,7,"25,0%",1,"3,6%"
Maciej Sadlok,Wisła Kraków,42,9,"21,4%",1,29,7,"24,1%",1,"3,4%"
Kamil Jóźwiak,Lech Poznań,68,25,"36,8%",8,16,6,"37,5%",1,"6,3%"
Adam Buksa,Pogoń Szczecin,53,19,"35,8%",7,22,6,"27,3%",2,"9,1%"
Jakov Puljić,Jagiellonia,44,18,"40,9%",5,16,6,"37,5%",2,"12,5%"
Pirulo,ŁKS Łódź,61,15,"24,6%",1,33,6,"18,2%",0,"0,0%"
Daniel Bartl,Raków Częstochowa,34,12,"35,3%",2,13,6,"46,2%",1,"7,7%"
Marko Vesović,Legia Warszawa,23,11,"47,8%",1,12,6,"50,0%",0,"0,0%"
Domagoj Antolić,Legia Warszawa,33,11,"33,3%",3,19,6,"31,6%",0,"0,0%"
Maciej Gajos,Lechia Gdańsk,32,9,"28,1%",3,22,6,"27,3%",1,"4,5%"
Erik Janza,Górnik Zabrze,22,8,"36,4%",0,17,6,"35,3%",0,"0,0%"
Dragoljub Srnić,ŁKS Łódź,19,7,"36,8%",0,18,6,"33,3%",0,"0,0%"
Vullnet Basha,Wisła Kraków,21,6,"28,6%",1,18,6,"33,3%",1,"5,6%"
Igor Angulo,Górnik Zabrze,110,46,"41,8%",16,19,5,"26,3%",1,"5,3%"
Piotr Parzyszek,Piast Gliwice,107,43,"40,2%",12,17,5,"29,4%",0,"0,0%"
Jorge Felix,Piast Gliwice,86,36,"41,9%",16,21,5,"23,8%",0,"0,0%"
Flavio Paixao,Lechia Gdańsk,58,32,"55,2%",14,13,5,"38,5%",0,"0,0%"
Rafael Lopes,Cracovia,83,28,"33,7%",11,20,5,"25,0%",0,"0,0%"
Erik Exposito,Śląsk Wrocław,63,20,"31,7%",8,18,5,"27,8%",0,"0,0%"
Dawit Schirtladze,Arka Gdynia,34,17,"50,0%",4,10,5,"50,0%",0,"0,0%"
Uros Duranović,Korona Kielce,37,17,"45,9%",0,10,5,"50,0%",0,"0,0%"
Jakub Błaszczykowski,Wisła Kraków,35,12,"34,3%",7,19,5,"26,3%",1,"5,3%"
Lubomir Guldan,Zagłębie Lubin,27,11,"40,7%",1,6,5,"83,3%",0,"0,0%"
Sebastian Milewski,Piast Gliwice,39,10,"25,6%",2,15,5,"33,3%",0,"0,0%"
Maciej Makuszewski,Lech/Jagiellonia,25,7,"28,0%",1,15,5,"33,3%",1,"6,7%"
Marcin Cebula,Korona Kielce,27,7,"25,9%",1,15,5,"33,3%",0,"0,0%"
Martin Pospisil,Jagiellonia,35,7,"20,0%",2,26,5,"19,2%",0,"0,0%"
Bartosz Slisz,Zagłębie Lubin,40,7,"17,5%",2,30,5,"16,7%",1,"3,3%"
Ariel Borysiuk,Jagiellonia,17,6,"35,3%",1,16,5,"31,3%",1,"6,3%"
Christian Gytkjaer,Lech Poznań,79,45,"57,0%",24,10,4,"40,0%",2,"20,0%"
Damjan Bohar,Zagłębie Lubin,70,30,"42,9%",15,16,4,"25,0%",1,"6,3%"
Bartosz Białek,Zagłębie Lubin,52,23,"44,2%",9,11,4,"36,4%",1,"9,1%"
Patryk Szysz,Zagłębie Lubin,44,20,"45,5%",3,17,4,"23,5%",0,"0,0%"
Luquinhas,Legia Warszawa,52,17,"32,7%",5,11,4,"36,4%",1,"9,1%"
Taras Romanczuk,Jagiellonia,58,16,"27,6%",3,24,4,"16,7%",0,"0,0%"
Alon Turgeman,Wisła Kraków,22,15,"68,2%",6,6,4,"66,7%",0,"0,0%"
Michał Chrapek,Śląsk Wrocław,32,13,"40,6%",5,14,4,"28,6%",1,"7,1%"
Arvydas Novikovas,Legia Warszawa,47,13,"27,7%",4,21,4,"19,0%",1,"4,8%"
Mateusz Szwoch,Wisła Płock,53,12,"22,6%",4,29,4,"13,8%",0,"0,0%"
Gerard Badia,Piast Gliwice,33,11,"33,3%",4,13,4,"30,8%",0,"0,0%"
Rafał Boguski,Wisła Kraków,20,9,"45,0%",0,7,4,"57,1%",0,"0,0%"
Erik Jirka,Górnik Zabrze,30,9,"30,0%",4,17,4,"23,5%",1,"5,9%"
Paweł Cibicki,Pogoń Szczecin,35,9,"25,7%",3,15,4,"26,7%",0,"0,0%"
Santeri Hostikka,Pogoń Szczecin,37,9,"24,3%",1,19,4,"21,1%",0,"0,0%"
Ricardo Nunes,Pogoń Szczecin,12,7,"58,3%",1,7,4,"57,1%",0,"0,0%"
Hubert Matynia,Pogoń Szczecin,20,7,"35,0%",2,13,4,"30,8%",0,"0,0%"
Maciej Wolski,ŁKS Łódź,23,7,"30,4%",1,13,4,"30,8%",0,"0,0%"
Michał Mak,Wisła Kraków,26,7,"26,9%",1,13,4,"30,8%",0,"0,0%"
David Stec,Pogoń Szczecin,18,6,"33,3%",1,9,4,"44,4%",1,"11,1%"
Jewgienij Baszkirow,Zagłębie Lubin,13,5,"38,5%",2,12,4,"33,3%",2,"16,7%"
Antonio Dominguez,ŁKS Łódź,25,5,"20,0%",1,22,4,"18,2%",0,"0,0%"
Rodrigo Zalazar,Korona Kielce,12,4,"33,3%",0,9,4,"44,4%",0,"0,0%"
Artur Bogusz,ŁKS Łódź,13,4,"30,8%",0,8,4,"50,0%",0,"0,0%"
Nikola Kuveljić,Wisła Kraków,17,4,"23,5%",0,14,4,"28,6%",0,"0,0%"
Sebastian Kowalczyk,Pogoń Szczecin,35,18,"51,4%",2,8,3,"37,5%",0,"0,0%"
Mateusz Cholewiak,Śląsk/Legia,42,15,"35,7%",4,4,3,"75,0%",1,"25,0%"
Dominik Nagy,Legia Warszawa,15,10,"66,7%",1,6,3,"50,0%",1,"16,7%"
Joao Amaral,Lech Poznań,30,10,"33,3%",3,17,3,"17,6%",0,"0,0%"
Tomasz Jodłowiec,Legia/Piast,24,8,"33,3%",1,11,3,"27,3%",0,"0,0%"
Hubert Adamczyk,Wisła Płock,11,7,"63,6%",1,4,3,"75,0%",1,"25,0%"
Jan Grzesik,ŁKS Łódź,22,7,"31,8%",1,10,3,"30,0%",0,"0,0%"
Filip Mladenović,Lechia Gdańsk,29,7,"24,1%",0,18,3,"16,7%",0,"0,0%"
Karlo Muhar,Lech Poznań,30,7,"23,3%",1,22,3,"13,6%",0,"0,0%"
Angel Garcia,Wisła Płock,14,6,"42,9%",1,5,3,"60,0%",0,"0,0%"
Rafał Wolski,Lechia Gdańsk,17,6,"35,3%",1,11,3,"27,3%",0,"0,0%"
Dejan Drazić,Zagłębie Lubin,18,6,"33,3%",2,10,3,"30,0%",1,"10,0%"
Vukan Savicević,Wisła Kraków,27,6,"22,2%",4,20,3,"15,0%",1,"5,0%"
Dino Stiglec,Śląsk Wrocław,32,6,"18,8%",4,22,3,"13,6%",2,"9,1%"
Tomas Podstawski,Pogoń Szczecin,13,5,"38,5%",1,7,3,"42,9%",0,"0,0%"
Martin Kostal,Jagiellonia,16,5,"31,3%",0,13,3,"23,1%",0,"0,0%"
Jakub Łabojko,Śląsk Wrocław,22,5,"22,7%",2,20,3,"15,0%",1,"5,0%"
Mikkel Kirkeskov,Piast Gliwice,24,5,"20,8%",0,20,3,"15,0%",0,"0,0%"
Rusłan Babenko,Raków Częstochowa,11,4,"36,4%",0,10,3,"30,0%",0,"0,0%"
Marcin Budziński,Arka Gdynia,13,4,"30,8%",0,10,3,"30,0%",0,"0,0%"
David Kopacz,Górnik Zabrze,14,4,"28,6%",0,7,3,"42,9%",0,"0,0%"
Kamil Dankowski,Śląsk Wrocław,4,3,"75,0%",0,4,3,"75,0%",0,"0,0%"
Ishmael Baidoo,Górnik Zabrze,4,3,"75,0%",0,3,3,"100,0%",0,"0,0%"
Alasana Manneh,Górnik Zabrze,14,3,"21,4%",1,14,3,"21,4%",1,"7,1%"
Ivan Fiolić,Cracovia,15,3,"20,0%",0,8,3,"37,5%",0,"0,0%"
Roman Prochazka,Górnik Zabrze,15,3,"20,0%",0,13,3,"23,1%",0,"0,0%"
Damian Dąbrowski,Pogoń Szczecin,23,3,"13,0%",0,20,3,"15,0%",0,"0,0%"
