KLUB,Z HT,Z,R,P,R HT,Z,R,P,P HT,Z,R,P
Arka Gdynia,3,2,1,0,8,2,5,1,7,2,1,4
Cracovia,4,4,0,0,9,5,2,2,5,1,0,4
Górnik Zabrze,6,5,1,0,9,5,3,1,4,1,1,2
Jagiellonia,6,3,1,2,9,5,3,1,3,0,1,2
Korona Kielce,4,3,0,1,6,3,1,2,8,0,2,6
Lech Poznań,7,7,0,0,7,4,3,0,5,0,1,4
Lechia Gdańsk,5,4,1,0,9,3,3,3,4,0,1,3
Legia Warszawa,10,10,0,0,8,3,2,3,1,0,0,1
ŁKS Łódź,4,3,0,1,6,1,3,2,8,1,0,7
Piast Gliwice,8,7,1,0,8,3,2,3,3,2,1,0
Pogoń Szczecin,6,3,3,0,8,4,2,2,4,0,0,4
Raków Częstochowa,7,5,1,1,6,4,1,1,6,2,1,3
Śląsk Wrocław,8,6,2,0,7,2,4,1,4,1,2,1
Wisła Kraków,7,6,0,1,8,2,3,3,3,0,0,3
Wisła Płock,7,5,0,2,8,4,4,0,4,0,0,4
Zagłębie Lubin,8,6,2,0,5,2,1,2,6,1,3,2
