KLUB,D-Z,ŚRD-Z,W-Z,ŚRW-Z,RAZEM,2018759,7676,,
Arka Gdynia,96422,5357,85951,4524
Cracovia,127087,7060,165975,8736
Górnik Zabrze,187702,9879,109532,6085
Jagiellonia Białystok,129801,7211,133344,7018
Korona Kielce,72742,4041,139590,7347
Lech Poznań,222429,11707,138138,7674
Lechia Gdańsk,153620,8534,123225,6486
Legia Warszawa,271320,14280,147509,8195
ŁKS Łódź,69925,3885,117697,6195
Piast Gliwice,63191,3326,115579,6421
Pogoń Szczecin,47194,2622,141116,7427
Raków Częstochowa,41654,2192,103007,5723
Śląsk Wrocław,197316,10422,144054,7430
Wisła Kraków,219184,11004,130431,7185
Wisła Płock,61538,4283,100978,5831
Zagłębie Lubin,57634,3033,122633,6813
