KLUB,ŻK/mecz,ŻK,CZK BEZP,CZK,żk faul,czk faul,żk ręka,żk rywal,żk sędzia,żk czas,żk syml,żk ciesz,żk inne,czk ręka,czk rywal,czk inne,czk sędzia,RAZEM,,1253,21,55,1043,16,26,70,65,32,11,1,5,1,3,0,1
Arka Gdynia,"2,32",86,3,3,66,3,2,9,4,4,1,0,0,0,0,0,0
Cracovia,"2,30",85,1,2,71,0,1,4,4,4,0,0,1,0,1,0,0
Górnik Zabrze,"2,00",74,1,2,64,0,3,4,1,1,1,0,0,0,1,0,0
Jagiellonia,"2,41",89,0,4,82,0,1,3,2,0,1,0,0,0,0,0,0
Korona Kielce,"2,73",101,4,7,85,3,0,6,6,3,0,1,0,0,1,0,0
Lech Poznań,"1,95",72,0,4,57,0,1,7,5,1,1,0,0,0,0,0,0
Lechia Gdańsk,"2,51",93,3,5,74,2,2,4,8,3,1,0,1,0,0,0,1
Legia Warszawa,"1,86",69,1,2,57,1,1,6,3,1,1,0,0,0,0,0,0
ŁKS Łódź,"2,54",94,1,4,82,1,1,4,5,1,1,0,0,0,0,0,0
Piast Gliwice,"1,46",54,2,4,46,2,1,3,3,0,0,0,1,0,0,0,0
Pogoń Szczecin,"1,92",71,1,4,64,1,2,2,1,1,1,0,0,0,0,0,0
Raków Częstochowa,"2,08",77,1,2,66,0,0,1,6,4,0,0,0,1,0,0,0
Śląsk Wrocław,"1,81",67,1,4,54,1,4,4,2,3,0,0,0,0,0,0,0
Wisła Kraków,"2,32",86,2,5,71,2,3,3,5,2,2,0,0,0,0,0,0
Wisła Płock,"1,92",71,0,0,51,0,1,5,8,4,1,0,1,0,0,0,0
Zagłębie Lubin,"1,73",64,0,3,53,0,3,5,2,0,0,0,1,0,0,0,0
