DR/KOL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,RAZEM,DR/KOL,RAZEM,284,267,291,398,447,443,363,285,394,271,404,322,474,258,369,385,379,508,346,369,396,135,383,359,435,360,400,431,423,324,374,323,395,500,460,410,408,13773,RAZEM
ARK,0,0,0,0,X,0,35,0,69,X,0,0,0,0,19,0,27,80,25,29,0,0,1,33,0,0,10,1,43,X,X,64,0,75,71,0,49,631,ARK
CRA,0,0,56,55,0,60,63,48,0,17,0,2,32,1,X,15,0,38,0,33,53,22,0,0,0,21,0,0,52,0,0,13,68,42,0,0,45,736,CRA
GÓR,0,17,0,27,0,66,0,X,0,0,22,0,0,0,0,5,0,3,13,86,X,7,0,70,0,31,54,68,X,61,42,46,0,0,30,43,0,691,GÓR
JAG,84,0,39,0,85,57,47,X,17,15,0,12,0,25,0,25,37,0,46,0,0,X,0,21,41,34,2,0,78,0,67,X,2,0,0,47,0,781,JAG
KOR,41,0,33,0,0,0,0,0,0,11,0,0,0,70,X,86,0,0,47,40,X,X,0,0,0,37,56,51,44,0,8,0,0,0,0,29,18,571,KOR
LPO,0,77,84,0,X,50,0,0,0,62,50,8,0,0,X,45,57,31,0,0,23,24,0,0,87,0,0,0,68,42,24,X,62,66,85,65,84,1094,LPO
LGD,X,X,78,49,0,0,35,67,54,38,0,39,30,0,0,62,59,56,0,0,84,27,7,4,0,71,11,0,0,0,63,16,16,0,0,X,36,902,LGD
LEG,3,21,X,0,71,9,85,X,57,26,0,14,89,12,62,0,55,76,68,24,5,5,83,70,33,23,73,20,40,0,55,X,0,0,67,X,0,1146,LEG
ŁKS,X,74,0,0,0,59,0,0,0,0,63,29,83,0,0,14,38,0,28,0,17,X,X,0,68,0,0,17,0,0,0,0,0,36,0,19,0,545,ŁKS
PIA,76,53,X,13,58,80,0,0,9,X,33,65,33,5,83,0,0,0,2,0,73,0,31,0,61,38,89,14,X,66,0,0,25,54,78,0,0,1039,PIA
POG,7,14,X,35,73,0,0,26,49,16,6,84,0,61,81,53,0,82,0,0,8,X,X,0,0,X,0,26,0,26,0,X,0,87,6,69,52,861,POG
RCZ,0,9,0,0,49,0,0,59,72,11,76,1,0,7,0,0,1,0,8,31,0,24,84,74,81,X,7,0,9,30,70,85,61,0,16,15,1,881,RCZ
ŚLĄ,28,2,X,82,44,17,18,X,17,0,12,0,88,77,77,13,33,0,58,0,0,X,87,0,27,0,0,70,4,86,0,28,0,0,39,0,0,907,ŚLĄ
WIS,0,X,1,0,67,0,50,9,0,0,0,0,0,0,0,36,0,70,51,66,62,26,85,53,37,33,0,28,51,X,0,71,43,38,27,22,0,926,WIS
WPŁ,27,0,0,50,0,45,30,0,26,1,61,68,52,0,X,31,0,0,0,52,71,X,0,0,0,72,15,61,34,13,X,0,71,22,41,49,45,937,WPŁ
ZAG,18,0,0,87,0,0,0,76,24,74,81,0,67,0,47,0,72,72,0,8,0,0,5,34,0,0,83,75,0,0,45,0,47,80,0,52,78,1125,ZAG
