KLUB,DLA xG,G DLA,PRZECIW xG,G PRZECIW,BILANS xG,BILANS G,pkt,xPKT,BILANS xPKT
Arka,"37,33",37,"57,00",55,"-19,67",-18,40,"38,72","1,28"
Cracovia,"44,65",42,"40,17",40,"4,48",2,53,"53,96","-0,96"
Górnik,"50,73",47,"53,21",45,"-2,48",2,53,"48,16","4,84"
Jagiellonia,"52,72",46,"45,72",48,"7,00",-2,52,"55,83","-3,83"
Korona,"37,66",26,"50,18",47,"-12,52",-21,35,"42,99","-7,99"
Lech,"58,31",69,"44,40",33,"13,91",36,66,"60,29","5,71"
Lechia,"46,39",47,"52,46",46,"-6,08",1,56,"46,28","9,72"
Legia,"62,11",67,"29,89",35,"32,22",32,69,"71,39","-2,39"
ŁKS,"42,80",33,"54,63",61,"-11,83",-28,24,"43,01","-19,01"
Piast,"49,23",38,"40,29",31,"8,94",7,61,"57,10","3,90"
Pogoń,"39,96",37,"41,00",36,"-1,04",1,54,"49,45","4,55"
Raków,"48,63",46,"47,49",50,"1,14",-4,53,"52,22","0,78"
Śląsk,"44,15",50,"43,56",44,"0,59",6,54,"50,49","3,51"
Wisła K,"40,15",43,"49,72",56,"-9,57",-13,45,"44,32","0,68"
Wisła P,"35,67",44,"43,08",52,"-7,40",-8,51,"44,57","6,43"
Zagłębie,"51,62",59,"49,30",52,"2,32",7,53,"52,69","0,31"
