KOL,GOSP,GOŚĆ,ST GOSP,ST GOŚĆ,ST C GOSP,ST C GOŚĆ,G GOSP,G GOŚĆ,xG GOSP,xG GOŚĆ,xG/s gosp,xG/s gość,% GOSP,% REMIS,% GOŚĆ
8,Pogoń,ŁKS,15,5,4,3,1,0,"0,60","0,38","0,04","0,08",34%,46%,19%
8,Górnik,Śląsk,4,16,1,4,0,0,"0,12","0,85","0,03","0,05",5%,41%,54%
8,Cracovia,Piast,18,9,7,3,1,0,"1,28","0,54","0,07","0,06",56%,29%,15%
4,Wisła P,Legia,3,12,2,3,1,0,"0,68","0,99","0,23","0,08",24%,34%,41%
9,Piast,Raków,13,17,9,3,1,1,"2,60","1,57","0,20","0,09",61%,19%,20%
9,Lech,Jagiellonia,18,9,4,2,1,1,"2,06","0,55","0,11","0,06",74%,18%,8%
9,ŁKS,Arka,21,9,7,4,1,4,"1,59","1,72","0,08","0,19",35%,24%,42%
9,Lechia,Korona,14,7,4,4,2,0,"1,33","0,38","0,09","0,05",62%,28%,10%
9,Śląsk,Zagłębie,19,16,11,6,4,4,"2,88","1,87","0,15","0,12",60%,18%,22%
9,Wisła P,Wisła K,12,14,5,4,2,1,"1,01","1,96","0,08","0,14",18%,22%,60%
9,Pogoń,Górnik,16,12,5,6,1,1,"1,34","1,86","0,08","0,15",26%,23%,50%
9,Cracovia,Legia,11,12,3,5,1,2,"0,89","1,15","0,08","0,10",28%,30%,42%
10,Korona,Śląsk,9,10,4,7,1,0,"0,50","0,63","0,06","0,06",24%,43%,33%
10,Raków,Wisła P,9,11,3,5,1,2,"1,04","0,70","0,12","0,06",44%,33%,24%
10,Legia,Lechia,20,7,6,5,1,2,"1,60","0,62","0,08","0,09",62%,24%,13%
10,Górnik,Lech,15,19,5,5,1,3,"1,75","2,00","0,12","0,11",34%,22%,44%
10,Arka,Piast,18,16,5,5,0,0,"1,04","0,70","0,06","0,04",43%,33%,24%
10,Jagiellonia,Pogoń,13,15,7,6,2,3,"1,43","1,55","0,11","0,10",35%,25%,40%
10,Wisła K,Cracovia,8,10,2,2,0,1,"0,38","0,85","0,05","0,08",15%,39%,46%
10,Zagłębie,ŁKS,16,25,9,9,3,1,"2,36","1,84","0,15","0,07",51%,20%,29%
11,Wisła P,Arka,15,15,13,5,4,1,"1,89","0,62","0,13","0,04",69%,20%,10%
11,Śląsk,Jagiellonia,10,18,3,7,1,1,"0,95","1,03","0,09","0,06",32%,31%,36%
11,Pogoń,Raków,18,13,4,5,1,1,"1,39","0,60","0,08","0,05",57%,28%,16%
11,Lech,Wisła K,22,9,8,2,4,0,"2,41","0,34","0,11","0,04",85%,12%,3%
11,Lechia,Zagłębie,17,13,5,6,1,1,"2,64","0,59","0,16","0,05",83%,12%,5%
11,ŁKS,Korona,13,9,8,3,4,1,"1,72","1,25","0,13","0,14",49%,25%,27%
11,Cracovia,Górnik,15,5,4,1,1,1,"0,96","0,71","0,06","0,14",40%,34%,26%
11,Piast,Legia,14,17,4,3,2,0,"1,34","1,71","0,10","0,10",30%,24%,46%
12,Zagłębie,Pogoń,10,11,2,5,0,1,"0,64","0,94","0,06","0,09",24%,35%,41%
12,Wisła K,Piast,6,18,1,8,1,2,"0,22","1,72","0,04","0,10",4%,19%,77%
12,Korona,Wisła P,7,11,1,4,0,1,"0,33","1,75","0,05","0,16",6%,19%,75%
12,Legia,Lech,21,12,8,4,2,1,"2,21","1,16","0,11","0,10",62%,20%,18%
12,Jagiellonia,Cracovia,16,6,5,2,3,2,"2,18","0,73","0,14","0,12",72%,18%,10%
12,Arka,Lechia,13,13,5,5,2,2,"0,94","1,59","0,07","0,12",21%,25%,53%
12,Górnik,ŁKS,17,15,4,3,1,1,"1,78","0,58","0,10","0,04",68%,22%,11%
12,Raków,Śląsk,14,6,5,1,1,0,"1,18","0,18","0,08","0,03",64%,30%,5%
13,Cracovia,Pogoń,11,16,3,2,2,0,"0,62","0,80","0,06","0,05",26%,38%,36%
13,Lech,Zagłębie,16,9,4,4,1,2,"1,20","0,93","0,08","0,10",42%,30%,28%
13,ŁKS,Raków,15,11,6,5,2,0,"1,57","0,74","0,10","0,07",58%,25%,17%
13,Piast,Korona,13,15,5,4,1,0,"0,99","0,72","0,08","0,05",41%,33%,25%
13,Lechia,Górnik,16,9,5,1,1,1,"2,19","1,22","0,14","0,14",60%,21%,19%
13,Wisła P,Jagiellonia,8,12,5,5,3,1,"0,67","1,99","0,08","0,17",10%,19%,70%
13,Śląsk,Arka,17,5,5,2,2,1,"1,23","1,62","0,07","0,32",27%,25%,48%
13,Legia,Wisła K,23,5,13,1,7,0,"2,96","0,33","0,13","0,07",91%,7%,2%
14,Korona,Zagłębie,12,8,6,1,1,0,"1,25","0,35","0,10","0,04",61%,29%,10%
14,Cracovia,Lechia,16,8,5,2,1,0,"1,33","0,60","0,08","0,08",55%,29%,16%
14,Pogoń,Lech,9,14,3,6,1,1,"0,48","1,60","0,05","0,11",10%,23%,66%
14,Jagiellonia,ŁKS,18,11,4,4,2,0,"1,71","0,91","0,10","0,08",57%,24%,19%
14,Górnik,Piast,14,15,5,4,1,0,"1,06","0,96","0,08","0,06",37%,31%,32%
14,Arka,Legia,3,17,1,6,0,1,"0,16","1,85","0,05","0,11",2%,16%,81%
14,Śląsk,Wisła P,12,10,5,4,3,1,"0,88","0,62","0,07","0,06",40%,36%,24%
14,Raków,Wisła K,14,4,2,1,1,0,"0,73","0,08","0,05","0,02",50%,46%,4%
15,ŁKS,Śląsk,10,15,3,2,0,0,"0,47","0,82","0,05","0,05",19%,39%,42%
15,Piast,Jagiellonia,20,10,5,2,3,1,"2,37","0,41","0,12","0,04",83%,13%,4%
15,Wisła P,Cracovia,5,6,2,0,0,0,"0,27","0,38","0,05","0,06",17%,57%,26%
15,Legia,Górnik,23,8,7,3,4,1,"2,14","0,79","0,09","0,10",69%,19%,12%
15,Wisła K,Arka,15,17,3,8,0,1,"1,10","1,51","0,07","0,09",27%,26%,47%
15,Zagłębie,Raków,22,15,6,7,2,2,"1,67","0,58","0,08","0,04",65%,23%,12%
15,Lech,Korona,20,10,5,3,0,0,"1,77","0,49","0,09","0,05",70%,21%,9%
15,Lechia,Pogoń,16,15,1,3,0,1,"0,85","0,70","0,05","0,05",37%,36%,28%
16,Górnik,Wisła P,19,13,4,4,2,2,"1,66","1,43","0,09","0,11",43%,24%,33%
16,Lech,Piast,13,7,5,3,3,0,"1,72","0,51","0,13","0,07",69%,22%,10%
16,Korona,Raków,16,7,7,3,2,0,"1,96","0,40","0,12","0,06",77%,17%,6%
16,Pogoń,Legia,11,15,7,5,3,1,"1,66","1,36","0,15","0,09",45%,25%,31%
16,Lechia,ŁKS,9,9,4,1,3,1,"1,07","0,61","0,12","0,07",47%,33%,20%
16,Jagiellonia,Arka,21,3,10,0,1,0,"1,46","0,20","0,07","0,07",71%,24%,5%
16,Śląsk,Wisła K,15,7,4,4,2,1,"1,03","0,99","0,07","0,14",35%,31%,34%
16,Cracovia,Zagłębie,19,7,3,4,2,0,"1,76","0,45","0,09","0,06",71%,21%,8%
17,Zagłębie,Górnik,18,1,6,1,2,0,"1,04","0,03","0,06","0,03",65%,34%,1%
