KLUB,1'-15',16'-30',31'-45',45+',46'-60',61'-75',76'-90',90+',RAZEM,I POŁ,II POŁ
Arka Gdynia,-2,-5,-1,0,-2,0,-8,0,-18,-8,-10
Cracovia,0,-4,3,1,3,2,2,2,9,0,9
Górnik Zabrze,-3,1,2,0,-6,7,1,2,4,0,4
Jagiellonia,-4,-3,2,2,-4,5,-2,1,-3,-3,0
Korona Kielce,-3,-6,-2,-1,-1,-3,1,-4,-19,-12,-7
Lech Poznań,3,0,4,1,3,4,11,9,35,8,27
Lechia Gdańsk,-3,5,1,-2,9,-3,-5,-4,-2,1,-3
Legia Warszawa,5,5,1,0,5,7,9,3,35,11,24
ŁKS Łódź,-3,-4,-8,-2,0,-10,-8,0,-35,-17,-18
Piast Gliwice,3,0,4,-1,1,0,3,-1,9,6,3
Pogoń Szczecin,1,-1,-3,-2,-2,1,5,-1,-2,-5,3
Raków Częstochowa,-2,1,0,0,-3,0,1,-2,-5,-1,-4
Śląsk Wrocław,4,5,1,0,-4,-2,1,0,5,10,-5
Wisła Kraków,5,1,-8,2,-1,-6,-6,1,-12,0,-12
Wisła Płock,-5,4,1,0,2,-3,-4,-4,-9,0,-9
Zagłębie Lubin,4,1,3,2,0,1,-1,-2,8,10,-2
