KLUB,śr./mecz,celne,ncel,zabl,% zabl,Celne/gol bez sam,% celn,G BEZ SAM/PRZECIW
Arka,"17,51","6,08","6,73","4,70","26,85%","4,09","34,72%","8,49%"
Cracovia,"12,24","3,84","4,81","3,59","29,36%","3,55","31,35%","8,83%"
Górnik,"15,43","4,62","6,14","4,68","30,30%","3,80","29,95%","7,88%"
Jagiellonia,"12,32","4,05","5,24","3,03","24,56%","3,13","32,89%","10,53%"
Korona,"12,97","4,62","5,00","3,35","25,83%","3,64","35,63%","9,79%"
Lech,"12,35","3,95","5,24","3,16","25,60%","4,42","31,95%","7,22%"
Lechia,"17,08","4,86","6,65","5,57","32,59%","3,91","28,48%","7,28%"
Legia,"9,41","3,41","3,73","2,27","24,14%","3,60","36,21%","10,06%"
ŁKS,"13,84","5,22","5,81","2,81","20,31%","3,16","37,70%","11,91%"
Piast,"13,11","4,30","5,57","3,24","24,74%","5,13","32,78%","6,39%"
Pogoń,"11,43","4,30","4,57","2,57","22,46%","4,42","37,59%","8,51%"
Raków,"13,81","5,05","4,95","3,81","27,59%","3,74","36,59%","9,78%"
Śląsk,"12,92","4,95","5,05","2,92","22,59%","4,16","38,28%","9,21%"
Wisła K,"15,57","4,73","5,97","4,86","31,25%","3,13","30,38%","9,72%"
Wisła P,"13,16","4,43","5,30","3,43","26,08%","3,15","33,68%","10,68%"
Zagłębie,"13,62","4,84","5,49","3,30","24,21%","3,44","35,52%","10,32%"
