KLUB,CZAS,MIN MŁ PL,% MŁ PL,ZAW,MŁ PL,G,G MŁ PL,% G MŁ PL,,584592,87011,"14,88%",527,134,767,111,"14,47%"
Arka Gdynia,36452,4015,"11,01%",38,10,39,2,"5,13%"
Cracovia,36627,4197,"11,46%",29,7,49,2,"4,08%"
Górnik Zabrze,36591,5908,"16,15%",29,8,51,1,"1,96%"
Jagiellonia Białystok,36562,4262,"11,66%",38,12,48,13,"27,08%"
Korona Kielce,36412,5479,"15,05%",38,12,29,5,"17,24%"
Lech Poznań,36581,11500,"31,44%",29,13,70,27,"38,57%"
Lechia Gdańsk,36539,5753,"15,74%",35,8,48,0,"0,00%"
Legia Warszawa,36493,6874,"18,84%",39,12,70,3,"4,29%"
ŁKS Łódź,36497,4446,"12,18%",33,5,33,4,"12,12%"
Piast Gliwice,36455,3452,"9,47%",28,5,41,4,"9,76%"
Pogoń Szczecin,36504,5925,"16,23%",28,7,37,5,"13,51%"
Raków Częstochowa,36603,5262,"14,38%",34,8,51,4,"7,84%"
Śląsk Wrocław,36606,3454,"9,44%",30,6,51,9,"17,65%"
Wisła Kraków,36429,4394,"12,06%",34,9,44,6,"13,64%"
Wisła Płock,36630,5334,"14,56%",34,9,45,9,"20,00%"
Zagłębie Lubin,36611,6756,"18,45%",31,10,61,17,"27,87%"
