KLUB,BR Z,BR S,POS,STRZ,STRZ C,STRZ NC,STRZ Z,% STRZ C *,% BR/STRZ *,RZR,SP,OBR BR *,FAULE,Ż,CZ,KLUB
Arka Gdynia,"0,95","1,84",46%,"9,21","3,32","3,89","2,00","36,00%","9,14%","3,11","1,53","5,37","18,11","2,16","0,05",ARK
Cracovia,"1,21","1,26",48%,"12,00","4,53","4,79","2,68","37,72%","9,21%","5,42","1,05","2,95","15,79","2,63","0,11",CRA
Górnik Zabrze,"0,83","1,50",43%,"11,11","3,44","4,94","2,72","31,00%","7,00%","4,39","1,89","3,44","16,89","2,06","0,06",GÓR
Jagiellonia,"1,21","1,74",49%,"13,05","3,84","5,16","4,05","29,44%","8,87%","5,68","1,79","2,68","13,11","2,37","0,11",JAG
Korona Kielce,"0,79","1,63",46%,"11,53","4,00","4,84","2,68","34,70%","5,94%","4,11","1,79","4,00","18,11","2,63","0,16",KOR
Lech Poznań,"1,67","1,17",53%,"14,44","5,72","4,33","4,39","39,62%","11,54%","6,06","1,00","3,61","12,94","2,06","0,17",LPO
Lechia Gdańsk,"1,47","1,47",45%,"11,63","4,21","4,63","2,79","36,20%","12,22%","5,00","2,42","4,16","15,74","2,84","0,26",LGD
Legia Warszawa,"1,22","1,06",51%,"14,83","5,17","5,89","3,78","34,83%","8,24%","5,22","1,56","2,83","15,94","1,89","0,06",LEG
ŁKS Łódź,"0,63","2,05",52%,"12,68","3,58","4,32","4,79","28,22%","4,98%","4,42","1,00","4,16","16,79","2,42","0,11",ŁKS
Piast Gliwice,"0,89","1,11",49%,"12,28","4,00","5,28","3,00","32,58%","6,33%","4,17","1,22","3,83","12,39","1,50","0,11",PIA
Pogoń Szczecin,"1,00","1,16",51%,"12,32","3,63","5,11","3,58","29,49%","8,12%","3,79","1,37","2,89","14,00","1,89","0,05",POG
Raków Częstochowa,"1,17","1,89",45%,"12,61","3,89","5,56","3,17","30,84%","7,49%","4,83","1,50","4,33","17,11","2,17","0,11",RCZ
Śląsk Wrocław,"0,78","1,00",48%,"11,72","3,67","5,44","2,61","31,28%","6,16%","5,33","1,11","4,61","15,61","2,06","0,22",ŚLĄ
Wisła Kraków,"1,00","2,00",52%,"10,47","3,47","3,89","3,11","33,17%","9,05%","4,53","2,21","2,84","15,53","2,42","0,16",WIS
Wisła Płock,"1,00","1,72",46%,"11,44","4,00","5,22","2,22","34,95%","8,74%","4,11","1,50","2,94","14,78","2,00","0,00",WPŁ
Zagłębie Lubin,"1,39","1,61",52%,"13,56","4,67","4,94","3,94","34,43%","9,43%","5,44","1,83","3,44","15,78","1,78","0,11",ZAG
