KLUB,Z HT,Z,R,P,R HT,Z,R,P,P HT,Z,R,P
Arka Gdynia,8,5,3,0,15,3,6,6,14,2,1,11
Cracovia,9,8,1,0,19,7,4,8,9,1,0,8
Górnik Zabrze,9,8,1,0,19,5,8,6,9,1,2,6
Jagiellonia,13,8,2,3,12,6,5,1,12,0,3,9
Korona Kielce,7,4,2,1,13,5,4,4,17,0,2,15
Lech Poznań,14,12,1,1,12,6,5,1,11,0,6,5
Lechia Gdańsk,11,8,3,0,17,6,6,5,9,1,2,6
Legia Warszawa,14,13,0,1,15,6,5,4,8,2,1,5
ŁKS Łódź,7,4,1,2,15,1,5,9,15,1,0,14
Piast Gliwice,12,10,1,1,16,5,5,6,9,3,1,5
Pogoń Szczecin,10,7,3,0,15,5,7,3,12,2,2,8
Raków Częstochowa,13,8,1,4,13,6,2,5,11,2,2,7
Śląsk Wrocław,12,8,3,1,18,4,7,7,7,2,2,3
Wisła Kraków,10,7,1,2,18,6,5,7,9,0,0,9
Wisła Płock,12,7,2,3,13,6,7,0,12,1,0,11
Zagłębie Lubin,14,12,2,0,12,2,3,7,11,1,3,7
