KLUB,RAZEM,KARNY,ROŻNY,WOLNY,WOLNY BEZP,AUT,PO SFG,% PO SFG,Z GRY,% Z GRY,SUMA,767,87,104,54,20,8,275,"35,85%",492,"64,15%"
Arka Gdynia,39,6,6,3,3,1,20,"51,28%",19,"48,72%"
Cracovia,49,4,6,6,1,0,17,"34,69%",32,"65,31%"
Górnik Zabrze,51,3,9,3,0,0,15,"29,41%",36,"70,59%"
Jagiellonia Białystok,48,4,10,2,2,0,18,"37,50%",30,"62,50%"
Korona Kielce,29,4,2,1,3,1,11,"37,93%",18,"62,07%"
Lech Poznań,70,7,6,1,3,0,17,"24,29%",53,"75,71%"
Lechia Gdańsk,48,7,4,2,1,1,15,"31,25%",33,"68,75%"
Legia Warszawa,70,4,11,3,0,2,21,"30,00%",49,"70,00%"
ŁKS Łódź,33,6,4,3,0,0,13,"39,39%",20,"60,61%"
Piast Gliwice,41,6,7,3,0,0,16,"39,02%",25,"60,98%"
Pogoń Szczecin,37,5,4,4,1,0,14,"37,84%",23,"62,16%"
Raków Częstochowa,51,7,8,7,2,1,25,"49,02%",26,"50,98%"
Śląsk Wrocław,51,6,7,4,1,0,18,"35,29%",33,"64,71%"
Wisła Kraków,44,8,4,1,2,0,15,"34,09%",29,"65,91%"
Wisła Płock,45,3,9,7,1,1,21,"46,67%",24,"53,33%"
Zagłębie Lubin,61,7,7,4,0,1,19,"31,15%",42,"68,85%"
