ZAWODNIK,KLUB,GOLE,ASYSTY,KANADYJSKA,G rez,AS rez,G 1-0/0-1,2.AS,KAN+2.AS
Christian Gytkjaer,Lech Poznań,24,2,26,2,0,5,1,27
Igor Angulo,Górnik Zabrze,16,5,21,1,0,3,5,26
Damjan Bohar,Zagłębie Lubin,15,5,20,0,0,7,2,22
Filip Starzyński,Zagłębie Lubin,8,12,20,0,0,1,8,28
Dani Ramirez,ŁKS/Lech,10,9,19,0,0,5,7,26
Jorge Felix,Piast Gliwice,16,3,19,0,0,8,2,21
Jesus Jimenez,Górnik Zabrze,12,6,18,0,0,3,2,20
Petr Schwarz,Raków Częstochowa,8,8,16,0,0,1,6,22
Jarosław Niezgoda,Legia Warszawa,14,2,16,2,0,5,3,19
Jesus Imaz,Jagiellonia,11,4,15,0,0,2,0,15
Sergiu Hanca,Cracovia,8,7,15,1,0,3,6,21
Sasa Zivec,Zagłębie Lubin,9,6,15,0,0,3,6,21
Flavio Paixao,Lechia Gdańsk,14,1,15,0,1,8,4,19
Paweł Wszołek,Legia Warszawa,6,9,15,0,0,3,5,20
Rafael Lopes,Cracovia,11,3,14,1,0,5,4,18
Piotr Parzyszek,Piast Gliwice,12,2,14,0,0,7,1,15
Walerian Gwilia,Legia Warszawa,8,5,13,2,2,1,8,21
Robert Pich,Śląsk Wrocław,7,6,13,1,1,5,5,18
Przemysław Płacheta,Śląsk Wrocław,8,5,13,0,0,2,3,16
Dominik Furman,Wisła Płock,7,5,12,0,0,2,9,21
Jose Kante,Legia Warszawa,10,2,12,1,1,0,4,16
Kamil Jóźwiak,Lech Poznań,8,4,12,1,0,3,6,18
Jakub Błaszczykowski,Wisła Kraków,7,5,12,0,1,4,6,18
Luquinhas,Legia Warszawa,5,7,12,0,0,2,6,18
Adam Buksa,Pogoń Szczecin,7,4,11,0,0,3,1,12
Darko Jevtić,Lech Poznań,6,5,11,0,1,3,5,16
Erik Exposito,Śląsk Wrocław,8,3,11,2,0,1,1,12
Felicio Brown Forbes,Raków Częstochowa,10,1,11,1,0,4,1,12
Pelle van Amersfoort,Cracovia,8,3,11,0,0,2,3,14
Bartosz Białek,Zagłębie Lubin,9,2,11,1,0,1,4,15
Alan Czerwiński,Zagłębie Lubin,1,9,10,0,0,0,3,13
Patryk Klimala,Jagiellonia,7,3,10,0,1,3,0,10
Paweł Brożek,Wisła Kraków,8,2,10,0,0,3,1,11
Michał Nalepa I,Arka Gdynia,7,3,10,0,0,3,8,18
Dino Stiglec,Śląsk Wrocław,4,5,9,0,0,2,4,13
Pedro Tiba,Lech Poznań,2,7,9,0,0,1,4,13
Srdan Spiridonović,Pogoń Szczecin,6,3,9,1,0,2,1,10
Giorgi Merebaszwili,Wisła Płock,4,5,9,0,0,1,2,11
Maciej Jankowski,Arka Gdynia,8,1,9,0,0,3,1,10
Artur Sobiech,Lechia Gdańsk,6,2,8,0,0,3,2,10
Gerard Badia,Piast Gliwice,4,4,8,1,1,0,3,11
Łukasz Wolsztyński,Górnik Zabrze,2,6,8,1,3,0,5,13
Tymoteusz Puchacz,Lech Poznań,3,5,8,0,0,1,5,13
Domagoj Antolić,Legia Warszawa,3,5,8,0,0,2,3,11
Marko Vejinović,Arka Gdynia,8,0,8,0,0,1,3,11
Michał Chrapek,Śląsk Wrocław,5,3,8,0,0,2,4,12
Jakub Moder,Lech Poznań,5,3,8,2,1,2,6,14
Adnan Kovacević,Korona Kielce,5,2,7,0,0,2,0,7
Arvydas Novikovas,Legia Warszawa,4,3,7,0,0,1,3,10
Cornel Rapa,Cracovia,3,4,7,0,0,2,2,9
Joao Amaral,Lech Poznań,3,4,7,1,2,2,0,7
Krzysztof Mączyński,Śląsk Wrocław,4,3,7,0,0,1,4,11
Mateusz Wdowiak,Cracovia,2,5,7,0,1,1,3,10
Tomas Prikryl,Jagiellonia,2,5,7,0,0,0,1,8
Erik Janza,Górnik Zabrze,0,7,7,0,0,0,8,15
Maciej Sadlok,Wisła Kraków,1,6,7,0,0,1,0,7
Vukan Savicević,Wisła Kraków,4,3,7,0,0,2,4,11
Dawit Schirtladze,Arka Gdynia,4,3,7,1,0,2,2,9
Sebastian Musiolik,Raków Częstochowa,6,1,7,1,0,1,2,9
Łukasz Zwoliński,Lechia Gdańsk,7,0,7,5,0,0,4,11
Bartosz Bida,Jagiellonia,5,1,6,1,0,2,4,10
Łukasz Sekulski,ŁKS Łódź,5,1,6,1,0,2,0,6
Martin Pospisil,Jagiellonia,2,4,6,0,0,1,8,14
Tomas Petrasek,Raków Częstochowa,6,0,6,0,0,3,2,8
Mateusz Cholewiak,Śląsk/Legia,4,2,6,2,1,1,3,9
Lukas Haraslin,Lechia Gdańsk,2,4,6,0,0,0,0,6
Mateusz Szwoch,Wisła Płock,4,2,6,0,0,2,5,11
Alon Turgeman,Wisła Kraków,6,0,6,0,0,4,1,7
Tomas Pekhart,Legia Warszawa,5,1,6,1,1,2,1,7
David Tijanić,Raków Częstochowa,1,5,6,0,0,0,3,9
Adam Frączczak,Pogoń Szczecin,4,1,5,1,1,1,0,5
Bartosz Rymaniak,Piast Gliwice,0,5,5,0,0,0,2,7
Erik Pacinda,Korona Kielce,4,1,5,1,0,1,1,6
Filip Mladenović,Lechia Gdańsk,0,5,5,0,0,0,2,7
Jarosław Kubicki,Lechia Gdańsk,0,5,5,0,1,0,5,10
Matej Pućko,Korona Kielce,1,4,5,0,0,1,0,5
Michal Siplak,Cracovia,1,4,5,0,0,0,1,6
Miłosz Szczepański,Raków Częstochowa,1,4,5,0,0,1,7,12
Patryk Szysz,Zagłębie Lubin,3,2,5,0,0,0,2,7
Pirulo,ŁKS Łódź,1,4,5,0,0,1,4,9
Ricardinho,Wisła Płock,4,1,5,0,0,3,4,9
Zvonimir Kozulj,Pogoń Szczecin,3,2,5,0,0,2,3,8
Marko Vesović,Legia Warszawa,1,4,5,0,0,1,3,8
Adam Danch,Arka Gdynia,2,3,5,0,0,1,0,5
Michał Karbownik,Legia Warszawa,0,5,5,0,0,0,7,12
Tom Hateley,Piast Gliwice,1,4,5,0,0,0,4,9
Michał Mak,Wisła Kraków,1,4,5,0,0,1,3,8
Michał Skóraś,Raków/Lech,1,4,5,0,3,0,1,6
Piotr Tomasik,Wisła Płock,3,2,5,1,0,0,1,6
Jakub Kamiński,Lech Poznań,4,1,5,0,1,0,7,12
Daniel Bartl,Raków Częstochowa,2,3,5,0,2,2,1,6
Mateusz Młyński,Arka Gdynia,2,3,5,0,0,1,1,6
Conrado,Lechia Gdańsk,1,4,5,0,1,1,3,8
Fran Tudor,Raków Częstochowa,1,4,5,1,0,0,4,9
Jakov Puljić,Jagiellonia,5,0,5,0,0,2,2,7
