KLUB,BR Z,BR S,POS,STRZ,STRZ C,STRZ NC,STRZ Z,% STRZ C *,% BR/STRZ *,RZR,SP,OBR BR *,FAULE,Ż,CZ,KLUB
Arka Gdynia,"1,17","1,22",47%,"13,39","4,39","5,56","3,44","32,78%","8,71%","5,06","1,83","3,78","18,22","2,50","0,11",ARK
Cracovia,"1,44","0,89",52%,"15,56","4,61","6,78","4,17","29,64%","7,50%","6,11","1,56","2,56","15,33","1,94","0,00",CRA
Górnik Zabrze,"1,89","1,05",48%,"14,89","5,32","5,63","3,95","35,69%","11,66%","5,79","1,89","3,37","15,16","2,00","0,05",GÓR
Jagiellonia,"1,39","1,00",51%,"17,00","5,39","6,11","5,50","31,70%","7,84%","6,39","1,78","2,83","14,44","2,44","0,11",JAG
Korona Kielce,"0,78","0,94",50%,"15,33","4,44","6,22","4,67","28,99%","4,71%","6,11","2,00","2,67","19,11","2,83","0,22",KOR
Lech Poznań,"2,11","0,74",58%,"18,74","6,21","6,89","5,63","33,15%","10,96%","7,16","1,05","2,53","13,00","1,84","0,05",LPO
Lechia Gdańsk,"1,11","1,22",52%,"12,06","3,67","5,22","3,17","30,41%","9,22%","5,33","2,11","3,06","15,61","2,17","0,00",LGD
Legia Warszawa,"2,53","0,84",53%,"18,21","6,95","6,89","4,37","38,15%","13,01%","6,00","1,37","2,11","16,05","1,84","0,05",LEG
ŁKS Łódź,"1,17","1,61",57%,"16,44","4,83","6,78","4,83","29,39%","7,09%","5,22","1,22","2,94","15,56","2,67","0,11",ŁKS
Piast Gliwice,"1,32","0,63",50%,"15,16","5,84","5,79","3,53","38,54%","8,33%","5,68","1,42","3,11","12,47","1,42","0,11",PIA
Pogoń Szczecin,"1,00","0,94",53%,"15,44","4,89","6,33","4,22","31,65%","6,47%","5,78","1,17","3,78","14,78","1,94","0,17",POG
Raków Częstochowa,"1,58","1,16",49%,"14,32","5,32","5,79","3,21","37,13%","10,66%","5,32","1,58","3,11","14,79","2,00","0,00",RCZ
Śląsk Wrocław,"1,95","1,47",50%,"13,79","5,00","5,42","3,37","36,26%","14,12%","5,47","1,63","2,95","15,32","1,63","0,00",ŚLĄ
Wisła Kraków,"1,39","1,00",52%,"12,28","4,17","5,22","2,89","33,94%","11,31%","5,00","1,56","3,61","16,44","2,22","0,11",WIS
Wisła Płock,"1,42","1,21",48%,"10,05","4,21","3,58","2,26","41,88%","13,61%","6,11","1,42","3,11","16,05","1,84","0,00",WPŁ
Zagłębie Lubin,"1,89","1,26",53%,"16,16","6,00","6,21","3,95","37,13%","11,73%","4,84","1,42","3,42","14,16","1,63","0,05",ZAG
