ZAWODNIK,KLUB,MIAŁ,STWORZYŁ,% WYK.
Dominik Furman,Wisła Płock,2,18,"50,0%"
Sergiu Hanca,Cracovia,4,17,"0,0%"
Petr Schwarz,Raków Częstochowa,6,16,"16,7%"
Dani Ramirez,ŁKS/Lech,4,16,"50,0%"
Filip Starzyński,Zagłębie Lubin,4,16,"0,0%"
Paweł Wszołek,Legia Warszawa,12,15,"16,7%"
Erik Janza,Górnik Zabrze,0,15,-
Jesus Jimenez,Górnik Zabrze,24,13,"41,7%"
Pedro Tiba,Lech Poznań,7,13,"14,3%"
Przemysław Płacheta,Śląsk Wrocław,10,12,"40,0%"
Luquinhas,Legia Warszawa,9,12,"22,2%"
Łukasz Wolsztyński,Górnik Zabrze,4,12,"25,0%"
Darko Jevtić,Lech Poznań,3,12,"33,3%"
Fran Tudor,Raków Częstochowa,1,12,"0,0%"
Igor Angulo,Górnik Zabrze,35,11,"25,7%"
Alan Czerwiński,Zagłębie Lubin,3,11,"33,3%"
Gerard Badia,Piast Gliwice,2,11,"50,0%"
Maciej Sadlok,Wisła Kraków,0,11,-
Jorge Felix,Piast Gliwice,24,10,"37,5%"
Tomas Prikryl,Jagiellonia,4,10,"25,0%"
Marko Vesović,Legia Warszawa,1,10,"0,0%"
Mateusz Wdowiak,Cracovia,7,9,"28,6%"
Pirulo,ŁKS Łódź,5,9,"0,0%"
Miłosz Szczepański,Raków Częstochowa,4,9,"0,0%"
Cornel Rapa,Cracovia,2,9,"50,0%"
Mikkel Kirkeskov,Piast Gliwice,1,9,"0,0%"
Piotr Parzyszek,Piast Gliwice,20,8,"35,0%"
Jesus Imaz,Jagiellonia,15,8,"46,7%"
Pelle van Amersfoort,Cracovia,15,8,"40,0%"
Sasa Zivec,Zagłębie Lubin,15,8,"40,0%"
Walerian Gwilia,Legia Warszawa,14,8,"35,7%"
Kamil Jóźwiak,Lech Poznań,10,8,"10,0%"
Arvydas Novikovas,Legia Warszawa,6,8,"33,3%"
Michał Nalepa I,Arka Gdynia,5,8,"20,0%"
Taras Romanczuk,Jagiellonia,4,8,"25,0%"
Jakub Kamiński,Lech Poznań,3,8,"66,7%"
Bartosz Rymaniak,Piast Gliwice,2,8,"0,0%"
Filip Mladenović,Lechia Gdańsk,0,8,-
Damjan Bohar,Zagłębie Lubin,16,7,"56,3%"
Domagoj Antolić,Legia Warszawa,2,7,"50,0%"
Karol Fila,Lechia Gdańsk,0,7,-
Martin Pospisil,Jagiellonia,0,7,-
Erik Exposito,Śląsk Wrocław,13,6,"46,2%"
Robert Pich,Śląsk Wrocław,12,6,"25,0%"
Dawit Schirtladze,Arka Gdynia,8,6,"25,0%"
Artur Sobiech,Lechia Gdańsk,7,6,"57,1%"
Erik Pacinda,Korona Kielce,4,6,"25,0%"
Jakub Błaszczykowski,Wisła Kraków,1,6,"0,0%"
Michał Trąbka,ŁKS Łódź,1,6,"0,0%"
Rafael Lopes,Cracovia,23,5,"39,1%"
Jarosław Niezgoda,Legia Warszawa,14,5,"64,3%"
Patryk Klimala,Jagiellonia,13,5,"46,2%"
Patryk Szysz,Zagłębie Lubin,9,5,"22,2%"
Piotr Tomasik,Wisła Płock,6,5,"33,3%"
Patryk Sokołowski,Piast Gliwice,5,5,"0,0%"
Michał Chrapek,Śląsk Wrocław,5,5,"40,0%"
Sławomir Peszko,Lechia Gdańsk,4,5,"25,0%"
Marcin Cebula,Korona Kielce,2,5,"0,0%"
Michał Mak,Wisła Kraków,2,5,"50,0%"
Vukan Savicević,Wisła Kraków,2,5,"100,0%"
Wołodymyr Kostewycz,Lech Poznań,1,5,"0,0%"
Boris Sekulić,Górnik Zabrze,1,5,"0,0%"
Dino Stiglec,Śląsk Wrocław,1,5,"100,0%"
Jaroslav Mihalik,Lechia Gdańsk,1,5,"100,0%"
Ricardo Nunes,Pogoń Szczecin,0,5,-
Guilherme Sitya,Jagiellonia,0,5,-
Kristopher Vida,Piast Gliwice,0,5,-
Bartosz Białek,Zagłębie Lubin,15,4,"46,7%"
Sebastian Musiolik,Raków Częstochowa,14,4,"21,4%"
Paweł Brożek,Wisła Kraków,13,4,"38,5%"
Adam Buksa,Pogoń Szczecin,8,4,"25,0%"
Bartosz Bida,Jagiellonia,7,4,"57,1%"
Lukas Haraslin,Lechia Gdańsk,7,4,"14,3%"
Sebastian Milewski,Piast Gliwice,6,4,"33,3%"
Erik Jirka,Górnik Zabrze,5,4,"40,0%"
Cillian Sheridan,Wisła Płock,5,4,"40,0%"
Lubomir Guldan,Zagłębie Lubin,4,4,"25,0%"
Artur Jędrzejczyk,Legia Warszawa,4,4,"0,0%"
Milan Radin,Korona Kielce,3,4,"0,0%"
Marko Vejinović,Arka Gdynia,2,4,"50,0%"
Petteri Forsell,Korona Kielce,2,4,"0,0%"
Hubert Adamczyk,Wisła Płock,2,4,"0,0%"
Tom Hateley,Piast Gliwice,1,4,"0,0%"
Łukasz Poręba,Zagłębie Lubin,1,4,"0,0%"
Michał Skóraś,Raków/Lech,1,4,"0,0%"
Jakub Moder,Lech Poznań,1,4,"0,0%"
Jarosław Kubicki,Lechia Gdańsk,0,4,-
Alasana Manneh,Górnik Zabrze,0,4,-
Sasa Balić,Zagłębie Lubin,0,4,-
Michał Karbownik,Legia Warszawa,0,4,-
Jose Kante,Legia Warszawa,16,3,"43,8%"
Maciej Jankowski,Arka Gdynia,11,3,"63,6%"
Jakov Puljić,Jagiellonia,11,3,"18,2%"
Łukasz Zwoliński,Lechia Gdańsk,10,3,"20,0%"
Mateusz Cholewiak,Śląsk/Legia,9,3,"33,3%"
Uros Duranović,Korona Kielce,8,3,"0,0%"
Michal Papadopulos,Korona Kielce,8,3,"25,0%"
Giorgi Merebaszwili,Wisła Płock,7,3,"14,3%"
Rafał Boguski,Wisła Kraków,5,3,"0,0%"
Fabian Serrarens,Arka Gdynia,5,3,"0,0%"
Juan Camara,Jagiellonia,4,3,"25,0%"
Maciej Gajos,Lechia Gdańsk,4,3,"50,0%"
Joao Amaral,Lech Poznań,3,3,"66,7%"
Kamil Piątkowski,Raków Częstochowa,3,3,"33,3%"
Mateusz Młyński,Arka Gdynia,3,3,"66,7%"
Paweł Cibicki,Pogoń Szczecin,3,3,"66,7%"
Giorgos Giakoumakis,Górnik Zabrze,3,3,"33,3%"
Bojan Cecarić,Cracovia/Korona,2,3,"0,0%"
Martin Konczkowski,Piast Gliwice,2,3,"0,0%"
Michal Siplak,Cracovia,2,3,"50,0%"
Piotr Malinowski,Raków Częstochowa,2,3,"50,0%"
Dejan Drazić,Zagłębie Lubin,2,3,"50,0%"
Jakub Bartkowski,Pogoń Szczecin,1,3,"0,0%"
David Kopacz,Górnik Zabrze,1,3,"0,0%"
Maciej Makuszewski,Lech/Jagiellonia,1,3,"0,0%"
Marko Poletanović,Jagiellonia/Raków,1,3,"0,0%"
Hubert Matynia,Pogoń Szczecin,1,3,"100,0%"
Bartosz Kopacz,Zagłębie Lubin,1,3,"0,0%"
Sebastian Kowalczyk,Pogoń Szczecin,1,3,"0,0%"
Adam Marciniak,Arka Gdynia,1,3,"0,0%"
Tomasz Makowski,Lechia Gdańsk,1,3,"0,0%"
David Tijanić,Raków Częstochowa,1,3,"100,0%"
Zvonimir Kozulj,Pogoń Szczecin,0,3,-
Tymoteusz Puchacz,Lech Poznań,0,3,-
Lubambo Musonda,Śląsk Wrocław,0,3,-
David Niepsuj,Wisła Kraków,0,3,-
Krzysztof Mączyński,Śląsk Wrocław,0,3,-
Christian Gytkjaer,Lech Poznań,35,2,"45,7%"
Flavio Paixao,Lechia Gdańsk,17,2,"47,1%"
Patryk Tuszyński,Zagłębie/Piast,11,2,"9,1%"
Paweł Bochniewicz,Górnik Zabrze,8,2,"12,5%"
Matej Pućko,Korona Kielce,8,2,"12,5%"
Alon Turgeman,Wisła Kraków,7,2,"71,4%"
Tomas Pekhart,Legia Warszawa,7,2,"57,1%"
Israel Puerto,Śląsk Wrocław,6,2,"33,3%"
Filip Marković,Śląsk Wrocław,5,2,"40,0%"
Kamil Kościelny,Raków Częstochowa,5,2,"60,0%"
Omran Haydary,Lechia Gdańsk,5,2,"40,0%"
Ivan Runje,Jagiellonia,4,2,"50,0%"
Dominik Nagy,Legia Warszawa,4,2,"0,0%"
Żarko Udovicić,Lechia Gdańsk,4,2,"25,0%"
Jan Grzesik,ŁKS Łódź,4,2,"25,0%"
Adam Ratajczyk,ŁKS Łódź,4,2,"25,0%"
Jacek Kiełb,Korona Kielce,4,2,"0,0%"
Ołeksij Dytiatjew,Cracovia,3,2,"0,0%"
Patryk Lipski,Lechia Gdańsk,3,2,"0,0%"
Jarosław Jach,Raków Częstochowa,3,2,"33,3%"
Tomasz Jodłowiec,Piast Gliwice,3,2,"33,3%"
Jakub Wróbel,ŁKS Łódź,3,2,"0,0%"
Torgil Gjertsen,Wisła Płock,3,2,"33,3%"
Marcus Vinicius,Arka Gdynia,3,2,"66,7%"
Chuca,Wisła Kraków,2,2,"50,0%"
Santeri Hostikka,Pogoń Szczecin,2,2,"0,0%"
Łukasz Burliga,Wisła Kraków,2,2,"0,0%"
Lubomir Tupta,Wisła Kraków,2,2,"50,0%"
Michael Gardawski,Korona Kielce,1,2,"0,0%"
Robert Gumny,Lech Poznań,1,2,"100,0%"
Uros Korun,Piast Gliwice,1,2,"0,0%"
Daniel Ściślak,Górnik Zabrze,1,2,"0,0%"
Dawid Szymonowicz,Raków/Jagiellonia,1,2,"0,0%"
Rafał Wolski,Lechia Gdańsk,1,2,"100,0%"
Jakub Żubrowski,Korona Kielce,1,2,"100,0%"
Patryk Bryła,ŁKS Łódź,1,2,"0,0%"
Milan Dimun,Cracovia,1,2,"0,0%"
Michał Marcjanik,Wisła Płock,1,2,"0,0%"
Mateusz Spychała Mat,Korona Kielce,1,2,"0,0%"
Angel Garcia,Wisła Płock,1,2,"0,0%"
Łukasz Broź,Śląsk Wrocław,0,2,-
Patryk Kun,Raków Częstochowa,0,2,-
Mateusz Matras,Górnik Zabrze,0,2,-
Damian Rasak,Wisła Płock,0,2,-
Jakub Wójcicki,Jagiellonia,0,2,-
Kacper Kozłowski,Pogoń Szczecin,0,2,-
Martin Kostal,Jagiellonia,0,2,-
Damian Zbozień,Arka Gdynia,0,2,-
Christian Maghoma,Arka Gdynia,0,2,-
Jakub Szumski,Raków Częstochowa,0,2,-
Rusłan Babenko,Raków Częstochowa,0,2,-
Luis Rocha,Legia Warszawa,0,2,-
Filip Bainović,Górnik Zabrze,0,2,-
Ognjen Gnjatić,Korona Kielce,0,2,-
Marcin Listkowski,Pogoń Szczecin,0,2,-
Dragoljub Srnić,Śląsk Wrocław,0,2,-
Conrado,Lechia Gdańsk,0,2,-
Felicio Brown Forbes,Raków Częstochowa,21,1,"38,1%"
Tomas Petrasek,Raków Częstochowa,12,1,"25,0%"
Srdan Spiridonović,Pogoń Szczecin,8,1,"50,0%"
Kamil Zapolnik,Górnik Zabrze,7,1,"14,3%"
Damian Michalski,Wisła Płock,7,1,"28,6%"
Daniel Bartl,Raków Częstochowa,7,1,"0,0%"
Mateusz Szwoch,Wisła Płock,5,1,"20,0%"
Ricardinho,Wisła Płock,5,1,"20,0%"
Maciej Rosołek,Legia Warszawa,5,1,"60,0%"
Michał Helik,Cracovia,4,1,"0,0%"
Dominik Steczyk,Piast Gliwice,4,1,"0,0%"
Alan Uryga,Wisła Płock,4,1,"25,0%"
Samu Corral,ŁKS Łódź,4,1,"50,0%"
Grzegorz Szymusik,Korona Kielce,4,1,"25,0%"
Oskar Zawada,Wisła P/Arka,3,1,"33,3%"
Tiago Alves,Piast Gliwice,3,1,"0,0%"
Przemysław Wiśniewski,Górnik Zabrze,3,1,"0,0%"
David Jablonsky,Cracovia,3,1,"33,3%"
