ZAWODNIK,KLUB,MIN BEZ GOLA,MECZE BEZ GOLA,OSTATNI GOL,OSTATNI GOL PRZECIW,MIN BEZ GOLA LUB ASYSTY,MECZE BEZ GOLA LUB ASYSTY,OSTATNI GOL LUB ASYSTA,OSTATNI GOL LUB ASYSTA PRZECIW
Arttu Hoskonen,Cracovia,143,1,14.04.2024,Jagiellonia,143,1,14.04.2024,Jagiellonia
Mateusz Grzybek,Zagłębie Lubin,122,1,20.05.2024,ŁKS,122,1,20.05.2024,ŁKS
Otar Kakabadze,Cracovia,121,2,03.05.2024,Górnik Z,121,2,03.05.2024,Górnik Z
Oskar Koprowski,ŁKS Łódź,116,4,-,-,116,4,-,-
Mateusz Stawny,Śląsk Wrocław,103,2,-,-,103,2,-,-
Michał Ozga,Jagiellonia Białystok,90,1,-,-,90,1,-,-
Paweł Kwiatkowski,Widzew Łódź,83,1,-,-,83,1,-,-
Jakub Bartosz,Puszcza Niepołomice,70,1,17.05.2024,Górnik Z,70,1,17.05.2024,Górnik Z
Radovan Pankov,Legia Warszawa,64,0,19.05.2024,Warta,64,0,19.05.2024,Warta
Kacper Przybyłko,Warta Poznań,32,3,-,-,32,3,-,-
Krzysztof Kurowski,Śląsk Wrocław,27,2,-,-,27,2,-,-
Mateusz Bąkowicz,ŁKS Łódź,18,1,-,-,18,1,-,-
Piotr Liszewski,Piast Gliwice,13,2,-,-,13,2,-,-
Filip Gil,Puszcza Niepołomice,13,1,-,-,13,1,-,-
Patryk Rychlik,Warta Poznań,11,1,-,-,11,1,-,-
