ZAWODNIK,KLUB,FAULE,FAULOWANY,SPALONE
Josue,Legia,34,92,1
Erik Exposito,Śląsk,49,88,21
Nene,Jagiellonia,38,83,1
Martin Remacle,Korona,45,73,3
Michael Ameyaw,Piast,31,71,13
Patryk Makuch,Cracovia,38,68,10
Fabio Nunes,Widzew,33,66,3
Afimico Pululu,Jagiellonia,62,63,21
Nono,Korona,35,62,2
Kristoffer Velde,Lech,29,60,18
Grzegorz Tomasiewicz,Piast,17,60,2
Michal Sacek,Jagiellonia,30,59,1
Radosław Murawski,Lech,60,57,0
Jesper Karlstrom,Lech,39,57,0
Daniel Szczepan,Ruch,59,56,9
Jorge Felix,Piast,34,56,6
Rafał Wolski,Radomiak,36,55,4
Damian Rasak,Górnik Z,33,55,0
Yuri Ribeiro,Legia,32,54,2
Wojciech Hajda,Puszcza,50,53,2
Mateusz Grzybek,Zagłębie,31,53,2
Piotr Wlazło,Stal,29,53,0
Lawrence Ennali,Górnik Z,22,53,2
Juergen Elitim,Legia,27,52,1
Fran Tudor,Raków,27,52,0
Kamil Zapolnik,Puszcza,67,51,12
Ilja Szkurin,Stal,37,49,4
Yoav Hofmeister,Korona,31,49,1
Pedro Henrique,Radomiak,41,48,13
Tomasz Pieńko,Zagłębie,21,48,3
Koki Hinokio,Stal,39,44,5
Jakub Serafin,Puszcza,33,43,2
Kajetan Szmyt,Warta,32,43,4
Dani Ramirez,ŁKS,27,43,1
Taras Romanczuk,Jagiellonia,43,42,0
Piotr Janczukowicz,ŁKS,29,42,5
Bartłomiej Pawłowski,Widzew,23,42,4
Daisuke Yokota,Górnik Z,23,42,2
Tomasz Wójtowicz,Ruch,8,42,0
Benjamin Kallman,Cracovia,38,41,11
Michał Rakoczy,Cracovia,36,41,4
Michał Chrapek,Piast,34,41,1
Dawid Szymonowicz,Warta,44,39,1
Aleks Ławniczak,Zagłębie,18,39,1
Adrian Dieguez,Jagiellonia,31,37,0
Kamil Lukoszek,Górnik Z,28,37,3
Lisandro Semedo,Radomiak,27,37,10
Engjell Hoti,ŁKS,54,36,0
Adrian Kapralik,Górnik Z,39,36,3
Dawid Abramowicz,Radomiak,29,35,2
Jehor Macenko,Śląsk,35,34,1
Michał Mokrzycki,ŁKS,35,34,1
Konrad Matuszewski,Warta,23,34,2
Maciej Żurawski,Warta,22,34,1
Maciej Domański,Stal,14,34,6
Luizao,Radomiak,39,33,0
Łukasz Zwoliński,Raków,37,33,11
Miłosz Kozak,Ruch,33,33,2
Robert Dadok,Górnik Z,27,33,2
Pirulo Pirulo,ŁKS,27,33,1
Patrick Olsen,Śląsk,21,33,0
Gustav Berggren,Raków,45,32,4
Dawid Kurminowski,Zagłębie,44,32,7
Dawid Drachal,Raków,34,32,2
Szymon Szymański,Ruch,29,32,0
Nahuel Leiva,Śląsk,26,32,3
Kamil Dankowski,ŁKS,23,32,7
Silva Jean Carlos,Raków,19,32,6
Jewgienij Szykawka,Korona,32,31,20
Dario Vizinger,Warta,30,31,10
Petr Schwarz,Śląsk,28,31,0
Mikael Ishak,Lech,19,31,16
Arkadiusz Pyrka,Piast,29,30,2
Dawid Błanik,Korona,19,30,6
Mateusz Matras,Stal,35,29,5
Bogdan Racovitan,Raków,33,29,1
Piotr Samiec-Talar,Śląsk,21,29,7
Jan Grzesik,Radomiak,20,29,1
Mateusz Wdowiak,Zagłębie,13,29,10
Filip Marchwiński,Lech,47,28,13
Joao Gamboa,Pogoń,31,28,0
Mateusz Żukowski,Śląsk,24,28,1
Ernest Muci,Legia,10,28,8
Christos Donis,Radomiak,26,27,0
Krystian Getinger,Stal,25,27,2
Wahan Biczachczjan,Pogoń,24,27,5
John Yeboah,Raków,24,27,3
Marcus Godinho,Korona,18,27,0
Tomas Pekhart,Legia,41,26,9
Tomasz Makowski,Zagłębie,33,26,0
Bartosz Kopacz,Zagłębie,32,26,2
Dominik Marczuk,Jagiellonia,21,26,15
Leonardo Koutris,Pogoń,17,26,3
Władysław Koczerhin,Raków,16,26,2
Tomasz Swędrowski,Ruch,16,26,2
Kacper Chodyna,Zagłębie,47,25,19
Jakub Czerwiński,Piast,32,25,0
Efthymis Koulouris,Pogoń,30,25,8
Bartłomiej Wdowik,Jagiellonia,29,25,0
Alexandros Katranis,Piast,25,25,0
Marcel Pięczek,Puszcza/Korona,17,25,0
Dominick Zator,Korona,16,25,1
Stefan Savić,Warta,13,25,1
Jordi Sanchez,Widzew,26,24,19
Hubert Tomalski,Puszcza,21,24,1
Paweł Wszołek,Legia,20,24,7
Jesus Imaz,Jagiellonia,19,24,13
Leandro Rossi,Radomiak,11,24,0
Fredrik Ulvestad,Pogoń,40,23,0
Takuto Oshima,Cracovia,36,23,2
Alexander Gorgon,Pogoń,34,23,0
Jakub Bartkowski,Warta,32,23,2
Imad Rondić,Widzew,32,23,12
Erik Janza,Górnik Z,29,23,1
Michał Feliks,Ruch,24,23,0
Fran Alvarez,Widzew,20,23,0
Luis Machado,Radomiak,19,23,4
Joel Pereira,Lech,19,23,1
Bartosz Nowak,Raków,17,23,7
Antoni Klimek,Widzew,10,23,4
Patryk Dziczek,Piast,67,22,0
Fabian Piasecki,Raków,29,22,8
Maciej Rosołek,Legia,21,22,2
Afonso Sousa,Lech,17,22,3
Tomas Prikryl,Warta,13,22,5
Damian Kądzior,Piast,12,22,5
Ante Crnac,Raków,37,21,8
