KLUB,BR Z,BR S,POS,STRZ,STRZ C,STRZ NC,STRZ Z,% STRZ C *,% BR/STRZ *,RZR,SP,OBR BR *,FAULE,Ż,CZ,KLUB
Cracovia,"1,35","1,32",55%,"11,71","4,12","4,32","3,26","35,18%","11,06%","4,85","1,41","2,85","11,12","2,21","0,18",CRA
Górnik Zabrze,"1,21","1,32",50%,"13,62","4,06","5,47","4,09","29,81%","8,64%","6,24","1,62","2,76","13,06","2,12","0,09",GÓR
Jagiellonia,"1,32","2,26",43%,"10,79","3,82","4,24","2,74","35,42%","12,26%","5,00","1,59","2,68","14,65","2,29","0,18",JAG
Korona Kielce,"1,29","1,18",50%,"10,85","3,76","4,35","2,74","34,69%","11,38%","4,76","1,32","3,00","14,15","2,56","0,15",KOR
Lech Poznań,"1,21","1,38",41%,"11,94","4,26","4,91","2,76","35,71%","9,36%","4,68","0,91","2,91","12,47","2,29","0,03",LPO
Legia Warszawa,"1,15","1,50",43%,"9,21","2,44","3,82","2,94","26,52%","12,14%","3,41","1,74","2,97","14,44","2,32","0,06",LEG
ŁKS Łódź,"2,21","1,00",51%,"15,65","5,71","5,65","4,29","36,47%","13,91%","6,00","1,18","2,15","13,38","2,29","0,21",ŁKS
Piast Gliwice,"1,03","1,12",50%,"10,21","3,18","3,82","3,21","31,12%","9,80%","3,76","1,24","2,91","14,50","2,71","0,12",PIA
Pogoń Szczecin,"1,12","1,74",44%,"10,24","3,74","4,00","2,50","36,49%","10,63%","4,74","2,94","3,29","9,85","1,74","0,09",POG
Puszcza Niepołomice,"1,44","1,15",62%,"14,44","5,12","5,41","3,91","35,44%","9,57%","6,03","1,21","2,24","12,12","2,24","0,21",PUN
Radomiak Radom,"1,71","1,21",51%,"12,03","4,29","4,03","3,71","35,70%","13,45%","5,03","1,26","3,00","14,91","2,47","0,09",RAD
Raków Częstochowa,"1,15","1,59",44%,"9,88","3,35","3,65","2,88","33,93%","11,01%","3,74","1,41","3,47","13,85","2,56","0,12",RCZ
Ruch Chorzów,"1,62","1,18",53%,"13,91","4,53","4,91","4,47","32,56%","10,99%","5,85","1,56","2,53","13,53","2,03","0,15",RCH
Stal Mielec,"1,41","1,24",52%,"14,26","4,76","5,56","3,94","33,40%","9,69%","5,88","1,44","2,26","11,62","1,74","0,06",STM
Śląsk Wrocław,"0,91","1,47",55%,"10,68","3,38","4,35","2,94","31,68%","8,26%","4,65","1,47","3,24","12,65","2,74","0,15",ŚLĄ
Warta Poznań,"1,26","0,97",59%,"11,94","4,21","4,65","3,09","35,22%","10,34%","5,35","1,09","1,94","11,59","1,53","0,03",WAR
Widzew Łódź,"1,35","1,32",47%,"11,62","4,44","4,00","3,18","38,23%","11,39%","4,32","2,09","2,85","11,41","1,85","0,12",WID
Zagłębie Lubin,"1,47","1,26",50%,"12,29","4,74","4,44","3,12","38,52%","11,72%","4,74","1,68","3,41","13,09","1,94","0,09",ZAG
