ZAWODNIK,KLUB,GOLE,ASYSTY,KANADYJSKA,CZAS,MIN/GOL,MIN/G+AS
Michał Feliks,Ruch Chorzów,5,1,6,672,"134,4","112,0"
Erik Exposito,Śląsk Wrocław,19,5,24,2880,"151,6","120,0"
Tomas Pekhart,Legia Warszawa,8,0,8,1280,"160,0","160,0"
Mikael Ishak,Lech Poznań,11,3,14,1800,"163,6","128,6"
Ilja Szkurin,Stal Mielec,16,6,22,2650,"165,6","120,5"
Afimico Pululu,Jagiellonia,12,4,16,2016,"168,0","126,0"
Sonny Kittel,Raków Częstochowa,3,1,4,520,"173,3","130,0"
Stipe Jurić,ŁKS Łódź,4,0,4,699,"174,8","174,8"
Leonardo Rocha,Radomiak Radom,4,0,4,712,"178,0","178,0"
Kristoffer Hansen,Jagiellonia,9,3,12,1622,"180,2","135,2"
Blaz Kramer,Legia Warszawa,4,1,5,741,"185,3","148,2"
Dawid Kurminowski,Zagłębie Lubin,12,0,12,2303,"191,9","191,9"
Soma Novothny,Ruch Chorzów,4,2,6,779,"194,8","129,8"
Adrian Dalmau,Korona Kielce,5,4,9,995,"199,0","110,6"
Łukasz Zwoliński,Raków Częstochowa,5,0,5,1004,"200,8","200,8"
Pedro Henrique,Radomiak Radom,8,4,12,1613,"201,6","134,4"
Adam Zrelak,Warta Poznań,4,1,5,851,"212,8","170,2"
Jesus Imaz,Jagiellonia,12,4,16,2575,"214,6","160,9"
Daisuke Yokota,Górnik Zabrze,7,1,8,1533,"219,0","191,6"
Giannis Papanikolaou,Raków Częstochowa,5,0,5,1105,"221,0","221,0"
Kamil Grosicki,Pogoń Szczecin,13,14,27,2914,"224,2","107,9"
Jewgienij Szykawka,Korona Kielce,10,1,11,2244,"224,4","204,0"
Juan Munoz,Zagłębie Lubin,4,0,4,901,"225,3","225,3"
Ante Crnac,Raków Częstochowa,8,4,12,1856,"232,0","154,7"
Edi Semedo,Radomiak Radom,4,0,4,934,"233,5","233,5"
Imad Rondić,Widzew Łódź,5,2,7,1173,"234,6","167,6"
Efthymis Koulouris,Pogoń Szczecin,12,2,14,2875,"239,6","205,4"
Marc Gual,Legia Warszawa,8,3,11,1964,"245,5","178,5"
Daniel Szczepan,Ruch Chorzów,10,1,11,2480,"248,0","225,5"
Łukasz Sołowiej,Puszcza Niepołomice,6,1,7,1519,"253,2","217,0"
Nahuel Leiva,Śląsk Wrocław,9,2,11,2290,"254,4","208,2"
Kristoffer Velde,Lech Poznań,10,5,15,2569,"256,9","171,3"
Filip Marchwiński,Lech Poznań,8,5,13,2087,"260,9","160,5"
Dani Ramirez,ŁKS Łódź,9,2,11,2381,"264,6","216,5"
Szymon Czyż,Górnik Zabrze,4,0,4,1084,"271,0","271,0"
Jordi Sanchez,Widzew Łódź,8,4,12,2170,"271,3","180,8"
Alexander Gorgon,Pogoń Szczecin,8,4,12,2175,"271,9","181,3"
Josue,Legia Warszawa,9,5,14,2453,"272,6","175,2"
Piotr Samiec-Talar,Śląsk Wrocław,7,8,15,1923,"274,7","128,2"
Bartłomiej Pawłowski,Widzew Łódź,8,5,13,2201,"275,1","169,3"
Jose Naranjo,Jagiellonia,6,2,8,1696,"282,7","212,0"
Artur Siemaszko,Puszcza Niepołomice,5,1,6,1425,"285,0","237,5"
Benjamin Kallman,Cracovia,9,5,14,2612,"290,2","186,6"
Adrian Kapralik,Górnik Zabrze,7,3,10,2058,"294,0","205,8"
Bartłomiej Wdowik,Jagiellonia,10,6,16,2945,"294,5","184,1"
Bartosz Nowak,Raków Częstochowa,7,4,11,2088,"298,3","189,8"
Nene,Jagiellonia,9,8,17,2716,"301,8","159,8"
Ernest Muci,Legia Warszawa,4,0,4,1216,"304,0","304,0"
Adriel Ba Loua,Lech Poznań,4,3,7,1228,"307,0","175,4"
Kay Tejan,ŁKS Łódź,7,3,10,2160,"308,6","216,0"
Patryk Dziczek,Piast Gliwice,8,0,8,2509,"313,6","313,6"
Jorge Felix,Piast Gliwice,7,7,14,2220,"317,1","158,6"
Danny Trejo,Korona Kielce,2,2,4,649,"324,5","162,3"
Lawrence Ennali,Górnik Zabrze,5,1,6,1665,"333,0","277,5"
Serhij Krykun,Piast Gliwice,3,1,4,1017,"339,0","254,3"
Mateusz Wdowiak,Zagłębie Lubin,5,1,6,1740,"348,0","290,0"
Artur Craciun,Puszcza Niepołomice,7,2,9,2518,"359,7","279,8"
Fredrik Ulvestad,Pogoń Szczecin,6,3,9,2168,"361,3","240,9"
Mateusz Cholewiak,Puszcza Niepołomice,3,3,6,1089,"363,0","181,5"
Kacper Chodyna,Zagłębie Lubin,7,10,17,2543,"363,3","149,6"
Karol Knap,Cracovia,4,3,7,1455,"363,8","207,9"
Fran Alvarez,Widzew Łódź,6,4,10,2234,"372,3","223,4"
Kajetan Szmyt,Warta Poznań,7,2,9,2608,"372,6","289,8"
Luka Vusković,Radomiak Radom,3,1,4,1150,"383,3","287,5"
Maciej Żurawski,Warta Poznań,4,0,4,1548,"387,0","387,0"
