ZAWODNIK,KLUB,R,R celn,% R celn,R Gole,ZZA,ZZA celn,ZZA %,ZZA Gole,ZZA GOL/ZZA
Erik Exposito,Śląsk,80,44,"55,0%",19,35,16,"45,7%",1,"2,9%"
Wahan Biczachczjan,Pogoń,90,29,"32,2%",5,57,15,"26,3%",1,"1,8%"
Jani Atanasov,Cracovia,50,16,"32,0%",5,41,12,"29,3%",1,"2,4%"
Bartłomiej Wdowik,Jagiellonia,32,15,"46,9%",10,27,12,"44,4%",7,"25,9%"
Kamil Grosicki,Pogoń,94,37,"39,4%",13,42,11,"26,2%",0,"0,0%"
Josue,Legia,55,20,"36,4%",9,44,11,"25,0%",2,"4,5%"
Koki Hinokio,Stal,42,16,"38,1%",3,28,11,"39,3%",2,"7,1%"
Kristoffer Velde,Lech,67,28,"41,8%",10,25,10,"40,0%",2,"8,0%"
Dani Ramirez,ŁKS,50,21,"42,0%",9,28,9,"32,1%",0,"0,0%"
Lawrence Ennali,Górnik Z,46,20,"43,5%",5,25,9,"36,0%",0,"0,0%"
Mateusz Żukowski,Śląsk,40,20,"50,0%",1,18,9,"50,0%",0,"0,0%"
Martin Remacle,Korona,67,18,"26,9%",6,48,9,"18,8%",3,"6,3%"
Władysław Koczerhin,Raków,57,17,"29,8%",5,38,9,"23,7%",2,"5,3%"
Marc Gual,Legia,89,32,"36,0%",8,27,8,"29,6%",1,"3,7%"
Nahuel Leiva,Śląsk,47,21,"44,7%",9,33,8,"24,2%",3,"9,1%"
Maciej Domański,Stal,45,16,"35,6%",3,24,8,"33,3%",1,"4,2%"
Dawid Kurminowski,Zagłębie,55,27,"49,1%",12,13,7,"53,8%",2,"15,4%"
Krystian Getinger,Stal,37,14,"37,8%",3,19,7,"36,8%",0,"0,0%"
Nono,Korona,33,13,"39,4%",4,20,7,"35,0%",0,"0,0%"
Engjell Hoti,ŁKS,26,10,"38,5%",4,19,7,"36,8%",3,"15,8%"
Damian Dąbrowski,Zagłębie,39,9,"23,1%",1,34,7,"20,6%",1,"2,9%"
