,CRA,GÓR,JAG,KOR,LPO,LEG,ŁKS,PIA,POG,PUN,RAD,RCZ,RCH,STM,ŚLĄ,WAR,WID,ZAG,D,W,84:64,117:77,95:78,88:88,97:82,68:86,106:69,77:90,89:88,118:75,81:78,69:109,113:66,101:58,88:49,101:51,74:80,97:76,
CRA,X,6:6,8:3,10:2,5:2,4:6,5:5,6:11,3:5,9:3,6:2,4:9,13:9,12:2,6:1,3:2,7:5,8:8,115:81
GÓR,4:4,X,5:4,1:7,8:6,6:6,9:4,6:4,5:7,4:3,2:9,3:10,12:5,7:4,2:8,0:4,4:8,11:2,89:95
JAG,9:4,8:5,X,3:2,6:2,3:7,12:2,2:10,9:4,5:4,4:6,3:8,7:2,4:3,2:2,6:6,3:4,8:4,94:75
KOR,3:4,6:3,2:5,X,7:7,3:3,10:3,7:3,4:8,3:10,2:10,6:1,7:4,4:3,2:3,2:2,2:3,4:2,74:74
LPO,7:3,14:1,3:1,5:13,X,3:3,10:2,14:3,5:9,7:2,3:3,5:2,5:2,4:5,5:2,5:4,8:3,6:4,109:62
LEG,5:0,6:3,5:7,9:2,9:2,X,8:4,1:3,9:1,19:1,6:3,7:3,6:4,8:0,5:2,4:3,6:5,5:5,118:48
ŁKS,10:3,9:4,1:7,2:5,1:7,1:8,X,6:7,7:4,7:10,4:3,3:11,6:7,3:5,6:6,1:0,4:6,0:5,71:98
PIA,8:2,4:2,6:4,1:5,4:1,3:1,5:5,X,7:7,2:5,7:4,8:2,6:2,7:1,14:1,1:4,1:1,4:4,88:51
POG,1:6,9:5,3:6,6:9,8:7,10:4,4:1,4:4,X,10:2,8:5,9:2,5:3,11:4,4:1,9:2,16:7,7:4,124:72
PUN,4:1,1:10,6:3,7:7,8:6,4:8,3:3,3:6,6:2,X,3:3,2:6,3:4,2:7,3:3,11:7,3:4,5:7,74:87
RAD,6:0,12:3,7:5,5:9,6:0,8:5,5:5,7:4,2:13,5:5,X,2:7,9:6,6:8,4:5,8:6,5:4,6:5,103:90
RCZ,6:4,8:2,8:4,4:2,6:4,3:3,5:6,2:2,3:3,7:3,7:5,X,3:3,6:2,4:4,8:5,4:5,11:1,95:58
RCH,3:2,9:2,7:7,6:7,3:7,5:7,4:9,6:6,2:6,7:5,2:3,4:2,X,10:3,2:5,8:1,2:5,4:9,84:86
STM,4:8,3:9,2:5,7:1,8:8,0:4,2:7,1:10,5:7,5:6,1:9,2:9,4:5,X,5:1,7:0,4:8,5:2,65:99
ŚLĄ,4:3,4:10,3:5,7:3,1:5,0:5,5:3,3:5,3:1,10:2,6:3,2:7,10:2,6:5,X,6:2,1:3,6:6,77:70
WAR,3:8,7:5,8:2,6:1,2:6,2:6,9:5,0:7,6:5,6:6,0:4,1:9,4:4,2:2,8:2,X,0:4,2:5,66:81
WID,4:6,4:3,12:6,7:9,9:4,5:8,2:5,6:3,5:1,5:1,9:5,4:12,9:3,3:1,9:2,15:1,X,5:3,113:73
ZAG,3:6,7:4,9:4,2:4,6:8,8:2,8:0,3:2,8:5,7:7,11:1,4:9,4:1,6:3,7:1,7:2,4:5,X,104:64
