DR/KOL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,RAZEM,DR/KOL,RAZEM,419,508,445,393,342,447,311,450,380,630,442,359,492,458,286,386,487,292,422,513,367,316,442,391,313,436,319,582,497,359,417,543,385,484,13491,RAZEM
CRA,0,65,66,80,46,X,X,0,0,76,0,0,0,0,0,63,14,18,0,82,0,X,0,34,11,0,63,65,0,X,86,0,53,0,822,CRA
GÓR,0,0,X,1,66,0,25,39,0,0,0,80,48,8,6,9,85,25,62,75,55,0,66,X,45,0,24,50,1,65,0,43,43,0,921,GÓR
JAG,0,45,4,0,6,83,0,1,13,77,83,62,9,71,0,X,55,67,74,59,0,0,0,83,75,78,0,13,75,12,23,83,0,85,1236,JAG
KOR,0,0,0,0,0,75,X,9,40,70,0,0,84,X,24,0,0,X,0,10,0,0,0,0,45,0,47,0,71,0,0,0,48,25,548,KOR
LPO,36,50,0,88,0,65,0,62,50,0,49,72,35,54,X,0,4,0,60,87,72,X,0,X,38,X,13,0,51,X,0,0,22,11,919,LPO
LEG,65,0,71,0,64,6,54,0,5,0,0,0,0,62,X,0,88,0,44,34,0,84,11,0,73,41,53,65,X,32,0,75,64,84,1075,LEG
ŁKS,0,0,61,0,1,0,0,0,17,0,0,0,0,0,0,0,0,6,56,0,0,0,32,15,21,0,0,65,0,0,18,0,0,83,375,ŁKS
PIA,3,X,X,10,0,X,0,24,0,66,0,X,0,X,23,X,47,4,39,0,23,X,0,0,0,8,0,73,79,47,34,42,13,0,535,PIA
POG,54,26,0,0,0,29,0,24,82,73,62,X,42,29,0,0,0,29,38,18,63,77,0,0,0,77,0,88,0,9,37,0,X,24,881,POG
PUN,27,0,25,8,0,38,0,62,1,55,0,44,0,0,76,19,0,29,0,60,44,23,9,0,X,62,X,83,71,36,0,39,0,28,839,PUN
RAD,30,0,0,70,43,0,19,42,0,0,70,8,88,0,X,0,52,0,0,0,0,X,71,46,0,0,65,0,0,0,24,0,0,36,664,RAD
RCZ,45,87,0,0,45,5,71,82,62,87,36,0,0,86,13,0,43,0,3,0,1,X,76,64,0,76,0,0,0,9,0,82,0,31,1004,RCZ
RCH,43,76,0,0,0,X,27,0,13,0,0,31,0,0,X,41,36,0,0,0,X,49,56,0,0,0,X,0,0,79,9,28,0,45,533,RCH
STM,37,X,0,45,0,68,0,50,14,0,0,0,52,0,39,49,63,0,0,1,45,X,0,79,X,X,0,X,0,0,42,0,X,0,584,STM
ŚLĄ,35,29,69,0,31,78,23,1,49,72,57,44,51,78,75,35,0,X,44,0,0,X,37,0,X,18,30,0,X,0,14,88,59,15,1032,ŚLĄ
WAR,0,55,71,46,0,X,80,0,0,0,40,15,20,70,0,56,0,41,0,87,X,X,11,0,0,31,0,80,61,0,81,0,0,0,845,WAR
WID,35,42,43,45,0,0,0,54,0,0,17,3,63,0,0,73,0,0,2,0,36,60,0,1,5,45,15,X,88,0,0,0,0,17,644,WID
ZAG,9,33,35,0,40,0,12,0,34,54,28,0,0,0,30,41,0,73,0,0,28,23,73,69,X,0,9,0,0,70,49,63,83,0,856,ZAG
